question,A,B,C,D,E,answer,explanation
<p>What is a varistor?</p>,a voltage-dependent resistor,a voltage-dependent diode,a current-dependent resistor,a current-dependent diode,,A,
<p>Which type of transformer is required to create a 180 degree input to a rectifier?</p>,center-tapped secondary,step-down secondary,stepped-up secondary,split winding primary,,A,
<p>What circuit activity may shift a characteristic curve so that diode operating points are different?</p>,higher power (heat),higher resistance,lower voltage,lower current,,A,
"<p>What is wrong with this diode?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq11_1010_1.gif""/></p>",open,short,nothing,not enough data,,C,
<p>The dc current through each diode in a bridge rectifier equals:</p>,the load current,half the dc load current,twice the dc load current,one-fourth the dc load current,,A,
"<p>When matching polarity connections have been made and the potential difference (PD) is above 0.7 V, the diode is considered to be:</p>",not working,forward biased,reverse biased,an open switch,,B,
"<p>In a power supply diagram, which block indicates a smooth dc output?</p>",transformer,filter,rectifier,regulator,,D,
"<p>If a 169.7 V half-wave peak has an average voltage of 54 V, what is the average of two full-wave peaks?</p>",119.9 V,108.0 V,115.7 V,339.4 V,,B,
"<p>What is the current through the LED?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq11_1013_1u.gif""/></p>",0 mA,23 mA,18 mA,13 mA,,D,
<p>The characteristic curve for the complex model of a silicon diode shows that</p>,the barrier potential is 0 V,the barrier potential stays fixed at 0.7 V,the barrier potential increases slightly with an increase in current,the barrier potential decreases slightly with an increase in current,,C,
"<p>Since diodes are destroyed by excessive current, circuits must have:</p>",higher voltage sources,current limiting resistors,more dopants,higher current sources,,B,
"<p>A diode for which you can change the reverse bias, and thus vary the capacitance is called a</p>",varactor diode,tunnel diode,zener diode,switching diode,,A,
<p>A filtered full-wave rectifier voltage has a smaller ripple than does a half-wave rectifier voltage for the same load resistance and capacitor values because:</p>,there is a shorter time between peaks,there is a longer time between peaks,"the larger the ripple, the better the filtering action",none of the above,,A,
<p>Testing a good diode with an ohmmeter should indicate</p>,high resistance when forward or reverse biased,low resistance when forward or reverse biased,high resistance when reverse biased and low resistance when forward biased,high resistance when forward biased and low resistance when reverse biased,,C,
<p>The peak inverse voltage (PIV) across a nonconducting diode in a bridge rectifier equals approximately:</p>,half the peak secondary voltage,twice the peak secondary voltage,the peak value of the secondary voltage,four times the peak value of the secondary voltage,,C,
