question,A,B,C,D,E,answer,explanation
<p>The load line is defined by the ________ and a characteristic curve is defined by the ________.</p>,"quiescent point, device","device, network","network, device",None of the above,,C,
<p>The slope of the load line depends on the ________.</p>,type of the diode used,characteristic curve,load resistor,source voltage,,C,
<p>The combination of a short circuit in series with an open circuit always results in a(n) ________ circuit.</p>,open,short,neither short nor open,unknown,,A,
<p>The quiescent point (Q-point) is defined by a(n) ________.</p>,ac network,dc network,ac and dc network,None of the above,,B,
<p>A diode is in the ________ state if the current established by the applied sources is such that its direction matches that of the arrow in the diode symbol and V<sub>D</sub> &gt; 0.7 V.</p>,off,reverse bias,on,transition,,C,
<p>The x-intercept of the load line with the characteristic curve is determined by the ________.</p>,load resistor,diode,source voltage and the load resistor,source voltage,,D,
<p>A germanium diode is approximated by ________ equivalent for voltages less than 0.3 V.</p>,a short circuit,a series circuit,a parallel circuit,an open circuit,,D,
<p>A clamping network must have ________.</p>,a capacitor,a diode,a resistive element,All of the above,,D,
"<p>With the Zener diode in the ""on"" state, increasing I<sub>L</sub> will ________ I<sub>Z</sub> and ________I<sub>R</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/fbq02_02100.gif""/></p></p>","decrease, increase","increase, decrease","decrease, keep the same level of","increase, keep the same level of",,C,
<p>A Zener diode is in a ________ impedance region in the forward bias while it has a ________ impedance region in the reverse bias.</p>,"very large, low","very large, very large","low, low","low, very large",,D,
<p>The full-wave voltage doubler provides ________ filtering action than (as) the half-wave voltage doubler.</p>,better,poorer,the same,None of the above,,A,
"<p>Once the Zener diode is in the ""on"" state, V<sub>Z</sub> is always ________ V<sub>L</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/fbq02_01900.gif""/></p></p>",larger than,smaller than,the same as,None of the above,,C,
<p>The absence of the Si or Ge and V<sub>D</sub> label on a diode denotes ________ notation.</p>,approximate model,ideal model,exact model,None of the above,,B,
<p>Zener diodes are used in regulator networks to ________.</p>,generate voltage,consume power,maintain a fixed voltage across the load resistor,protect the load,,C,
<p>For the ideal diode the transition between states will occur at the point on the characteristic curve when V<sub>D</sub> = ________ V and I<sub>D</sub> = ________ A.</p>,"0.3, 0","0, 0","0.7, 0","0.7, 0.3",,B,
"<p>In this voltage multiplier, measuring from the top of the transformer winding will provide ________ multiples of V<sub>m</sub> at the output, whereas measuring the output voltage from the bottom of the transformer will provide ________ multiples of the peak V<sub>m</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/fbq02_02500.gif""/></p></p>","odd, even","even, odd","odd, odd","even, even",,A,
"<p>For the ""off"" state of a Zener diode, the voltage across the diode should be ________.</p>",greater than V<sub>Z</sub>,zero,less than V<sub>Z</sub> but greater than zero,None of the above,,C,
<p>The intersection of the load line with the characteristic curve determines the ________ of the system.</p>,point of operation,load-line analysis,characteristic curve,forward bias,,A,
<p>The dc voltage level of a silicon diode is ________ its ideal model.</p>,smaller than,larger than,the same as,None of the above,,B,
"<p>As the load resistor increases, the slope of the dc load line and the levels of diode current ________.</p>",increase,decrease,remain unchanged,are unpredictable,,B,
<p>The source voltage must be ________ the voltage drop across the diode to conduct the diode.</p>,larger than,smaller than,the same as,None of the above,,A,
<p>The process of removing one-half the input signal to establish a dc level is called ________.</p>,rectifier,full-wave rectifier,half-wave rectifier,filtering,,C,
<p>The ratio of the total swing of the output of a clamper to its input total swing is ________.</p>,1,2,0.5,0,,A,
<p>The PIV rating of the diodes in a full-wave rectifier must be larger than ________ V<sub>m</sub>.</p>,0.318,0.636,2,1,,D,
"<p>In a half-wave voltage doubler, the voltage across output capacitor C<sub>2</sub> drops across the load during the ________ half cycle and the capacitor is recharged up to ________ during the ________ half cycle. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/fbq02_02300.gif""/></p></p>","negative, 2V<sub>m</sub>, positive","positive, V<sub>m</sub>, negative","positive, 2V<sub>m</sub>, negative","negative, V<sub>m</sub>, positive",,C,
