question,choices,answer
"An electro magnetic wave consists of ___________.","[""both electric and magnetic fields."",""an electric field only"",""a magnetic field only"",""non-magnetic field only""]",0
"What is the lowest layer of the ionosphere?","[""F1"",""F2"",""E"",""D""]",3
"Who propounded electro magnetic radiation theory?","[""Sir Edward Appleton"",""James Clerk Maxwell"",""Christian Huygens"",""Sir Isaac Newton""]",1
"The D, E and F layers are known as ____________.","[""Mark \u2013 space Layers"",""Davinson- Miller Layers"",""Kennely \u2013 Heaviside Layers"",""Appleton Layers""]",2
"Different grouping of the electromagnetic spectrum.","[""band"",""bandwidth"",""channel"",""group""]",0
"What is the relation in degrees of the electric and magnetic fields in an electromagnetic wave?","[""180 degrees"",""90 degrees"",""270 degrees"",""45 degrees""]",1
"A changing electric field gives rise to ________.","[""a magnetic field"",""sound field"",""electromagnetic waves"",""near and far fields""]",0
"Frequencies in the UHF range propagate by means of","[""ground waves"",""sky waves"",""surface waves"",""space waves""]",3
"In electromagnetic waves, polarization __________.","[""is caused by reflection"",""is due to the transverse nature of the waves"",""results from the longitudinal nature of the waves"",""is always vertical in an isotropic medium""]",1
"Electromagnetic Waves are refracted when they ___________.","[""pass into a medium of different dielectric constants"",""are polarized at right angles to the direction of propagation"",""encounter a perfectly conducting surface"",""pass through a small slot in a conducting plane""]",0
"What is the highest layer of the atmosphere?","[""ionosphere"",""stratosphere"",""troposphere"",""ozone layer""]",0
"What is the thickest layer of the ionosphere?","[""F2"",""F1"",""D"",""E""]",0
"Effective Earth radius to true earth radius ratio.","[""index of refraction"",""K factor"",""Fresnel zone"",""path profile""]",1
"Fading due to interference between direct and reflected rays.","[""atmospheric-multipath"",""Fresnel zone"",""reflection-multipath"",""Rayleigh fading""]",2
"The layer that reflects very low frequency waves and absorbs medium frequency waves.","[""D Layer"",""E Layer"",""F1 Layer"",""F2 Layer""]",0
"What layer is used for high-frequency day time propagation?","[""D Layer"",""E Layer"",""F1 Layer"",""F2 Layer""]",1
"What is the highest frequency that can be sent straight upward and be returned to earth?","[""MUF"",""skip frequency"",""critical frequency"",""gyro frequency""]",2
"High frequency range is from?","[""0.3 to 3 MHz"",""3 to 30 MHz"",""30 to 300 MHz"",""3to 30 MHz""]",1
"Medium frequency range is from","[""0.01 to 0.03 MHz"",""0.03 to 0.3 MHz"",""0.3 to 3 MHz"",""3 to 30 MHz""]",2
"In tropospheric scatter propagation, the attenuation is dependent on","[""scatter angle"",""take-off angle"",""antenna size"",""the troposphere""]",0
"If the transmitter power remains constant, an increase in the frequency of the sky wave will","[""lengthen the skip distance"",""increase the range of the ground wave"",""reduce the length of the skip distance"",""have no effect on the ground wave range""]",0
"What is the unit of electric field strength?","[""volts per square meter"",""volt per square cm"",""volts per meter"",""millivolt per watt""]",2
"Velocity of a radio wave in free space.","[""186,000 miles per sec"",""300 x 10^6 meters per sec"",""162,000 nautical mile per sec"",""all of the above""]",3
"Refers to the direction of the electric field vector in space.","[""polarization"",""directivity"",""radiation"",""ERP""]",0
"An TEM wave whose polarization rotates.","[""vertically polarized"",""omnidirectional"",""horizontally polarized"",""circularly polarized""]",3
"velocity of light in free space","[""300 x 10^6 m\/s"",""300 x 10^6 km\/s"",""186,000 km\/s"",""186,000 m\/s""]",0
"What is the effective radiated power of a repeater with 200 W transmitter power output, 4 dB feed line loss, 4 dB duplexer and circulator loss, and 10 dB feed line antenna gain?","[""2000 W"",""126 W"",""317 W"",""260 W""]",2
"Radio wave that is far from its sources is called","[""Plane wave"",""isotropic wave"",""vertical wave"",""horizontal wave""]",0
"Light goes from medium A to medium B at angle of incidence of 40 degrees. The angle of refraction is 30 degrees. The speed of light in B","[""is the same as that in A"",""is greater than that in A"",""maybe any of these, depending on the specific medium"",""is less than that in A""]",3
"In a vacuum, the speed of an electromagnetic wave","[""depends on its constant"",""depends on its wavelength"",""depends on its electric and magnetic fields"",""is a universal constant""]",3
"The depth of an object submerged in a transparent liquid","[""always seems more that its actual depth"",""b may seem less or more than its actual depth, depending on the object"",""always seems less than its actual depth"",""may seem less or more than its actual depth, depending on the transparent liquid""]",2
"What is a wave front?","[""a voltage pulse in a conductor"",""a current in a conductor"",""a fixed point in an electromagnetic wave"",""a voltage pulse across a resistor""]",2
"VHF ship station transmitters must have the capability of reducing carrier power to","[""1 W"",""10 W"",""25 W"",""50 W""]",0
"Most of the effects an electro magnetic wave produces when it interacts with matter are due to its","[""magnetic field"",""speed"",""frequency"",""electric field""]",3
"A mobile receiver experiences “dead” areas of reception as a result of","[""atmospheric absorption"",""tropospheric scatter"",""sporadic E"",""shading of the RF signal by hills and trees""]",3
"When the electric field is perpendicular in the surface of the earth, what is the polarization of the TEM wave?","[""elliptical"",""vertical"",""horizontal"",""circular""]",1
"When the magnetic field is perpendicular to the surface of the earth, what is the polarization of the TEM wave?","[""circular"",""horizontal"",""vertical"",""elliptical""]",1
"When the magnetic field is parallel to the surface of the earth, what is the polarization of the TEM wave?","[""elliptical"",""horizontal"",""vertical"",""circular""]",2
"What are the two interrelated fields considered to make up an electromagnetic wave","[""an electric field and a current field"",""an electric field and voltage field"",""an electric field and a magnetic field"",""a voltage and current fields""]",2
"How does the bandwidth of the transmitted signal affect selective fading?","[""it is more pronounced at narrow bandwidths"",""it is equally pronounced at both narrow and wide bandwidths"",""it is more pronounced at wide bandwidths"",""the receiver bandwidth determines the selective fading""]",2
"A wide-bandwidth communications systems in which the RF carrier varies according to some predetermined sequence.","[""amplitude compandored single sideband"",""SITOR"",""spread spectrum communication"",""time-domain frequency modulation""]",2
"A changing magnetic field gives rise to","[""sound field"",""magnetic field"",""electric field"",""nothing in particular""]",2
"When a space-wave signal passes over a mountain ridge, a small part of the signal is diffracted down the far side of the mountain. This phenomenon is called","[""discontinuity scattering"",""troposheric ducting"",""knife-edge diffraction"",""space-wave refraction""]",2
"The index of refraction of a material medium","[""is greater than 1"",""is less than 1"",""is equal to 1"",""maybe any of the above""]",0
"At what speed do electromagnetic waves travel in free space?","[""approximately 468 million meters per second"",""approximately 186300 ft\/s"",""approximately 300 million m\/s"",""approximately 300 million miles\/s""]",2
"What is the effective earth radius when surface refractivity, and N equals 300?","[""6370 km"",""7270 km"",""7950 km"",""8500 km""]",3
"If N = 250, what is the earth radius K-factor?","[""1.23"",""1.29"",""1.33"",""1.32""]",0
"Electric field that lies in a plane perpendicular to the earths surface","[""vertical polarization"",""horizontal polarization"",""circular polarization"",""elliptical polarization""]",0
"Electric field that lies in a plane parallel to the earth’s surface","[""vertical polarization"",""horizontal polarization"",""circular polarization"",""elliptical polarization""]",1
"VLF waves are used for some types of services because","[""of the low power required"",""b the transmitting antennas are of convenient size"",""they are very reliable"",""they penetrate the ionosphere easily""]",2
"Indicate which of the following frequencies cannot be used for reliable beyond-the-horizon terrestrial communications without repeaters","[""20 KHz"",""15 MHz"",""900 MHz"",""12 GHz""]",3
"High-frequency waves are","[""absorbed by the F2 layer"",""reflected by the D layer"",""capable of use for long-distance communications on the moon"",""affected by the solar cycle""]",3
"Distances near the skip distance should be used for sky-wave propagation","[""to avoid tilting"",""to prevent sky-wave and upper ray interference"",""to avoid the faraday effect"",""so as not to exceed the critical frequency""]",1
"A ship-to-ship communications system is plague by fading. The best solution seems to be the use of","[""a more directional antenna"",""a broadband antenna"",""frequency diversity"",""space diversity""]",2
"A range of microwave frequencies more easily passed by the atmosphere than are the others is called a","[""window"",""critical frequency"",""gyro frequency range"",""resonance in the atmosphere""]",0
"frequencies in the UHF range normally propagate by means of","[""ground waves."",""sky waves"",""surface waves"",""space waves""]",3
"Tropospheric scatter is used with frequencies in the following range","[""HF"",""VHF"",""UHF"",""VLF""]",2
