question,A,B,C,D,E,answer,explanation
"<p>When more volume of acetylene and less volume of oxygen is supplied, then a __________ flame is obtained.</p>",neutral,oxidising,carburising,,,C,
"<p>The instrument used to measure external and internal diameter of shafts, thickness of parts and depth of holes, is</p>",outside micrometer,inside micrometer,depth gauge micrometer,vernier caliper,,D,
<p>The punch and die set up is __________ for punching and piercing operation.</p>,similar,different,,,,A,
"<p>For smoothing and cleaning out depressions in the mould, a __________ is used.</p>",slick,lifter,swab,gagger,,B,
"<p>When the dimension is expressed as <img src=""/_files/images/mechanical-engineering/workshop-technology/682-264-1.png""/>, then the tolerance is</p>",0.035 mm,0.025 mm,0.01 mm,0.06 mm,,D,
<p>The brass and bronze are welded by __________ flame.</p>,neutral,oxidising,carburising,all of these,,B,
<p>Projection welding is a</p>,continuous spot welding process,multi-spot welding process,arc welding process,process used for joining round bars,,B,
<p>The adhesiveness is the property of a sand due to which</p>,it evolves a great amount of steam and other gases,the sand grains stick together,it cling to the sides of a moulding box,none of these,,C,
<p>A stripper-plate machine is used to draw the pattern from the mould.</p>,Yes,No,,,,A,
<p>The algebraic difference between the maximum limit and the basic size is called</p>,actual deviation,upper deviation,lower deviation,fundamental deviation,,B,
"<p>For gas welding, the pressure desired at the welding torch for oxygen is</p>",7 to 103 kN/m<sup>2</sup>,70 to 280 kN/m<sup>2</sup>,280 to 560 kN/m<sup>2</sup>,560 to 840 kN/m<sup>2</sup>,,B,
<p>Seam weiding is a</p>,continuous spot welding process,multi-spot welding process,arc welding process,process used for joining round bars,,A,
<p>In a simple die</p>,two or more operations are performed simultaneously at the single stroke of the ram,two or more cutting operations are performed at one station of the press in every stroke of the ram,both cutting and non-cutting operations are performed at one station of the press in every stroke of the ram,none of the above,,D,
"<p>The operation of producing cup shaped parts from flat sheet metal blanks by bending and plastic flow of metal, is known as</p>",drawing,squeezing,coining,planishing,,A,
