question,A,B,C,D,E,answer,explanation
<p>The vertical welding do not require plate edge preparation upto 16 mm thickness.</p>,Correct,Incorrect,,,,A,
<p>The dowels are</p>,wooden nails,box nails,wire nails,none of these,,A,
"<p>In arc welding, the temperature of heat produced by the electric arc is of the order of</p>",3000° C to 4000° C,4000° C to 5000° C,5000° C to 6000° C,6000° C to 7000° C,,D,
<p>Extrusion</p>,is extensively used for making bolts and nuts,is used for reducing the diameter of round bars and tubes by rotating dies which open and close rapidly on the work,is used to improve fatigue resistance of the metal by setting up compressive stresses in its surface,consists of pressing the metal inside a chamber to force it out by high pressure through an orifice which is shaped to provide the desired form of the finished part,,D,
<p>The operation of cutting of a flat sheet to the desired shape is called</p>,shearing,piercing,punching,blanking,,A,
"<p>The process of decreasing the cross-section of a bar and increasing its length, is called</p>",drawing down,upsetting,spinning,peening,,A,
<p>A casting defect which occurs due to improper venting of sand is known as</p>,cold shuts,blow holes,shift,swell,,B,
<p>Swab is used for</p>,smoothing and cleaning out depressions in the mould,cleaning the moulding sand,moistening the sand around the edge before removing pattern,reinforcement of sand in the top part of the moulding box,,C,
<p>The temperature of the inner luminous cone of neutral flame is about</p>,1000° C,1250° C,2100° C,3200° C,,D,
<p>The metal patterns as compared to wooden patterns require less</p>,shrinkage allowance,machining allowance,draft allowance,distortion allowance,,C,
"<p>When the dimension is expressed as <img src=""/_files/images/mechanical-engineering/workshop-technology/682-264-1.png""/>, then the basic size is</p>",20 mm,20.035 mm,20.025 mm,19.975 mm,,A,
"<p>In order to produce uniform packing of sand in the moulds, a __________ is used.</p>",sand slinger,squeezing machine,jolt machine,stripper plate machine,,A,
<p>The difference between the upper limit and lower limt of a dimension is called</p>,nominal size,basic size,actual size,tolerance,,D,
<p>Green sand is a mixture of</p>,30% sand and 70% clay,50% sand and 50% clay,70% sand and 30% clay,90% sand and 10% clay,,C,
<p>The diaphragm moulding machine is used to</p>,ram the sand harder at the pattern face with decreasing hardness towards the back of the mould,ram the sand harder at the back of the mould and softer on the pattern face,produce uniform packing of sand in the mould,give uniform sand hardness throughout the mould,,D,
<p>A pattern is used to make the mould cavity for pouring the molten metal for casting.</p>,Yes,No,,,,A,
