question,A,B,C,D,E,answer,explanation
"<p>The casting method adopted for ornaments and toys of non-ferrous alloys, is</p>",permanent mould casting,slush casting,die casting,centrifugal casting,,B,
<p>In a cold chamber die casting machine</p>,melting pot is separate from the machine,melting pot is an integral part of the machine,melting pot may have any location,low temperature and pressure is used,,A,
"<p>Structural sections such as rails, angles, I-beams are made by</p>",hot rolling,hot drawing,hot piercing,hot extrusion,,A,
<p>The minimum size of a billet is 10 cm x 10 cm.</p>,Agree,Disagree,,,,B,
"<p>In welding magnesium with TIG arc welding, direct current with __________ is used.</p>",straight polarity,reversed polarity,,,,B,
<p>Cutting and forming operations can be performed in a single operation in a</p>,simple die,progressive die,compound die,combination die,,D,
<p>The teeth of hacksaw blade are bent</p>,towards right,towards left,alternately towards right and left and every third or fourth left straight,may be bent in any direction,,C,
"<p>In a cold chamber die casting machine, a measured quantity of molten metal is brought in a ladle from the melting pot to a chamber and forced into the closed die-section by applying hydraulic pressure upon the plunger.</p>",Correct,Incorrect,,,,A,
"<p>For cutting brass, the hacksaw blade should have __________ teeth per 25 mm.</p>",14,24,32,40,,A,
<p>A casting defect which occurs near the ingates as rough lumps on the surface of a casting is known as</p>,shift,sand wash,swell,scab,,B,
<p>The cold chisels are made from</p>,cast iron,mild steel,high speed steel,cast tool steel,,D,
"<p>To prevent the body of the blade from jamming in the saw cut, the teeth of blade are</p>",strengthened,sharpened,set,all of these,,C,
<p>A ring gauge is used to</p>,check the diameter of shafts or studs,test the accuracy of holes,check the clearance between two mating surfaces,all of the above,,A,
<p>A casting defect which results in general enlargement of a casting is known as</p>,shift,sand wash,swell,scab,,C,
<p>Rotary swaging</p>,is extensively used for making bolts and rivets,is used for reducing the diameters of round bars and tubes by rotating dies which open and close rapidly on the work,is used to improve fatigue resistance of the metal by setting up compressive stresses in its surface,consists of pressing the metal inside a chamber to force it out by high pressure through an orifice which is shaped to provide the desired form of the finished part,,B,
<p>The operation of cutting a number of holes evenly spaced in a regular pattern on a sheet of metal is. called perforating.</p>,Agree,Disagree,,,,A,
<p>The metal is subjected to mechanical working for</p>,refining grain size,reducing original block into desired shape,controlling the direction of flow lines,all of these,,D,
<p>During hot working of metals</p>,porosity of the metal is largely eliminated,grain structure of the metal is refined,mechanical properties are improved due to refinement of grains,all of the above,,D,
<p>The electron beam welding can be carried out in</p>,open air,a shielded gas environment,vacuum,a pressurised inert gas chamber,,C,
"<p>In tungsten-inert gas arc welding, a __________ electrode is used.</p>",consumable,non-consumable,,,,B,
<p>The operation of cutting a cylindrical hole in a sheet of metal by the punch and die is called</p>,shearing,piercing,punching,blanking,,C,
"<p>In die casting, machining allowance is</p>",small,large,very large,not provided,,D,
"<p>The welding set up is said to have straight polarity, when</p>",work is connected to the positive terminal and the electrode holder to the negative terminal,work is connected to the negative terminal and the electrode holder to the positive terminal,work is connected to the positive terminal and the electrode holder is earthed,work is connected to the negative terminal and the electrode holder is earthed,,A,
<p>A moving mandrel is used in</p>,wiredrawing,tube drawing,metal cutting,forging,,B,
<p>The most preferred process for casting gas turbine blades is</p>,die casting,shell moulding,investment moulding,sand casting,,B,
<p>The upsetting is a process of</p>,increasing the cross-section of a bar,reducing the cross-section of a bar,joining the two surfaces of metal under pressure after heating,bending of a bar,,A,
"<p>If neutral flame is used in oxy-acetylene welding, both oxygen and acetylene cylinders of the same capacity will be emptied at the same time.</p>",Correct,Incorrect,,,,A,
<p>Which of the following material can be used for making patterns ?</p>,Aluminium,Wax,Lead,all of these,,D,
<p>The torch used for oxygen cutting is same as for oxy-acetylene welding.</p>,Yes,No,,,,B,
"<p>According to Indian standards, the total number of tolerance grades are</p>",8,12,18,20,,C,
<p>Loam sand is a mixture of</p>,30% sand and 70% clay,50% sand and 50% clay,70% sand and 30% clay,90% sand and 10% clay,,B,
<p>A three high rolling mill consists of three rolls placed one above the other. Which of the following statement is correct?</p>,The upper and middle rolls rotate in the same direction whereas the bottom roll rotates in opposite direction.,The upper and bottom rolls rotate in the same direction whereas the middle roll rotate in opposite direction.,The bottom and middle roll rotate in the same direction.,any one of the above,,B,
<p>The oxy-acetylene gas used in gas welding produce a flame temperature of</p>,1800°C,2100°C,2400°C,3200°C,,D,
<p>Metal patterns require __________ draft allowance than wooden patterns.</p>,more,less,,,,B,
