question,A,B,C,D,E,answer,explanation
"<p>In order to compare the capacity of boilers, the feed water temperature and working pressure are taken as</p>",50° C and normal atmospheric pressure,50° C and 1.1 bar pressure,100° C and normal atmospheric pressure,100° C and 1.1 bar pressure,,C,
<p>A condenser maintains a low pressure (below atmospheric) so as to obtain the maximum possible energy from steam and thus to secure a high efficiency.</p>,Agree,Disagree,,,,A,
<p>The amount of water evaporated from and at 100° C into dry and saturated steam is called evaporative capacity of a boiler.</p>,Yes,No,,,,B,
<p>The difference between the atmospheric pressure and the absolute pressure is known as vacuum in a condenser.</p>,Agree,Disagree,,,,A,
"<p>In a steam condenser, the partial pressure of steam and air are 0.06 bar and 0.007 bar respectively. The condenser pressure is</p>",0.007 bar,0.053 bar,0.06 bar,0.067 bar,,D,
"<p>The ratio of the energy required to produce the artificial draught (expressed in metres head or J/kg of flue gas) to the mechanical equivalent of extra heat carried away per kg of flue gases due to natural draught, is known as</p>",efficiency of the boiler,efficiency of the chimney,efficiency of the fan,power of the boiler,,B,
<p>The function of a piston in a steam engine is</p>,to guide motion of the piston rod and to prevent it from bending,to transfer motion from the piston to the cross-head,to convert heat energy of the steam into mechanical work id) to exhaust steam from the cylinder at proper moment,,,C,
<p>The high steam and low water safety valve is not used in</p>,Cochran boiler,Cornish boiler,Lancashire boiler,Locomotive boiler,,D,
"<p>In a Woolf type compound engine, the high pressure and low pressure cylinders</p>",have common piston rod,are set at 90°,have separate piston rod,are set in <i>V</i> - arrangement,,C,
<p>The actual power generated in the engine cylinder is called</p>,indicated power,brake power,frictional power,none of these,,A,
"<p>Which of the following is correct ? (where <i>p<sub>a</sub></i> = Actual mean effective pressure, <i>p<sub>m</sub></i> = Theoretical mean effective pressure, and <i>K</i> = Diagram factor)</p>",<i>p<sub>a</sub></i> = <i>p<sub>m</sub></i>/<i>K</i>,<i>p<sub>a</sub></i> = <i>p<sub>m</sub></i> x <i>K</i>,<i>p<sub>a</sub></i> = <i>K</i>/<i>p<sub>m</sub></i>,<i>p<sub>a</sub></i> = <i>p<sub>m</sub></i> + <i>K</i>,,B,
<p>The working pressure range for a La-Mont boiler is</p>,0.5 to 10 MN/m<sup>2</sup>,1 to 15 MN/m<sup>2</sup>,2.5 to 15 MN/m<sup>2</sup>,3.5 to 20 MN/m<sup>2</sup>,,D,
<p>The draught in locomotive boilers is produced by a</p>,chimney,centrifugal fan,steam jet,none of these,,C,
<p>The ratio of heat actually used in producing the steam to the heat liberated in the furnace is known as equivalent evaporation from and at 100° C.</p>,Correct,Incorrect,,,,B,
<p>There is about 15 to 20% of coal saving when an economiser is used in a boiler.</p>,True,False,,,,A,
<p>An economiser is generally placed between</p>,last superheater or reheater and air preheater,induced draft fan and forced draft fan,air preheater and chimney,none of the above,,A,
<p>In fire tube boilers</p>,water passes through the tubes which are surrounded by flames and hot gases,the flames and hot gases pass through the tubes which are surrounded by water,forced circulation takes place,none of these,,B,
<p>The efficiency of a boiler is defined as</p>,ratio of heat actually used in producing steam to the heat liberated in the furnace,ratio of the mass of steam produced to the mass of total water supplied in a given time,ratio of the heat liberated in the furnace to the heat actually Used in producing steam,none of the above,,A,
<p>The ratio of the temperature rise of cooling water to the vacuum temperature minus inlet cooling water temperature is called</p>,condenser efficiency,vacuum efficiency,nozzle efficiency,boiler efficiency,,A,
<p>A valve installed between the boiler and the feed pump is</p>,blow off cock,feed check valve,steam stop valve,none of these,,B,
<p>The principal function of a stop valve is to</p>,control the flow of steam from the boiler to the main pipe and to shut off the steam completely when required,"empty the boiler when required and to discharge the mud, scale or sediments which are accumulated at the bottom of the boiler",put off fire in the furnace of the boiler when the level of water in the boiler falls to an unsafe limit,increase the temperature of saturated steam without raising its pressure,,A,
<p>The length of Cornish boiler varies from</p>,2 to 4.5 m,3 to 5 m,5 to 7.5 m,7 to 9 m,,C,
<p>The indicated thermal efficiency is defined as the</p>,ratio of thermal efficiency to the Rankine efficiency,ratio of brake power to the indicated power,ratio of heat equivalent to indicated power to the energy supplied in steam,product of thermal efficiency and Rankine efficiency,,C,
"<p>In surface condensers, the condensate and the cooling water mixes up.</p>",True,False,,,,B,
<p>A water level indicator is a device to indicate the exact water level in the boiler at any instant.</p>,True,False,,,,A,
<p>A vessel into which the steam is exhausted and condensed after doing work in an engine cylinder or turbine is known as</p>,steam condenser,steam boiler,steam preheater,economiser,,A,
<p>The value of diagram factor depends upon</p>,initial conditions of steam,back pressure,initial pressure of steam,all of these,,D,
<p>The function of an eccentric rod is</p>,to provide reciprocating motion to the slide valve,to convert reciprocating motion of the piston into rotary motion of the crank,to convert rotary motion of the crankshaft into to and fro motion of the valve rod,to provide simple harmonic motion to the D-slide valve,,C,
"<p>A receiver type compound engine, requires a lighter flywheel.</p>",Yes,No,,,,A,
<p>The function of a valve rod is</p>,to provide reciprocating motion to the slide valve,to convert reciprocating motion of the piston into rotary motion of the crank,to convert rotary motion of the crankshaft into to and fro motion of the valve rod,to provide simple harmonic motion to the D-slide valve,,D,
"<p>A device used to put off fire in the furnace of the boiler when the level of water in the boiler falls to an unsafe limit, is called</p>",blow off cock,stop valve,superheater,none of these,,D,
<p>The device attached to the steam chest for preventing explosions due to excessive internal pressure of steam is called</p>,safety valve,water level indicator,pressure gauge,fusible plug,,A,
"<p>In a steam engine, superheated steam from the boiler is fed into the steam chest at a pressure of</p>",10 atmospheres,20 atmospheres,30 atmospheres,40 atmospheres,,B,
"<p>A device used to empty the boiler whenever required and to discharge the mud, scale or sediments which are accumulated at the bottom of the boiler, is called blow off cock.</p>",Yes,No,,,,A,
<p>Clearance ratio is the ratio of</p>,clearance volume to the swept volume,clearance volume to the volume at cut-off,volume at cut-off to the swept volume,swept volume to the clearance volume,,A,
"<p>The boiler efficiency is given by (where <i>m</i> = Total mass of water evaporated into steam in kg/h, <i>m<sub>f</sub></i> = Mass of fuel in kg/h, <i>C</i> = Calorific valve of fuel in kJ/kg of fuel, <i>h</i> = Total heat of steam in kJ/kg, and <i>h</i><sub><i>f</i>1</sub> = Sensible heat of feed water in kJ /kg)</p>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/288-116-1.png""/>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/288-116-2.png""/>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/288-116-3.png""/>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/288-116-4.png""/>",,C,
"<p>In a boiler, the heat is lost</p>",to dry flue gases,in moisture present in the fuel,to steam formed by combustion of hydrogen per kg of fuel,all of the above,,D,
<p>The crown of the fire box is made hemispherical in order to resist intense heat in the fire box.</p>,True,False,,,,A,
"<p>For maximum discharge through a chimney, the condition is that height of hot gas column producing the draught should be</p>",one-half the height of chimney,equal to the height of chimney,two times the height of chimney,four times the height of chimney,,B,
<p>Water tube boilers are</p>,internally fired,externally fired,internally as well as externally fired,none of these,,B,
<p>Which of the following statement is correct ?</p>,A horizontal steam engine requires less floor area than a vertical steam engine.,The steam pressure in the cylinder is not allowed to fall below the atmospheric pressure.,The compound steam engines are generally non-condensing steam engines.,all of the above,,B,
