question,A,B,C,D,E,answer,explanation
"<p>A compound steam engine in which the high pressure and low pressure cylinders have common piston rod, is called</p>",receiver type compound engine,Tandem type compound engine,Woolf type compound engine,none of these,,B,
<p>An economiser is used to increase the temperature of saturated steam without raising its pressure.</p>,Correct,Incorrect,,,,B,
"<p>Besides mean effective pressure, the data required to determine the indicated power of an engine include</p>","piston diameter, length of stroke and calorific value of fuel","piston diameter, specific fuel consumption and Calorific value of fuel","piston diameter, length of stroke and speed of rotation","specific fuel consumption, speed of rotation and torque",,C,
<p>The function of a governor is to keep the engine speed uniform at all load conditions.</p>,Correct,Incorrect,,,,A,
<p>The efficiency of the plant __________ with the mechanical draught.</p>,increases,decreases,remains constant,,,A,
"<p>For maximum discharge through a chimney, the temperature of flue gases inside the chimney should the slightly more than the atmospheric temperature.</p>",Correct,Incorrect,,,,A,
<p>The internal flue tubes of a Lancashire boiler are reduced in diameter at the back to provide access to the lower part of the boiler.</p>,True,False,,,,A,
"<p>A device in which some portion of waste heat of flue gases is recovered to heat the air before it passes to the furnace for combustion purpose, is knwon as</p>",superheater,air preheater,economiser,injector,,B,
"<p>In a fire tube boiler, the water is contained inside the tubes which are surrounded by flames and hot gases from outside.</p>",True,False,,,,B,
<p>Steam engines are called external combustion engines.</p>,Yes,No,,,,A,
<p>The diagram factor is the ratio of the</p>,area of the actual indicator diagram to the area of theoretical indicator diagram,actual workdone per stroke to the theoretical workdone per stroke,actual mean effective pressure to the theoretical mean effective pressure,any one of the above,,D,
"<p>By compounding the expansion of steam in two or more cylinders, the length of stroke</p>",does not change,increases,decreases,,,C,
<p>The velocity of flue gases (<i>V</i>) through the chimney under a static draught of(<i>H'</i>) metres is given by</p>,"<i>V</i> = <span class=""root"">2<i>g</i> <i>H'</i></span>","<i>V</i> = <span class=""root"">2<i>g</i>/<i>H'</i></span>","<i>V</i> = <i>H'</i>/<span class=""root"">2<i>g</i> </span>","<i>V</i> = 2<i>g</i><span class=""root""><i>H'</i></span>",,A,
<p>A good steam boiler is one which produces maximum quantity of steam with the given fuel</p>,Agree,Disagree,,,,A,
<p>Cut-off ratio is the ratio of</p>,swept volume to the volume at cut-off,volume at cut-off to the clearance volume,volume at cut-off to the swept volume,clearance volume to the volume at cut-off,,C,
<p>Which of the following is a water tube boiler ?</p>,Lancashire boiler,Babcock and Wilcox boiler,Locomotive boiler,Cochran boiler,,B,
<p>The number of fire tubes in a Cochran boiler are</p>,75,115,165,225,,C,
<p>The actual power supplied by the engine crankshaft is called</p>,indicated power,brake power,frictional power,none of these,,B,
<p>The draught produced by a steam jet issuing from a nozzle placed in the chimney is called</p>,induced steam jet draught,chimney draught,forced steam jet draught,none of these,,A,
<p>The chimney draught varies with</p>,climatic conditions,temperature of furnace gases,height of chimney,all of these,,D,
<p>The relative efficiency is defined as the</p>,ratio of thermal efficiency to Rankine efficiency,ratio of brake power to the indicated power,ratio of heat equivalent to indicated power to the energy supplied in steam,product of thermal efficiency and Rankine efficiency,,A,
<p>Benson boiler is a __________ water tube steam boiler using forced circulation of water.</p>,low pressure,high pressure,,,,B,
<p>Lancashire boiler has __________ internal flue tubes.</p>,one,two,three,four,,B,
<p>Locomotive boiler is a __________ boiler.</p>,fire tube,water tube,,,,A,
"<p>When steam after doing work in the cylinder passes into a condenser, the engine is said to be a</p>",slow speed engine,vertical steam engine,condensing steam engine,non-condensing steam engine,,C,
<p>Water tube boilers produce steam at a __________ pressure than that of fire tube boilers.</p>,lower,higher,,,,B,
<p>The equivalent evaporation is defined as</p>,the ratio of heat actually used in producing the steam to the heat liberated in the furnace,the amount of water evaporated or steam produced in kg per kg of fuel burnt,the amount of water evaporated from and at 100° C into dry and saturated steam,the evaporation of 15.653 kg of water per hour from and at 100° C,,C,
<p>Locomotive boiler is a</p>,"single tube, horizontal, internally fired and stationary boiler","single tube, vertical, externally fired and stationary boiler","multitubular, horizontal, internally fired and mobile boiler","multitubular, horizontal, externally fired and stationary boiler",,C,
<p>The ratio of the __________ to the volume at cut-off is called expansion ratio.</p>,swept volume,clearance volume,,,,A,
"<p>In water tube boilers, the water passes through the tubes which are surrounded by flames and hot gases.</p>",Yes,No,,,,A,
<p>The governing of steam engines keep the engine speed constant according to the changing load conditions</p>,Yes,No,,,,A,
<p>A closed vessel made of steel and used for the generation of steam is called a</p>,steam boiler,steam turbine,steam condenser,steam injector,,A,
<p>A Tandem type compound engine requires a larger flywheel.</p>,True,False,,,,A,
<p>An economiser is installed in a boiler primarily to</p>,superheat the steam,reduce fuel consumption,increase steam pressure,all of these,,B,
<p>The theoretical indicator diagram of a simple steam engine is based upon the assumption that</p>,there is no pressure drop due to condensation,steam is admitted at boiler pressure and exhausted at condenser pressure,the expansion (or compression) of the steam is hyperbolic,all of the above,,D,
<p>Lancashire boiler is</p>,stationary fire tube boiler,internally fired boiler,horizontal boiler,all of these,,D,
<p>The diameter of a cylindrical shell of a Scotch marine boiler varies from</p>,1.5 to 2 m,2.5 to 3.5 m,3.5 to 4.5 m,none of these,,B,
<p>The missing quantity per stroke is equal to</p>,cylinder feed - indicated mass of steam,cylinder feed + indicated mass of steam,mass of cushion steam + indicated mass of steam,mass of cushion steam + cylinder feed,,A,
"<p>In case of non-condensing steam engines, the pressure of steam in the cylinder during exhaust stroke is __________ the condenser pressure.</p>",equal to,lower than,higher than,,,C,
<p>A compound steam engine requires a heavier flywheel than simple steam engines.</p>,True,False,,,,B,
"<p>A compound steam engine in which piston rods of high pressure and low pressure cylinders ' are attached to two different cranks set at 180° to each other, is called</p>",receiver type compound engine,Tandem type compound engine,Woolf type compound engine,both (a) and (b),,C,
<p>The heat balance sheet for the boiler shows the</p>,complete account of heat supplied by 1 kg of dry fuel and the heat consumed,moisture present in the fuel,steam formed by combustion of hygrogen per kg of fuel,all of the above,,A,
<p>The performance of a boiler is measured by the</p>,amount of water evaporated per hour,steam produced in kg/h,steam produced in kg/kg of fuel burnt,all of these,,D,
<p>The evaporative capacity of a boiler is defined as the evaporation of 15.653 kg of water per hour from and at 100° C.</p>,Yes,No,,,,B,
<p>The maximum heat loss is a boiler occurs due to</p>,moisture in fuel,dry flue gases,steam formation,unburnt carbon,,B,
<p>Benson boiler requires</p>,no drum,one drum,two drums,three drums,,A,
<p>The high pressure and low pressure cylinders in a Tandem type compound engine are regarded as having cranks</p>,180° to each other,90° to each other,0° to each other,none of these,,C,
<p>The amount of water evaporated or steam produced in kg per kg of fuel burnt is known as power of a boiler.</p>,True,False,,,,A,
<p>The fire tubes in a Cochran boiler usually have __________ diameter.</p>,6.25 mm,62.5 mm,72.5 mm,92.5 mm,,B,
<p>Cut-off governing as compared to throttle governing is</p>,less efficient and less economical,less efficient and more economical,more efficient and less economical,more efficient and more economical,,D,
