question,A,B,C,D,E,answer,explanation
<p>The object of producing draught in a boiler is</p>,to provide an adequate supply of air for the fuel combustion,to exhaust the gases of combustion from the combustion chamber,to discharge the gases of combustion to the atmosphere through the chimney,all of the above,,D,
"<p>In a glass tube type water indicator for a boiler, one end of the tube is connected to water space and the other end is connected to</p>",water space also,chimney,steam space,superheater,,C,
<p>In water tube boilers</p>,water passes through the tubes which are surrounded by flames and hot gases,the flames and hot gases pass through the tubes which are surrounded by water,forced circulation takes place,none of these,,A,
<p>Which of the following statement is wrong ?</p>,Locomotive boiler is a water tube boiler.,Water tube boilers are internally fired.,La-mont boiler is a low pressure water tube boiler.,all of the above,,D,
"<p>A grate, in a boiler, is a place in the combustion chamber upon which fuel (wood or coal) is burnt.</p>",True,False,,,,A,
<p>Loeffler boiler is a water tube boiler using a forced circulation of water.</p>,True,False,,,,A,
"<p>La-mont boiler, is a high pressure water tube steam boiler working on forced circulation.</p>",Agree,Disagree,,,,A,
<p>The function of a connecting rod is not to convert reciprocating motion of the piston into rotary motion.</p>,True,False,,,,B,
<p>Which of the following statement is correct for a compound steam engine ?</p>,"The cost of the engine, for the same power and economy, is more than that of a simple steam engine.",The forces in the working parts are increased as the forces are distributed over more parts.,"The ratio of expansion is reduced, thus reducing the length of stroke.","The temperature range per cylinder is increased, with corresponding increase in condensation.",,C,
"<p>When the speed of the crankshaft is between 100 r.p.m. and 250 r.p.m., the engine said to be a</p>",slow speed engine,medium speed steam engine,high speed steam engine,none of these,,B,
<p>The natural draught is produced by</p>,steam jet,centrifugal fan,chimney,both (a) and (b),,C,
<p>Willian's line for the steam engine is a straight line relationship between the steam consumption per hour and</p>,indicated power,brake power,efficiency,pressure of steam,,A,
<p>The temperature of condensate is __________ on leaving the condenser than that of circulating water at inlet.</p>,higher,lower,,,,A,
"<p>A draught produced by a chimney due to the difference of densities between the hot gases inside the chimney and cold atmospheric air outside it, is called natural draught.</p>",Yes,No,,,,A,
<p>Which of the following statement is correct ?</p>,"A fire tube boiler occupies less space than a water tube boiler, for a given power.",Steam at a high pressure and in large quantities can be produced with a simple vertical boiler.,A simple vertical boiler has one fire tube.,all of the above,,C,
"<p>A device used to increase the temperature of saturated steam without raising its pressure, is called</p>",blow off cock,fusible plug,superheater,stop valve,,C,
<p>The diameter of flue tube in a Cornish boiler is __________ that of the shell.</p>,one-fourth,one-third,two-fifth,three-fifth,,D,
<p>An economiser __________ the steam raising capacity of a boiler.</p>,increases,decreases,has no effect on,,,A,
<p>Fire tube boilers are</p>,internally fired,externally fired,internally as well as externally fired,none of these,,A,
<p>A safety valve usually employed with stationary boilers is</p>,lever safety valve,dead weight safety valve,high steam and low water safety valve,all of these,,D,
<p>The draught produced by a steam jet issuing from a nozzle placed in the ashpit under the fire grate of the furnace is called</p>,induced steam jet draught,chimney draught,forced steam jet draught,none of these,,C,
<p>Which of the following statement is wrong ?</p>,The factor of evaporation for all boilers is always greater than unity.,The amount of water evaporated in kg per kg of fuel burnt is called equivalent evaporation from and at 100° C.,The ratio of heat actually used in producing the steam to the heat liberated in the furnace is called boiler efficiency.,none of the above,,D,
<p>The function of a crosshead is to guide motion of the __________ and to prevent it from bending.</p>,piston rod,connecting rod,eccentric rod,valve rod,,A,
<p>The cylinder dimensions of a compound engine may be designed on the basis of</p>,equal power developed in each cylinder for uniform turning moment,"equal initial piston loads on all pistons for obtaining same size of piston rod, connecting rod etc. for all cylinders",equal temperature drop in each cylinder for economy of steam,all of the above,,D,
<p>The function of a piston rod is</p>,to guide motion of the piston rod and to prevent it from bending,to transfer motion from the piston to the cross head,to convert heat energy of the steam into mechanical work,to exhust steam from the cylinder at proper moment,,B,
<p>An air preheater is installed</p>,before the economiser,before the superheater,between the economiser and chimney,none of these,,C,
<p>The length of shell of a Locomotive boiler is</p>,1 m,2 m,3 m,4 m,,D,
<p>The effect of wire drawing is to decrease the area of indicator diagram and thus work done by the engine is reduced.</p>,Agree,Disagree,,,,A,
<p>In a uniflow engine</p>,steam enters and exhausts through the same port,steam enters at one end and exhausts at the centre,steam enters at the centre and exhausts at the other end,none of the above,,B,
<p>The shell diameter of a Locomotive boiler is</p>,1 m,1.5 m,2 m,2.5 m,,B,
<p>The fire tubes in a Scotch marine boiler are</p>,horizontal,vertical,inclined,,,A,
"<p>In a reciprocating steam engine, the heat energy in the steam is converted into mechanical work by the to and fro motion of the piston.</p>",Agree,Disagree,,,,A,
<p>The power of a boiler may be defined as</p>,the ratio of heat actually used in producing the steam to the heat liberated in the furnace,the amount of water evaporated or steam produced in kg per kg of fuel burnt,the amount of water evaporated from and at 100° C into dry and saturated steam,the evaporation of 15.653 kg of water per hour from and at 100° C,,B,
"<p>When the circulation of water, in a boiler, is by a centrifugal pump, then the boiler is known as</p>",internally fired boiler,externally fired boiler,natural circulation boiler,forced circulation boiler,,D,
<p>The function of a safety valve is</p>,to blow off steam when the pressure of steam inside the boiler exceeds the working pressure,to indicate the water level inside the boiler to an observer,to measure pressure of steam inside the steam boiler,none of the above,,A,
<p>The fire tubes in a Cochran boiler are</p>,horizontal,vertical,inclined,,,A,
<p>A double acting steam engine with a cylinder diameter of 190 mm and a stroke of 300 mm has a cut-off of 0.35. The expansion ratio for this engine is nearly</p>,1.05,2.86,6.65,10.05,,B,
<p>The aim of a compound steam engine is</p>,to reduce the ratio of expansion in each cylinder,to reduce the length of stroke,to reduce the temperature range in each cylinder,all of the above,,D,
<p>The average operating pressure of Benson boiler is</p>,100 bar,150 bar,200 bar,250 bar,,D,
<p>The diameter of Cornish boiler varies from</p>,0.5 to 1 m,1 to 2 m,1.25 to 2.5 m,2 to 3 m,,B,
<p>A single acting steam engine produces __________ power than that of double acting steam engine.</p>,equal,half,double,four times,,B,
<p>The pressure of steam in the engine cylinder at the beginning of the stroke is __________ the boiler pressure.</p>,equal to,less than,higher than,,,B,
<p>The function of a flywheel is</p>,to convert reciprocating motion of the piston into rotary motion.,to convert rotary motion of the crankshaft into to and fro motion of the valve rod,to prevent fluctuation of speed,to keep the engine speed uniform at all load conditions,,C,
<p>The rate of steam produced in Benson boiler is</p>,100 tonnes/h,135 tonnes/h,175 tonnes/h,250 tonnes/h,,B,
"<p>In natural circulation steam boilers, the circulation of water is by convection currents which are set up during the heating of water.</p>",Correct,Incorrect,,,,A,
<p>Cut-off governing of steam engines is a method of controlling the engine output by varying</p>,volume of intake steam,pressure of intake steam,temperature of intake steam,all of these,,A,
"<p>In a boiler, feed water supplied per hour is 205 kg while coal fired per hour is 23 kg. The net enthalpy rise per kg of water is 145 kJ. If the calorific valve of the coal is 2050 kJ/kg, then the boiler efficiency will be</p>",56%,63%,74%,78%,,B,
