question,A,B,C,D,E,answer,explanation
<p>If a zero is added to a second order underdamped system</p>,the peak overshoot is increased,the peak overshoot is decreased,the peak overshoot remains unchanged,either (a) or (b),,A,
<p>PID controlled system has</p>,P and I actions in forward path and D action in feedback path,P and I actions in feedback path and actions in forward path,"All the three (<i>i.e., </i> P, I and D) actions in forward path","All the three (<i>i.e., </i> P, I and D) actions in feedback path",,A,
<p>In case of synchro error detector the electrical zero position of control transformer is obtained when angular displacement between rotors is</p>,zero,45°,90°,180°,,C,
"<p>If ΔP is pressure difference, A is area of each flat surface, K is stiffness and Δ<i>x</i> is displacement of movable surface from reference of bellows, then</p>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/31-327-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/31-327-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/31-327-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/31-327-4.png""/>",,C,
<p>For Bode plot of (1 + <i>j</i>ωT) has</p>,slope of 20 dB/decade and phase angle + tan<sup>-1</sup> (ωT),slope of - 20 dB/decade and phase angle + tan<sup>-1</sup> (ωT),slope of 20 dB/decade and phase angle - tan<sup>-1</sup> (ωT),slope of - 40 dB/decade and phase angle - tan<sup>-1</sup>(ωT),,A,
"<p>The open loop transfer function of a system is <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-118.png""/>. If the frequency at the intersection of - 40 dB/decade line and 0 dB line is ω, then</p>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-118-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-118-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-118-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-118-4.png""/>",,B,
"<p>For low frequencies such that <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/39-459.png""/>, the log magnitude of factor <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/38-458.png""/> is 0 dB.</p>",True,False,,,,A,
<p><p><b>Assertion (A):</b>  The closeness of G(<i>j</i>ω) locus to (- 1 + <i>j</i>0) point can be used as a measured of margin of stability.</p><p><b>Reason (R):</b> When the G(<i>j</i>ω) locus comes close to encircling (- 1 + <i>j</i>0) point the system becomes oscillatory.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,R is correct but A is wrong,,A,
"<p>For the system of the given figure |G(<i>j</i>ω)| = 0 dB at ω =<br/><img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/19-148.png""/></p>",0,1 rad/sec.,∞,2.38 rad/sec.,,D,
<p>The capacitance of a gas pressure vessel is defined as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/15-71-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/15-71-2.png""/>",(change in gas stored) x (change in gas pressure),none of the above,,A,
<p>The slope of log magnitude curve changes by - 40 dB/decade at a certain frequency and the error between asymptote and actual curve is positive. This means that</p>,a double pole is present,a pair of complex conjugate poles is present,either (a) or (b),neither (a) nor (b),,B,
<p>A system has high gain and phase margin. The system is</p>,very stable,sluggish,very stable and sluggish,oscillatory,,C,
"<p>For the transfer function <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/18-125.png""/>, the polar plot a is</p>",semi circle,circle,spiral,none of the above,,C,
<p>A proportional controller is basically</p>,an amplifier with adjustable gain,an integrating amplifier,an amplifier with infinite gain,an amplifier with almost zero gain,,A,
"<p>A network has <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/16-77.png""/>. Then</p>",it is lead network,it is lag network,it is lead network if T<sub>1</sub> &gt; T<sub>2</sub> and lag network T<sub>1</sub> &lt; T<sub>2</sub>,it is lead network if T<sub>1</sub> &lt; T<sub>2</sub> and lag network T<sub>1</sub> &gt; T<sub>2</sub>,,C,
"<p>The given figure shows log magnitude versus ω plots of a system for different values of gain. For this system<br/><img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-397.png""/></p>",curve 1 shows highest gain margin and curve 2 shows poorest gain margin,gain margins shown by the three curves are equal,curve 1 shows poorest gain margin and curve 3 shows highest gain margin,curve 3 shows poorest gain margin while curve 1 shows highest gain margin,,C,
