question,A,B,C,D,E,answer,explanation
"<p>In figure the collector to emitter breakdown voltage of the transistor (βV<sub>CEO</sub>) should be<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/313-186-1.png""/></p>",more than V<sub>CC</sub>,more than 0.5 V<sub>CC</sub>,more than V<sub>CC</sub> + E,more than 2 V<sub>CC</sub>,,B,
<p>An amplifier signal is made up of just two frequencies 1000 Hz. The output signal consists of 500 Hz and 25000 Hz frequencies. This may be attributed to</p>,harmonic distortion,intermodulation distortion,both (a) and (b),none of the above,,B,
"<p>If input ac is 10 V<sub>rms</sub>, then maximum voltage that will appear across the diode of a half wave rectifier with a capacitor I/P filter will be</p>",10 V,14 V,20 V,28 V,,B,
"<p>In figure the voltage gain is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-314-1.png""/></p>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-314-2.png""/>",<i>r</i><sub><i>e</i></sub>,"<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-314-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-314-4.png""/>",,C,
<p>One of the major applications of JFET is in</p>,switching,constant current-source,constant voltage-source,electron flow regulation,,A,
<p>A Hartley oscillator uses</p>,a tapped capacitor,a tapped inductor,a tapped inductor for inductive feedback,none of the above,,C,
<p>Aperture circuit produces __________ in sample hold circuit.</p>,the total sampling time,delay between the instance at which hold command is initiated and the instance at which O/P starts tracking I/P,"the time taken by O/P to settle within the specified 1% error band, that of the I/P",time required by holding capacitor to reach upto the level close to input,,B,
<p>A clipper</p>,adds a dc component to the input signal,removes signal voltages above or below a specified value,both (a) and (b),either (a) or (b),,B,
<p>In a rectifier circuit the filter capacitance is increased. Then the ripple will</p>,increase,decrease,remain the same,either (a) or (b),,B,
"<p>The circuit in figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/313-189-1.png""/></p>",positive clamper,negative clamper,positive peak clipper,negative peak clipper,,A,
<p>Which of the following circuits can operate class AB for audio power output?</p>,Emitter follower,Push pull,Cascade,Darlington pair,,D,
"<p>In a P-N-P transistor, with normal bias</p>",the collector junction has negligible resistance,only holes cross the collector junction,the collector-base junction is reverse biased and the emitter base junction is forward biased,only majority carriers cross the collector junction,,C,
"<p>If R<sub>s</sub> is the sources resistance, the O/P resistance of an emitter follower using the simplified hybrid model would be</p>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/338-591-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/338-591-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/338-591-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/338-591-4.png""/>",,A,
<p>A D.C. amplifier amplify</p>,D.C. only,A.C. only,both A.C. and D.C.,none of the above.,,A,
"<p>In common base amplifier the current gain is less than one, but the voltage gain may be anywhere from</p>",0.5 to 1,1 to 5,5 to 10,50 to 2000,,D,
"<p>Figure represents<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/341-640-1.png""/></p>",Integrator,Differentiator,High Pass Filter,Band Pass Filter,,A,
<p>In a class C operation</p>,V<sub>CC</sub> is much larger than V<sub>CE(sat)</sub>,V<sub>CC</sub> is much smaller than V<sub>CE(sat)</sub>,V<sub>CC</sub> and V<sub>CE(sat)</sub> are nearly equal,none of the above,,A,
"<p>The frequency response of an ideal tuned amplifier should be as represented in figure by<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/350-832-1.png""/></p>",A,B,C,D,,C,
"<p>For a good voltage amplifier, its input impedance should be</p>",low as compared to the resistance of the source,high as compared to the resistance of the source,always inductive,always capacitive,,B,
<p>Gain stability in an oscillator can bs achieved by</p>,providing negative feedback,providing positive feedback,using low Q circuits,controlling the gain,,D,
<p>The static characteristic of an adequately forward biased <i>p</i>-<i>n</i> junction is a straight line if the plot is of</p>,log I vs log V,log I vs V,I vs log V,I vs V,,B,
<p>The main use of JFET with a</p>,frequency mixer,source follower,voltage doubler,trigger,,B,
<p><p><b>Assertion (A):</b>  A dc stabilizer has constant output voltage irrespective of variations in input voltage and load current</p><p><b>Reason (R):</b>  A dc series regulator uses a zener diode across the load to stabilize the output voltage.</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>In the self biasing scheme (R<sub>F</sub> across collector to base) of BJT, S<sub>1</sub> tends to unity by __________ R<sub>C</sub> is the collector load Resistance.</p>",increasing R<sub>F</sub>,decreasing R<sub>F</sub>,decreasing R<sub>F</sub> and increasing R<sub>C</sub>,increasing R<sub>F</sub> and decreasing R<sub>C</sub>,,C,
<p>In op-amp integrating amplifier the input is feed to</p>,inverting input,non-inverting input,both inverting and non-inverting input,either inverting or non-inverting input,,A,
"<p>In a resistance loaded amplifier, the gain decreases at high frequencies because</p>",decreasing reactance of the stray C<sub>T</sub>,increasing reactance of the stray C<sub>T</sub>,increasing reactance of C<sub>T</sub>,decreasing reactance of C<sub>T</sub>,,A,
<p>A 1 ms pulse can be stretched to 1 sec pulse by using</p>,an astable multivibrator,a monostable multivibrator,a bistable multivibrator,a Schmitt trigger circuit,,B,
<p>Most of the transistor data sheets specify the power rating for an ambient temperature of</p>,10°C,25°C,50°C,75°C,,B,
"<p>In figure <i>v</i><sub><i>i</i></sub> is a sinusoidal wave. Which of the following best describes the output <i>v</i><sub>0</sub>?<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/319-260-1.png""/></p>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/319-265-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/319-265-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/319-265-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/319-265-4.png""/>",,B,
<p>The early effect in BJT is caused by</p>,fast turn on,fast turn off,large collector base reverse bias,large emitter base forward bias,,C,
"<p>Transformer coupling in transistor amplifier circuits provides high efficiency, because</p>",d.c. resistance is low,collector voltage is stepped up,flux linkages are incomplete,all of the above,,A,
