question,A,B,C,D,E,answer,explanation
<p>A bit synchronizer regenerates at the receiver a clock waveform which is</p>,synchronous with original clock waveform,out of phase by 180° with original clock waveform,out of phase by 90° with the original clock waveform,none of the above,,A,
<p>Probability of error in DPSK is less than PSK</p>,true,false,equal,depend upon noise,,A,
<p>Zero mean Gaussian noise of variance N is applied to a half wave rectifier. The mean squared value of the rectified output will be</p>,0,N/2,"N/<span class=""root"">2</span>",N,,B,
<p>Two sine waves of amplitude A<sub>1</sub> and A<sub>2</sub> are multiplied. The amplitude of the spectral component is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/537-984-1.png""/>",A<sub>1</sub>A<sub>2</sub>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/537-984-2.png""/>",(A<sub>1</sub>A<sub>2</sub>)<sup>1/2</sup>,,A,
<p>In radar display system PPI stands for</p>,Pulse Position Indicator,Plan Position Indicator,Phase Position Indicator,Point Position Indicator,,B,
<p>In phase shift keying the input signal is</p>,<i>s</i><sub><i>t</i></sub>(<i>t</i>) = A cos ω<sub>0</sub><i>t</i> and <i>s</i><sub>2</sub>(<i>t</i>) = - A cos ω<sub>0</sub><i>t</i>,<i>s</i><sub>1</sub>(<i>t</i>) = <i>s</i><sub>2</sub>(<i>t</i>) = A cos ω<sub>0</sub><i>t</i>,"<i>s</i><sub>1</sub>(<i>t</i>) = A cos ω<sub>0</sub><i>t</i> and <i>s</i><sub>2</sub>(<i>t</i>) = A cos (ω<sub>0</sub><i>t</i> + <span class=""symbol"">p</span>/2)","<i>s</i><sub>1</sub>(<i>t</i>) = A cos ω<sub>0</sub><i>t</i> and <i>s</i><sub>2</sub>(<i>t</i>) = - A (cos ω<sub>0</sub><i>t</i> + <span class=""symbol"">p</span>/2)",,A,
"<p>In figure the output <i>v</i>(<i>t</i>) is <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/514-434-1.png""/></p>",an amplitude modulated signal,a frequency modulated signal,a phase modulated signal,none of the above,,B,
"<p>If P<sub><i>k</i></sub> be the probability of the message to be received or transmitted, then the amount of information (I<sub><i>k</i></sub>) associated, in bits, will be</p>",I<sub><i>k</i></sub> = log<sub>2</sub> P<sub><i>k</i></sub>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/542-1094-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/542-1094-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/542-1094-3.png""/>",,D,
<p>A circuit which cannot demodulate SSB is</p>,balanced modulator,product detector,BFO,phase discriminator,,D,
<p>In TV system in India IF video and IF audio frequencies are</p>,33.4 and 28.4 MHz respectively,38.9 and 33.4 MHz respectively,43.8 and 38.9 MHz respectively,33.4 and 38.9 MHz respectively,,B,
<p><p><b>Assertion (A):</b>  The unit of telephone traffic measurement is erlang.</p><p><b>Reason (R):</b>  International circuits for communication are fitted with echo suppressors. </p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
"<p>In a single sideband suppressed carrier AM system, the modulation index is changed from 0 to 1, the power content of the signal</p>",will be quarter,will be doubled,will increase by 50 percent,will increase by 25 percent,,C,
<p>The primary colours are</p>,blue and green,blue and red,red and green,"blue, red and green",,D,
<p>The most commonly used system of modulating for telegraphy is</p>,single tone modulation,on-off keying,frequency shift keying,pulse code modulation,,C,
