question,A,B,C,D,E,answer,explanation
<p>A Discone antenna is</p>,a combination of disk and cone in close approximity,a combination of disk and cone at λ/4 spacing,a combination of disk and cone far apart,a combination of disk and cone at λ/2 spacing,,A, <p>It is a combination of disc and cone in close approximity.</p> 
"<p>In a two tone AM system the two modulating frequencies are 2000 <span class=""symbol"">p</span> and 4000 <span class=""symbol"">p</span> rad/sec. If carrier frequency is 2<span class=""symbol"">p</span> x 10<sup>6</sup> rad/sec the frequencies of upper sidebands are</p>",1.002 MHz and 1.004 MHz,1.001 MHz and 1.002 MHz,1.001 MHz and 1.004 MHz,1.002 MHz and 1.008 MHz,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/548-44-1.png""/>.</p> "
"<p>For a system to be designated as hi-fi, the signal to noise ratio should be at least</p>",25 dB,50 dB,75 dB,100 dB,,B," <p>Hi-Fi system has a <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/549-126-1.png""/> ratio at least equal to 50 dB.</p> "
<p>Dolby system of noise reduction divides the total audio spectrum into</p>,8 frequency bands,4 frequency bands,2 frequency bands,none of the above,,B," <p>Dolby A system divides the frequency in 4 bands viz.<i>f</i> &lt; 80 Hz, 80 Hz &lt; <i>f</i> &lt; 2999 Hz, <i>f</i> &gt; 3000 Hz, <i>f</i> &gt; 9000 Hz.</p> "
"<p>In a system an input resistance of 20 kΩ causes a noise voltage of 15μV. If two such input resistances each of 20 kΩ are used in parallel, the total noise voltage will be about</p>",15 μV,30 μV,7.5 μV,10.6 μV,,D," <p>Overall resistance = 10 kW. Noise voltage = (15)<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-380-1.png""/> = 10.6 μV.</p> "
"<p>In the television system in India, the odd and even fields are scanned</p>",25 times each,25 times each but alternately,50 times each,50 times each but alternately,,B, <p>Each field is scanned 25 times but alternately.</p> 
"<p>Consider the following <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A signal <i>f</i>(<i>t</i>) and its Hilbert transform <i>f<sub>h</sub></i>(<i>t</i>) have the same energy density spectrum</li><li style=""padding-top:10px;"">A signal <i>f</i>(<i>t</i>) and its Hilbert transform, <i>f<sub>h</sub></i>(<i>t</i>) have the same auto correlation function</li><li style=""padding-top:10px;"">A signal <i>f</i>(<i>t</i>) and its Hilbert transform are mutually orthogonal</li></ol> Which of the above are true?</p>","1, 2 and 3",1 and 2 only,1 only,2 and 3 only,,A, <p>All are correct.</p> 
<p>Vidicon and plumbicon operate on the principle of</p>,photo conduction,photo emission,photo voltaic,none of the above,,A, <p>Photo conduction uses the fact that resistivity of some materials depends on intensity of light falling on their surface.</p> 
<p>A TV receiver has a width of 60 cm. The aspect ratio is 4/3. The required EHT supply is about</p>,29 kV,2.9 kV,45 kV,4.5 kV,,A," <p>EHT supply is 1 kV per diagonal inch.</p>
<p>Height = 60 x <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-6.png""/> = 45 cm. </p>
<p>Diagonal = <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-338-1.png""/>.</p> "
<p>The typical squelch circuit</p>,cuts off IF amplifier when AGC is minimum,cuts off IF amplifier when AGC is maximum,cuts off audio amplifier when carrier is absent,eliminates RF interference when signal is weak,,C," <p>To suppress noise when carrier is absent, squelch circuit cuts off audio amplifier.</p> "
<p>A narrow band noise n(<i>t</i>) has symmetrical spectrum and has power density spectrum 0.2 x 10<sup>-6</sup>. The power density of quadrature component is</p>,0.2 x 10<sup>-6</sup>,10<sup>-7</sup>,4 x 10<sup>-7</sup>,5 x 10<sup>-8</sup>,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-868-1.png""/>.</p> "
<p>The radio receivers mostly used now a days are</p>,TRF receivers,super heterodyne receivers,CW receivers,pulsed receivers,,B, <p>Now-a-days only super heterodyne radio receivers are used.</p> 
"<p>The reactance of coupling capacitors, for DC quantities, is</p>",zero,low,infinite,zero or low,,C, <p>For zero frequency capacitive reactance is infinite.</p> 
<p>An AM wave is given by <i>s</i>(<i>t</i>)<sub>AM</sub> = 20 (1 + 0.5 cos 10<sup>3</sup><i>t</i> + 0.3 cos 10<sup>4</sup> <i>t</i> cos 10<sup>6</sup> <i>t</i>) the modulation index of the envelope is</p>,0.5,0.58,0.3,0.8,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-854-1.png""/>.</p> "
<p>The modulating frequency in frequency modulation is increased from 10 kHz to 30 kHz. The bandwidth is increased by</p>,6,1/6 times,increase by 30 kHz,increase by 20 kHz,,A," <p>BW = 2<i>f<sub>m</sub></i>(1 + β) </p>
<p>for β &gt;&gt; 1 </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> B.W. <span class=""symbol"">a</span> 2<i>f<sub>m</sub></i> .</p> "
<p>A sinusoidal signal with peak to peak amplitude of 1.536 volt is quantized into 128 levels using a mid-rise uniform quantizer. The quantization noise power is</p>,0.768 V,48 x 10<sup>-6</sup> V,12 x 10<sup>-6</sup> V,3.072 Volt,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-946-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-946-2.png""/>.</p> "
"<p>An FM wave is made to pass through a frequency tripler. If original modulation index is <i>m<sub>f</sub></i>, the output of tripler has a modulation index equal to</p>",<i>m<sub>f</sub></i>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-1.png""/> <i>m<sub>f</sub></i>",3 <i>m<sub>f</sub></i>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/519-527-1.png""/> <i>m<sub>f</sub></i>",,C, <p>Frequency tripler makes modulation index three times.</p> 
<p>A balun provides an impedance transformation of</p>,16 : 1,8 : 1,4 : 1,2 : 1,,C," <p>Balun has turn ratio of 2 : 1. Therefore, impedance transformation is 4 : 1.</p> "
"<p>A signal <i>m</i>(<i>t</i>) with bandwidth 500 Hz is first multiplied by a signal <i>g</i>(<i>t</i>) where <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/536-963-1.png""/>. The resulting signal is then passes through an ideal low pass filter with bandwidth 1 kHz the output of the low pass filter would be</p>",δ(<i>t</i>),<i>m</i>(<i>t</i>),0,<i>m</i>(<i>t</i>) δ(<i>t</i>),,B," <p>Multiplication in time domain is equivalent to convolution. According to the property of impulse signal, convolution of a signal <i>m</i>(<i>t</i>) with δ(<i>t</i>) is signal itself. </p>
<p><i>m</i>(<i>t</i>) x <i>g</i>(<i>t</i>)</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/556-963-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> <i>m</i>(<i>t</i>).</p> "
"<p>If γ = (S<sub>0</sub>/N<sub>0</sub>)/(S<sub><i>i</i></sub>/N<sub><i>m</i></sub>) where S<sub>0</sub> and S<sub>1</sub> are signal power output and signal power input and N<sub>0</sub> and N<sub><i>m</i></sub> are noise power output and noise power input, the value of γ for SSB-SC and DSB-SC amplitude modulated system respectively are</p>",1 and 1,1 and 2,2 and 1,0.5 and 0.5,,A, <p>SSB - SC and SSB - DB have γ = 1 and are similar from noise point.</p> 
"<p>Consider the draw backs <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Slope overload</li><li style=""padding-top:10px;"">Serration noise</li><li style=""padding-top:10px;"">Granular noise</li></ol> Which of these draw backs does Delta modulation have?</p>",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2, 3",,C," <p>In delta modulation the, recovered waveform may be dc whereas the original signal is not dc. This noise is called granular noise.</p> "
<p>It is required to increase the maximum range of a radar by a factor of two. The peak power transmitted in the radar system has to be increased by a factor of</p>,2,4,8,16,,A, <p>Range μ (Power)<sup>0.25</sup></p> 
<p>Armstrong F.M. transmitter performs frequency multiplication in stages</p>,to increase the overall S/N,for convenience,to reduce the bandwidth,to find the desired value of carrier frequency with frequency deviation,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-865-1.png""/> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-865-2.png""/> </p>
<p>where (Δ<i>f</i>) is the frequency deviation.</p> "
"<p>A source generates three symbols with probabilities 0.25, 0.25, 0.50 at a rate of 3000 symbols per second. Assuming independent generation of symbols, the most efficient source encoder would have average bit rate is as</p>",6000 bits/sec,4500 bits/sec,3000 bits/sec,1500 bits/sec,,B," <p>Use Shannon Fano coding.</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/556-966-1.png""/></p>
<p>(0.25) is encoded as 01 </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> Number of bits/sec</p>
<p>= 0.25 x 3000 x 2 + 0.25 x 3000 x 2 + 0.5 x 3000 </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 45000 bits/sec.</p> "
<p>The filter circuit for feeding tweeter has</p>,an inductance in series and a capacitance in parallel,a capacitance in series and an inductance in parallel,a resistance in series and a capacitance in parallel,a capacitance in series and a resistance in parallel,,B, <p>Series capacitance and shunt inductance is high pass circuit.</p> 
<p>The name modem is a contraction of terms modulator demodulator.</p>,True,False,,,,A, <p>Baudot code is 5 bit code.</p> 
<p>The use of SSB</p>,halves the bandwidth required for transmission,does not affect the bandwidth for transmission,decreases the bandwidth required for transmission by 25%,decreases the bandwidth required for transmission by 66.6%,,A," <p>One side band is eliminated in SSB. </p>
<p>Therefore bandwidth is halved.</p> "
