question,A,B,C,D,E,answer,explanation
<p>In VCR the luminance signal is recorded by</p>,frequency modulation,phase modulation,amplitude modulation,direct recording,,A,
<p><p><b>Assertion (A):</b>  In digital communication data is coded prior to being transferred.</p><p><b>Reason (R):</b>  A number of codes for digital data processing are available.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>In FM modulation pre-emphasis is done for</p>,high frequency components,low frequency components,middle frequency components,both (a) and (b),,A,
"<p><i>c</i>(<i>t</i>) and <i>m</i>(<i>t</i>) are used to generate an AM signal. The modulation index of the generated AM signal is 0.5 then the quantity <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/535-943-1.png""/> is</p>",1/2,1/4,1/3,1/8,,D,
<p>High intermediate frequency in a superheterodyne receiver</p>,higher than,lower than,equal to,not comparable to,,A,
<p>The number of repeaters in a coaxial cable link depends on</p>,system bandwidth,separation of equalizers,the number of coaxial cables in the tube,none of the above,,A,
"<p>The overall noise temperature T<sub><i>e</i></sub>, absolute temperature T and noise figure F are related as</p>",T<sub><i>e</i></sub> = T(F - 1),T<sub><i>e</i></sub> = F(T - 1),T = T<sub><i>e</i></sub>(F - 1),T<sub><i>e</i></sub> = (T)(F),,A,
<p>In binary data transmission DPSK is preferred to PSK because</p>,a coherent carrier is not required to the generated at the receiver,"for a given energy per bit, the probability for zero is less",the 180° phase shifts of the carrier,more protection is provided against impulse noise,,A,
<p>A basic group B</p>,consists of five super groups,has a frequency range of 60 to 108 kHz,consists of erect channels only,is formed at group translating equipment,,B,
<p>By the use of which of the following the PPM can be converted to PWM?</p>,A stable multivibrator,Integrator,Monostable multivibrator,Bistable Multivibrator,,D,
<p>Frequency shifting keying is basically a method involving</p>,amplitude modulation,frequency modulation,phase modulation,none of the above,,B,
<p>Which of the following codes provides parity checks?</p>,CCITT-2,EBCDIC,ASCII,Baudot,,C,
<p>PA radar means</p>,Phased Array radar,Pulsed Array radar,Pulse Amplitude radar,None of the above,,A,
<p>Dynamic range of hi-fi system is at least</p>,150 dB,120 dB,80 dB,40 dB,,C,
<p>A band limited signal is sampled at the Nyquist rate. The signal can be recovered by passing the samples through</p>,an RC filter,an envelope detector,a PPL,an ideal low pass filter with the appropriate bandwidth,,D,
<p>The seven segment display used in watches and clocks generally uses</p>,LED,LCD,Photodiode,FET,,A,
<p>If <i>e</i> = 10 sin(10<sup>8</sup> <i>t</i> + 3 sin 10<sup>4</sup> <i>t</i>) then modulating frequency is</p>,159 Hz,1590 Hz,1.59 MHz,15.9 MHz,,B,
"<p>When a signal is quantized such that the step size S is small in comparison with the peak to peak range of the signal, the mean square quantization error is equal to</p>",S<sup>2</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/515-437-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/515-437-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/515-437-3.png""/>",,D,
<p><p><b>Assertion (A):</b>  Many times a radar cannot detect 'grounding hopping' military aircraft.</p><p><b>Reason (R):</b>  Ground interference limits the range of radar.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>Entropies associated with an extremely unlikely message and that with an extremely likely message are respectively</p>,0 and 0,1 and 1,1 and 0,0 and 1,,A,
"<p>In push button type telephone set, pressing a button generates</p>",one frequency,two high frequencies,two low frequencies,one low frequency and one high frequency,,D,
<p>If sound wave has an intensity of 10 Pa. The dB level is about</p>,1.139 dB,11.39 dB,113.9 dB,1139 dB,,C,
