question,A,B,C,D,E,answer,explanation
<p>If a signal band limited for <i>f<sub>m</sub></i> is sampled at a rate less than 2 <i>f<sub>m</sub></i> the reconstructed signal will be</p>,smaller in amplitude,distorted,having higher frequencies suppressed,none of the above,,B,
<p>A better SNR can be obtained in a PCM by</p>,increasing sampling rate above Nyquist rate,decreasing the code bits,reducing channel bandwidth,increasing Quantization levels,,D,
<p>The baud rate is</p>,always equal to the bit transfer rate,equal to twice the bandwidth of an ideal channel,not equal to the signalling rate,equal to one half the bandwidth of ideal channel,,B,
<p>The type of noise that interfere very much with high frequency transmission is</p>,white,transit time,flicker,shot,,B,
"<p>In communication systems, the modulating signal is also called</p>",base band signal,side bands,auxiliary signal,none of the above,,A,
<p>Hue of a colour means</p>,amount of light energy received by eye,predominant spectral purity of colour light,amount of other colours present,none of the above,,B,
"<p>Consider the following statements: The radar pulse must be flat topped to <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">allow accurate range measurement</li><li style=""padding-top:10px;"">allow good minimum range</li><li style=""padding-top:10px;"">prevent frequency changes in magnetron</li><li style=""padding-top:10px;"">make the returned echoes easier to distinguish from noise.</li></ol> Which of the above are correct?</p>","1, 2, 3, 4","1, 2, 3","1, 2","1, 3, 4",,B,
<p>Filter method and phasing method are the methods for generating</p>,SSB signal,vestigial side band signal,both SSB and vestigial sideband signals,none of the above,,A,
<p>In amplitude modulation</p>,the amplitude of carrier varies in accordance with the amplitude of the modulating signal,the modulating frequency lies in the audio range,the amplitude of the carrier remains constant,the amplitude of the carrier varies in accordance with the frequency of the modulating signal,,A,
<p>Which one the following is an advantage of AM over FM?</p>,FM has wide bandwidth,FM has better,FM is more immune to noise,Probability of noise spike generation is less in AM,,D,
"<p>Some multiplexing arrangements for telephone system are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Space multiplexing</li><li style=""padding-top:10px;"">Time division multiplexing</li><li style=""padding-top:10px;"">Frequency division multiplexing</li></ol> Which of the above allow transmission of many independent signals over a single channel?</p>",1 only,2 and 3 only,"1, 2, 3",1 and 3 only,,B,
<p>Industrial noise has the frequency range of</p>,1 to 100 Hz,200 to 5000 Hz,above 200 MHz,1 to 600 MHz,,D,
<p>Thermal noise Power is</p>,proportional to bandwidth (B),∝ B,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1028-1.png""/>",∝B<sup>2</sup>,,A,
<p>The characteristic impedance of coaxial cable is about</p>,1000 ohm,500 ohm,250 ohm,75 ohm,,D,
<p>The diameter and thickness of CD are</p>,6 cm and 1.2 mm,6 cm and 0.6 mm,12 cm and 0.6 mm,12 cm and 1.2 mm,,C,
"<p>Consider the following statements about advantages of phase discriminator over slope detector <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Fewer tuned circuits</li><li style=""padding-top:10px;"">Greater limiting</li><li style=""padding-top:10px;"">Better linearity</li><li style=""padding-top:10px;"">Easy alignment</li></ol> Which of the above are true?</p>","1, 2, 3, 4","2, 3, 4","1, 2, 3","1, 3, 4",,D,
<p>In a superheterodyne radio receiver</p>,RF amplifier normally operates at 455 kHz above carrier frequency,mixer input must be tuned to the signal frequency,local oscillator operates below signal frequency,local oscillator frequency is double the IF,,B,
<p>The assigned carrier frequency of an FM broadcast station is 96.3 MHz. Its FM signal has a centre frequency of</p>,10 MHz,455 kHz,48.15 MHz,96.3 MHz,,D,
<p>Digital television is also called</p>,High digital television,High definition television,High deflection television,High display television,,B,
<p>The number of spectral component of a cosine wave is</p>,1,0,2,4,,C,
<p>At FM demodulator output noise power density</p>,increases with frequency,decreases with frequency,remains unaltered,none of the above,,A,
"<p>According to CCIR standards, the Vestigial Sideband (VSB)</p>",video frequencies upto 4 MHz are transmitted,video frequencies upto 5 MHz are transmitted,video frequencies upto 5.5 MHz are transmitted,video frequencies upto 6 MHz are transmitted,,B,
<p>Line of sight transmission is used in</p>,radio frequencies below 1 MHz,VHF only,audio signals only,VHF and UHF,,D,
<p>A typical value of insertion loss of SAW filter is</p>,15 dB,2 dB,40 dB,60 dB,,A,
"<p>In phase modulation, the phase deviation is</p>",proportional to the amplitude of the signal and varies with frequency,remains constant while amplitude and frequency of signal varies,proportional to the amplitude of the signal and independent of the frequency,none of the above,,C,
"<p>In the human eye, an image persists for a time of about</p>",1 second,0.1 second,0.05 second,0.02 second,,D,
<p>The different channels in a TDM receiver are separated by</p>,integration,differentiation,AND gate,OR gate,,C,
<p>In a pulsed RADAR typical value of pulse duration and pulse frequency respectively are</p>,1 μs and 50 Hz,1 μs and 500 Hz,4 μs and 50 Hz,4 μs and 500 Hz,,B,
<p>In a hi-fi system the nonlinear distortion should be less than</p>,10%,5%,2%,1%,,D,
<p>A pure tone at 1000 Hz has a dB level of 50 dB. If two such tones exist simultaneously the dB level is about</p>,50 dB,53 dB,100 dB,200 dB,,B,
<p>The HV and other voltage supplies for a TV receiver are obtained from IHVT. The full name for this device is</p>,Internal high voltage transformer,Integrated high voltage transformer,Instant high voltage transformer,Interleaved high voltage transformer,,B,
<p>The main systems used for generation of SSB are</p>,filter method,phase cancellation method,third method,all of the above,,D,
<p>An antenna operates effectively when its dimensions are</p>,of the order of magnitude of wavelength to be transmitted,very small than the magnitude of wavelength to be transmitted,very large than the magnitude of wavelength to be transmitted,either (a) or (b),,A,
<p>The mobile unit of a mobile telephone is generally in</p>,vehicles,pocket,office,vehicle or pocket,,A,
"<p><p><b>Assertion (A):</b>  Water waves are longitudinal but EM waves are transverse</p><p><b>Reason (R):</b>  In an EM wave electric field, magnetic field and propagation are mutually perpendicular.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>In a wave the electric field lines are vertical. Then the wave is</p>,horizontally polarized,vertically polarized,either (a) or (b),neither (a) nor (b),,B,
