question,A,B,C,D,E,answer,explanation
<p>A telephone channel requires a bandwidth of about</p>,1 kHz,3 kHz,10 kHz,50 kHz,,B,
"<p>For a given carrier wave, maximum undistorted power is transmitted when value of modulation is</p>",1,0.8,0.5,0,,A,
"<p>As per Shannon-Hartley theorem, a noise less Gaussian channel has</p>",zero capacity,infinite capacity,small capacity,none of the above,,B,
<p>DVD uses</p>,Laser beam for both recording and playback,Laser beam for recording and video head for playback,Video head for recording and laser beam for playback,None of the above,,A,
<p>Fourier analysis indicate that a square wave can be represented as</p>,a fundamental sine wave and odd harmonics,a fundamental sine wave and even harmonics,a fundamental sine wave and harmonics,fundamental and subharmonic sine waves,,A,
<p>FM transmitting and receiving equipment as compared to AM equipment is</p>,costly,cheaper,almost equally costly,none of the above,,A,
<p>An audio signal (say from 50 Hz to 10000 Hz) is frequency translated by a carrier having a frequency of 10<sup>6</sup> Hz. The values of initial (without frequency translation) and final (after frequency translation) fractional change in frequency from one band edge to the other are</p>,200 and 1.01,200 and 10.01,200 and 100.1,200 and 200,,A,
"<p>If in a broadcasting studio, a 1000 kHz carrier is modulated by an audio signal of frequency range 100-5000 kHz, the width of channel is __________ kHz.</p>",5,4.9,995,10,,D,
<p>Which one of the following is analog?</p>,PCM,PWM,Delta modulation,Differential PCM,,B,
<p>The disadvantage of FM over AM is that</p>,high output power is needed,high modulating power is needed,noise is very high for high frequency,large bandwidth is required,,D,
<p>Which of the following is a digital modulation technique?</p>,PCM,PSK,DM,All,,D,
<p>Which of the following is used to generate PDM?</p>,Free running multi-vibrator,Monostable multi-vibrator,JK flip-flop,Schmitt trigger,,B,
<p>SSB can be generated by</p>,filter method,phase cancellation method,good attenuation characteristics,all of the above,,D,
<p>A zero mean white Gaussian noise is passed through an ideal low pass filter of bandwidth 10 kHz. The output of the samples so obtained would be</p>,correlated,statistically independent,uncorrelated,orthogonal,,B,
<p>What is the purpose of peak clipper circuits in radio transmitters?</p>,To prevent overmodulation,To reduce bandwidth,To increase bandwidth,To regulate oscillator I/P voltage,,A,
"<p>In case of low level amplitude modulation system, the amplifiers following the modulated stage must be</p>",class C amplifiers,linear devices,non-linear devices,harmonic devices,,B,
"<p>Under ordinary circumstances, impulse noise can be reduced in</p>",FM only,AM only,both AM and FM,none of the above,,A,
"<p>In case of frequency modulation, modulating voltage remains constant if the modulating frequency is lowered, then</p>",amplitude of distant sidebands decreases,amplitude of distant sidebands increases,amplitude of distant sidebands remains constant,"amplitude of distant sidebands first increases, then decreases",,B,
<p>If sampling is done at the rate of 10 kHz. The bandwidth required is</p>,35 kHz,70 kHz,10 kHz,1280 kHz,,A,
<p>It is found that a ship to ship communication suffers from fading. This can be avoided by using</p>,space diversity,frequency diversity,broad band antenna,directional antenna,,B,
<p>Skip distance depends on time of day and angle of incidence.</p>,True,False,,,,A,
"<p>In practical commercial FM system, channel bandwidth is</p>",150 kHz,100 kHz,88 MHz,108 MHz,,A,
"<p>In EM waves, polarization</p>",is always vertical in an isotropic medium,is caused by reflection,is due to transverse nature of waves,results from longitudinal nature of waves,,C,
<p>The maximum power output of a standard A earth station over the total band allocated to satellite communication is about</p>,0.5 kW,8 kW,20 kW,50 kW,,A,
<p>PAM stands for</p>,Pulse Analogue Modulation,Phase Analogue Modulation,Pulse Amplitude Modulation,Phase Amplitude Modulation,,C,
<p>The characteristic impedance of a twin wire feeder used for TV signals is about</p>,1000 ohm,500 ohm,300 ohm,100 ohm,,C,
"<p>In a FM receiver, amplitude limiter</p>",amplifiers low frequency signals,reduces the amplitude of signals,eliminates any change in amplitude of received FM signals,none of the above,,C,
<p>A buffer amplifier is</p>,a double-tuned amplifier,a high gain D.C. amplifier,a cathode follower stage,none of the above,,B,
<p>Leak type bias is used in plate modulated class C amplifier to</p>,increase the bandwidth,prevent over modulation,prevent excessive grid current,prevent tuned circuit damping,,C,
<p>The direction of rotation of a CD is</p>,clockwise,anticlockwise,clockwise or anticlockwise depending on frequency of data stored,mostly anticlockwise but some times clockwise,,B,
<p>One of the advantages of base modulation over collector modulation of a transistor class C amplifier is</p>,improved efficiency,better linearity,high power output per transistor,the lower modulating power requirement,,D,
<p>Full duplex operation-permits transmission in both directions at the same time.</p>,True,False,,,,A,
<p>In a TV receiver antenna the length of reflector rod</p>,is the same as that of dipole,is less than that of dipole,is more than that of dipole,"may be equal, more or less than that of dipole",,C,
<p>The modulation index of an FM is changed from 0 to 1. How does the transmitted power change?</p>,Gets halved,Gets doubled,Gets increased by 50 percent,Remains unchanged,,C,
<p>For AM receivers the standard IF frequency is</p>,106 kHz,455 kHz,1.07 MHz,10.7 MHz,,B,
<p>For a plate-modulated class C amplifier the plate supply voltage is E. The maximum plate cathode voltage could be almost high as</p>,2E,3E,4E,6E,,C,
"<p>In TV systems, equalising pulses are sent during</p>",horizontal blanking,vertical blanking,serrations,horizontal retrace,,A,
<p>A carrier A cos ω<i><sub>c</sub></i><i>t</i> is modulated by a signal <i>m<sub>t</sub></i> A cos ω<sub>1</sub><i>t</i> + <i>m</i><sub>2</sub> A cos ω<sub>2</sub><i>t</i> + m<sub>3</sub> A cos ω<sub>3</sub><i>t</i>. The total modulated power is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-52-1.png""/>",A<sup>2</sup>(1 + 0.5 <i>m</i><sub>1</sub><sup>2</sup> + 0.5 <i>m</i><sub>2</sub><sup>2</sup> + 0.5 <i>m</i><sub>3</sub><sup>2</sup>),"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-52-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-52-4.png""/>",,A,
<p>A three stage telephone switching structure is to have 128 input and 128 output terminals. There are 16 first stage and 16 third stage matrices. To avoid blocking the number of intermediate paths required is</p>,16,15,8,1,,B,
<p>The main function of a balanced modulator is to</p>,produce balanced modulation of a carrier wave,produce 100% modulation,suppress carrier signal in order to create a single-sideband or double sideband,limit noise picked by a receiver,,B,
<p>Which of the following is not considered as a useful quantity in comparing noise performance of receivers?</p>,Noise temperature,Noise figure,Noise resistance,Input noise voltage,,D,
<p>Oscillator crystal is made of</p>,silicon,germanium,diamond,quartz,,D,
