question,A,B,C,D,E,answer,explanation
"<p>If sound intensity is 8 W/m<sup>2</sup>, the dB level of this sound is about</p>",5 dB,50 dB,129 dB,1290 dB,,C,
<p>The distance of a direct broadcasting satellite from earth's surface is about</p>,1000 km,10000 km,36000 km,55000 km,,C,
<p>Which of the following microphones has an inbuilt amplifier?</p>,Condenser,Moving coil,Ribbon,Carbon,,A,
<p>UHF range is</p>,3 to 30 MHz,30 to 300 MHz,300 to 3000 MHz,3000 to 30000 MHz,,C,
"<p>In asynchronous TDM, for <i>n</i> signal sources, each frame contains <i>m</i> slots, where <i>m</i> is usually</p>",Less than <i>n</i>,2<i>n</i>,<i>n</i>,greater than 2<i>n</i>,,D,
<p>How much is contributed by each bit in the code word of a PCM system under uniform and symmetric quantization to the signal to noise ratio?</p>,3 dB,4 dB,5 dB,6 dB,,D,
<p>Noise which assumes great importance at high frequencies is</p>,flicker noise,Johnson noise,transit-time noise,shot noise,,C,
<p>Which one is Analog Continuous modulation technique?</p>,AM,DM,PAM,PCM,,A,
<p>AM transmitter employing low level modulation</p>,uses class C amplifier for amplification,requires higher audio power,has a poor efficiency,has a higher efficiency,,C,
<p>As the area of a public meeting increases the amplifier power output required increases.</p>,True,False,,,,A,
<p>The number of spectral component when two cosine waves are multiplied of different frequency</p>,1,2,8,4,,D,
<p>Radiation resistance of an antenna is a</p>,dc resistance,ac resistance,either (a) or (b),none of the above,,B,
<p>A 1 MHz sinusoidal carrier is amplitude modulated by a symmetrical square wave of period 100 μ sec. Which of the following frequencies will not be in the modulated signal?</p>,990 kHz,1010 kHz,1020 kHz,1030 kHz,,C,
<p>The input to a coherent detector is DSB - SC signal plus noise. The noise at the detector output is</p>,in phase component,quadrature component,zero,the envelope,,A,
<p>All of the output pulses are at full transmitter power for a strong signal in all of the following except</p>,PWM,PAM,PFM,PCM,,B,
"<p>A pure tone at 1000 Hz has a dB level of 40 dB. If the required dB level is 100, the number of such tones is</p>",2.5,60,10<sup>4</sup>,10<sup>6</sup>,,D,
<p>The spectrum of the white noise and an impulse function is similar in following aspects</p>,both have similar magnitude spectrum,both have similar magnitude and Phase spectrum,no relation,similar phase spectrum,,A,
"<p>In a telephone system, the grade of service means</p>",the quality of sound reception at the receiver telephone,the probability that a called for connection is established,the type of wires cables used for the system,none of the above,,B,
<p>A longwave AM broadcast transmitter needs</p>,very small carrier power,very large carrier power,small carrier power,large carrier power,,B,
<p>AGC voltage is applied to the stages which are</p>,before the detector stage,after the detector stage,either before or after the detector stage,none of the above,,A,
<p>LCD uses</p>,nematic crystals,sematic crystals,cholesteric crystals,twisted nematic crystal,,D,
<p>Which of the following stage is not present in AM receiver as compared to FM receiver?</p>,AM amplifier,Demodulator,Amplitude limiter,AF amplitude,,C,
<p>The function of duplexer in a RADAR is</p>,to permit the use of same antenna for transmission and reception,to provide gain to the transmitted power,to amplify the received signal,both (b) and (c),,A,
"<p>If <i>e</i> = 10 cos (2<span class=""symbol"">p</span> x 10<sup>8</sup><i>t</i> + 20 cos 2<span class=""symbol"">p</span> 10<sup>3</sup><i>t</i>). The bandwidth is</p>",10<sup>8</sup> Hz,42 kHz,21 kHz,10<sup>8</sup> ± 10<sup>3</sup> Hz,,B,
"<p>In FM, as the modulating frequency decreases and the modulating voltage amplitude</p>","increases, the modulation index increases","decrease, the modulation index increases","remains constant, the modulation index increases","remains constant, the modulation index decreases",,C,
<p>Modulation system used for video-modulation in television broadcast is</p>,SSB AM with carrier,SSB with carrier suppressed,DSB AM with carrier,a modified form of SSB with carrier called vestigial sideband,,D,
<p>The highest modulation frequencies typically used in FM broadcast is</p>,5 kHz,10 kHz,15 kHz,25 kHz,,C,
