question,A,B,C,D,E,answer,explanation
<p>In a satellite system circular polarization is to be obtained. The antenna used is</p>,parabolic,horn,log periodic,helical,,D, <p>Helical antenna produces a circularly polarized radiation if its two components are at right angles and are equal. It is very commonly used in radio telemetry.</p> 
"<p>A horizontal output stage is cutoff for retrace and 40% of trace. If time for each horizontal line is 64 μs and retrace time is 12 μs, the transistor is conducting for about</p>",64 μs,6.4 μs,31 μs,3.1 μs,,C," <p>Total time for each horizontal line = <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-339-1.png""/>.</p>
<p>Time for trace = 64 - 12 = 52 μs. </p>
<p>Time for which transistor is not conducting = 12 + 0.4 x 52 = 32.8 ms. </p>
<p>Time for which transistor is conducting = 64 - 32.8 = 31 μs.</p> "
<p>A TV remote control works on the principle of</p>,pulse code modulated ultra violet light,pulse code modulated infrared light,demodulation,either (a) or (b),,B, <p>Infrared light is used in TV remote control.</p> 
"<p>As the magnitude of reverse bias is increased, the capacitance of varactor diode</p>",increases,decreases,"first increase, then decreases",first decreases then increases,,B," <p>When magnitude of reverse bias is increased, thickness of depletion layer increases. </p>
<p>Capacitance is inversely proportional to thickness.</p> "
<p>To prevent overloading in the last IF amplifier one should use</p>,variable sensitivity,squelch,double conversion,variable selectivity,,A, <p>Variable sensitivity prevents overloading.</p> 
<p>Push pull amplifier is</p>,class B,class A,class C,Class A or Class C,,A, <p>It is a class B amplifier.</p> 
<p>The tape recorders used in homes have</p>,common head and common amplifier system for recording and playback,different heads and amplifiers for recording and playback,same head but different amplifiers for recording and playback,different heads but same amplifier for recording and playback,,A, <p>Common head and common amplifier is used.</p> 
"<p>In a communication system, noise is most likely to affect the signal</p>",at the receiver,at the transmitter,at the information source,in the channel,,D, <p>Noise is mostly generated in channel.</p> 
<p>Each frequency in the modulating wave gives rise to four side bands.</p>,True,False,,,,B, <p>Each frequency gives two side bands.</p> 
<p><p><b>Assertion (A):</b>  CCIR-B system has 625 scanning lines per frame and 2 : 1 interlace.</p><p><b>Reason (R):</b>  The aspect ratio is 4 : 3 </p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1199-1.png""/>.</p> "
<p>In VHS format each video head is tilted from azimuth by</p>,20°,10°,6°,1°,,C, <p>Tilting of heads is done to reduce cross-talk.</p> 
<p>The number of possible colours with a 4 line digital input monitor are</p>,4,16,64,2,,B, <p>2<sup>4</sup> = 16.</p> 
<p>Convolution of <i>x</i>(<i>t</i> + 5) with impulse function δ(<i>t</i> - 7) is equal to</p>,<i>x</i>(<i>t</i> - 2),<i>x</i>(<i>t</i> + 12),<i>x</i>(<i>t</i> - 12),(<i>t</i> + 2),,A," <p>Convolution of | <i>x</i>(<i>t</i> + <i>s</i>) with <i>d</i>(<i>t</i> - 7)</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-925-1.png""/> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> <i>x</i>(<i>t</i> - 7 + 5) <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> <i>x</i>(<i>t</i> - 2).</p> "
