question,A,B,C,D,E,answer,explanation
<p>Which of the following is the main advantage of PCM system?</p>,Lower noise,Lower power,Lower bandwidth,All of the above,,A,
<p>BPSK stands for</p>,Binary Phase Shifting Key,Broad Phase Shifting Key,Bit Phase Shifting Key,Binary Pulse Shifting Key,,A,
"<p>If a dipole is meant for a frequency of 1 MHz, the length of each rod is about</p>",5 m,20 m,100 m,50 m,,D,
"<p>Consider the following statements: <br/>In a radar system having a high value of the ratio (antenna diameter)/wavelength <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">the maximum range is large</li><li style=""padding-top:10px;"">good target discrimination is achieved</li><li style=""padding-top:10px;"">capture area is increased</li><li style=""padding-top:10px;"">target acquisition is difficult</li></ol> Which of the above are correct?</p>","1, 2, 3, 4","1, 2, 3","1, 2","1, 3, 4",,B,
<p><p><b>Assertion (A):</b>  The maximum range of a radar is proportional to fourth root of the peak transmitted pulse power.</p><p><b>Reason (R):</b>  Radar signals are subjected twice to inverse square law.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
<p>As EM waves travel in free space they get</p>,reflected,refracted,attenuated,absorbed,,C,
<p>Cross talk is due to reception of portions of a signal from one channel into another.</p>,True,False,,,,A,
"<p>If there are M equally likely and independent messages and M = 2<sup>N</sup> where N is an integer, the information in each message is equal to</p>",N bits,0.5 N bits,2 N bits,4 N bits,,A,
"<p>A radar beacon is a small radar set having a receiver, a separate transmitter and an antenna.</p>",True,False,,,,A,
"<p>In the above case the total power in the modulated wave double sideband, suppressed carrier AM will be</p>",112 W,400 W,415 W,512 W,,B,
<p>Brownian motion is</p>,random emission of electrons in vacuum tubes,thermal motion of electrons in a resistance,random diffusion of holes and electrons in semi- conductors,both (b) and (c),,B,
<p>In a TV studio the illuminance is about</p>,200 lux,1000 lux,10000 lux,10 lux,,B,
<p>MEWS stands for</p>,Missile Early Warning System,Moving Target Early warning System,Missile Early Warning Signal,Moving Target Early Warning Signal,,A,
<p>Top loading in an antenna increases</p>,effective height,beam width,input capacitance,bandwidth,,A,
"<p>In a radar, the return echo arrives after the allocated pulse interval. Then</p>",the receiver may be over loaded,the target will appear closer than its actual position,the return echo may interfere with transmitter operation,none of the above,,B,
<p>The decoder for PAL system is</p>,similar to NTSC decoder,similar to NTSC decoder supplemented by 64 ms delay line,similar to NTSC decoder supplemented by 64 ms delay line and an electronic commutator,either (b) or (c),,C,
<p>CW Doppler radar is capable of giving accurate measurements of relative velocities.</p>,True,False,,,,A,
<p>In the stabilized reactance modulators AFC system</p>,the discriminator must have a fast time constant to prevent demodulation,the higher discriminator frequency the better the oscillator frequency stability,"the discriminator frequency must not be too low, or the system will fail",phase modulation is converted into FM by the equalizer circuit,,D,
<p>An antenna is 30 metre high. The frequency is 1 MHz. The radiation resistance is about</p>,1500 Ω,150 Ω,15 Ω,1.5 Ω,,C,
<p>Which of the following codes is based on BCD format?</p>,EBCDIC,ASCII,Hollerith,both (a) and (b),,D,
"<p>In a system using QASK and 4 bits to form a symbol, the required bandwidth is</p>",same as BPSK,half of that in BPSK,one-fourth of that in BPSK,none of the above,,C,
<p>Each of the following statements regarding frequency modulation is true except</p>,amplitude of the modulated wave remains the same as that of carrier wave,the amount of variation of deviation from the original carrier frequency is determined by the frequency of the modulating signal,the rate at which the frequency of modulated wave varies is determined by the frequency of the modulating signal,frequency of modulated wave increases as the signal voltage increases and vice-versa,,B,
<p><p><b>Assertion (A):</b>  Radio transmission is by sky waves</p><p><b>Reason (R):</b>  Waves having frequencies higher than 30 MHz penetrate the atmosphere and do not return to earth.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>During playback the take up reel is</p>,in clockwise motion,in anticlockwise motion,either clockwise or anticlockwise motion,none of the above,,B,
"<p>To avoid objectionable noise in a microwave TV link, the SNR should be about</p>",50 or more,10 or more,25 or more,200 or more,,C,
<p>Foster Seeley discriminator uses a</p>,single tuned circuit,double tuned circuit with primary and secondary tuned to the same frequency,double tuned circuit with primary and secondary tuned to the different frequency,none of the above,,A,
<p>Which of the following statement about modulation is correct?</p>,It avoid use of antennas,It reduces bandwidth,It ensures transmission over long distances,It combines different transmissions,,C,
<p>Sound wave travels as</p>,longitudinal waves,transverse waves,both longitudinal and transverse waves,either longitudinal or transverse wave,,D,
<p>FM signal can be generated by</p>,diode reactance modulator,saturable reactor modulator,reactance tube modulator,none of the above,,D,
<p>A planar array radar uses a high gain planar array antenna.</p>,True,False,,,,A,
<p>Which of the following terms is not applicable to Yagi-Uda array?</p>,High gain,Folded dipole,Parasitic elements,Good bandwidth,,A,
"<p>If transmission path, in PCM, is very long then</p>",repeater stations are used,pulse width may be increased,pulse amplitude is increased,pulse spacing is reduced,,A,
