question,A,B,C,D,E,answer,explanation
"<p>If the target cross-section is changing, the best scanning system for accurate tracking is</p>",lobe switching,monopulse,sequential lobing,conical scanning,,B,
<p>If <i>e</i> = 10 sin(10<sup>8</sup> <i>t</i> + 3 sin 10<sup>4</sup> <i>t</i>) then the modulation index is</p>,1,2,3,4,,C,
<p>Frequency modulation consists in</p>,varying the frequency and amplitude of the carrier in accordance with the instantaneous value of modulating signal,varying the amplitude of the carrier in accordance with the instantaneous value of the modulating voltage,varying the frequency of the carrier voltage in accordance with the instantaneous value of the modulating voltage,vary the frequency of the carrier voltage,,C,
<p>Pulse modulation is often used in</p>,microwave band,FL band,telegraphy,telephony,,C,
<p>Thermal noise has a power spectral density which is quite uniform upto frequencies in the order of</p>,100 Hz,10<sup>6</sup> Hz,10<sup>9</sup> Hz,10<sup>13</sup> Hz,,D,
<p>In cell communication</p>,carrier frequency change,carrier frequency constant,depend upon location,depend upon geographical area,,A,
<p>A ground wave travels along surface of ground.</p>,True,False,,,,A,
"<p>In narrowband FM, the modulation index is</p>",near unity,about 100,about 0.1,about 300,,A,
<p>A single-sideband (SSB) signal contains 3 kW. The power content of the carrier is __________ kW.</p>,2,2,3,0,,C,
<p>Waves of frequencies higher than 30 MHz penetrate the atmosphere.</p>,True,False,,,,A,
<p>Armstrong modulator generates</p>,AM signals,FM signals,PM signals,both (b) and (c),,D,
"<p>The diagonal clipping in Amplitude Demodulation using (envelope detector) can be avoided if R<sub><i>c</i></sub> time constant of the envelope detector satisfies the following condition here ω is message bandwidth and ω<sub><i>c</i></sub> is carrier frequency both in rad sec,</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/536-967-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/536-967-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/536-967-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/536-967-4.png""/>",,A,
"<p>To select one out of N equally probable events, the number of bits required is</p>",log<sub>2</sub> N,log<sub>10</sub> N,log<sub><i>e</i></sub> N,"<span class=""root"">N</span>",,A,
<p>What is the frequency of audio modulation?</p>,1000 Hz,2000 Hz,3000 Hz,2000 kHz,,B,
<p>The RF section of a radio transmit generally consists of</p>,master oscillator,final power amplifier to feed antenna,buffer stage,all of the above,,D,
