question,A,B,C,D,E,answer,explanation
"<p>The output resistance of a microphone is 20 ohms. It is to feed a line of impedance 320 ohms. To ensure maximum power transfer, the turn ratio of transformer is</p>",16,256,2,4,,D, <p>(20)(4)<sup>2</sup> = 320 ohms.</p> 
"<p>In a reactance FET, <i>g<sub>m</sub></i> = 9 x 10<sup>-3</sup> Siemens, gate to source resistance is one-ninth of reactance of gate to drain capacitor and frequency is 4 MHz. The capacitive-reactance is</p>",1000 Ω,1/1000 Ω,36 x 10<sup>3</sup> Ω,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/519-524-1.png""/> x 10<sup>3</sup> Ω",,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-524-1u.png""/>.</p> "
<p>Audio cassettes used in household tape recorders have a width of</p>,"1""","1/2""","1/4""","1/8""",,C," <p>Home tape recorders use <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/> in (<i>i</i>.<i>e</i>., 6.3 mm) tape having two tracks of 2.5 mm width each with an in between separation of 1.3 mm.</p> "
<p>The receiver of a pulsed RADAR can detect signal power in the order of</p>,1 W,0.1 W,10<sup>-5</sup> W,10<sup>-12</sup> W,,D, <p>It can detect very low power signals.</p> 
"<p>In a 100% amplitude modulated signal, the power in the upper sideband when carrier power is to be 100 W and modulation system SSBSC, is</p>",100 W,66 W,50 W,25 W,,D," <p>Modulation index = 100% <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 1</p>
<p>P<sub><i>c</i></sub> = 100 W</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1145-1.png""/></p> "
<p>Which camera tube has highest dark current?</p>,Plumbicon,Vidicon,Saticon,GCD imager,,A, <p>Dark current is the small signal current even when there is no illumination on the face plate of camera tube.</p> 
"<p>If a sound wave has a frequency of 50 Hz, the wavelength is</p>",66 m,6.6 m,0.66 m,0.066 m,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/548-3-1.png""/></p> "
<p>Skin depth at 1000 MHz in comparison with that at 500 MHz is</p>,2,"<span class=""root"">2</span>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/511-364-1.png""/>",1/2,,C, <p>Skin depth decreases as square root increase in frequency.</p> 
"<p>Consider the following <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Generation of SSB signals</li><li style=""padding-top:10px;"">Design of minimum phase type filters</li><li style=""padding-top:10px;"">Representation of band pass signals</li></ol> Which of the above applications is Hilbert transform used?</p>",1 only,"1, 2 and 3","1, 2 only",1 and 3,,B, <p>Hilbert transform is used in all the applications.</p> 
"<p>The dc voltage on plate modulated class C amplifier is 8 kV. If the peak modulating voltage is 4 kV, the peak RF voltage delivered to load is</p>",32 kV,12 kV,0.5 kV,24 kV,,D, <p>Peak RF voltage delivered to load = 2 (8 + 4) = 24 kV.</p> 
"<p>In telephone systems the relation between load <span class=""symbol"">r</span>, number of calls initiated during a specified interval λ and average duration of a call (<i>h</i>) is</p>","<span class=""symbol"">r</span> = λ<i>h</i>","<span class=""symbol"">r</span> = λ<i>h</i><sup>2</sup>","λ = <span class=""symbol"">r</span><i>h</i>","h = λ<span class=""symbol"">r</span>",,A, <p>Load = (number of calls) (duration of call).</p> 
<p>In a Vidicon camera tube</p>,grid G<sub>1</sub> accelerates electrons,"grid G<sub>2</sub> accelerates electrons and grid G<sub>3</sub>, slows down electrons",grid G<sub>3</sub> accelerates electrons and grid G<sub>2</sub> slows down electrons,both grids G<sub>2</sub> and G<sub>3</sub> accelerate electrons,,B," <p>Grid G<sub>2</sub> accelerates the electrons. Grid G<sub>3</sub>, is focus grid and slows the electrons so that they fall perpendicularly on the target at a low speed without causing secondary emission.</p> "
<p>In a CD the sampling frequency is nearly</p>,half the highest frequency in audio signal,equal to highest frequency in audio signal,double the highest frequency in audio signal,four times the highest frequency in audio signal,,C, <p>For proper sampling and faithful reproduction sampling frequency must be at least twice the highest frequency in the signal.</p> 
"<p>Consider the following statements about loop antenna <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It is suitable for direction finding application</li><li style=""padding-top:10px;"">It is a single turn or multiturn coil carrying RF current</li><li style=""padding-top:10px;"">The loop is surrounded by a magnetic field everywhere perpendicular to the loop</li></ol> Which of the above statements are correct?</p>",1 and 2 only,1 only,"1, 2, 3",2 and 3 only,,C, <p>All the three are correct.</p> 
<p>Which of the following is present in both TRF receiver and superheterodyne receiver?</p>,Detector,Mixer,IF amplifier,Local oscillator,,A, <p>Detection (also called demodulation) is an essential function.</p> 
<p>The number of channels in a stereophonic system is</p>,8,4,2,1,,C, <p>Left and right channels.</p> 
