question,A,B,C,D,E,answer,explanation
"<p>24 telephone channels, each band limited to 3.4 kHz are to be time division multiplexed using PCM. If sampling frequency is 10 kHz and number of quantization levels is 128, the required bandwidth of PCM is</p>",1.68 MHz,240 kHz,81.6 kHz,3.072 MHz,,A, <p>Bandwidth ≈ 24 (ln<sub>2</sub> 128) 10 kHz = 1.68 MHz.</p> 
<p>Resonant circuits are used in</p>,audio amplifiers,RF amplifiers,both audio and RF amplifiers,none of the above,,B, <p>RF amplifiers use resonant loads (L and C in parallel).</p> 
<p>The bandwidth of DSB suppressed carrier modulation system when the modulating frequency varies between 500 Hz and 5 kHz is</p>,555 kHz,505 kHz,500 kHz,9 kHz,,D," <p><i>f<sub>m</sub></i> = 5 kHz - 500 Hz <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 4.5 kHz</p>
<p>Bandwidth = 2 <i>f<sub>m</sub></i> <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 2 x 4.5 kHz = 9 kHz.</p> "
<p>Linear diode detector utilizes</p>,linear portion of static characteristics of diode,linear portion of dynamic characteristic of diode,square law portion of dynamic characteristics of diode,rectification property of diode,,D, <p>Detection (also called demodulation) is due to rectification property of diode.</p> 
"<p>In the equivalent circuit of a moving coil cone type loudspeaker, the mass of the moving system is represented by</p>",a resistance,a capacitance,an inductance,a conductance,,C, <p>Mass has inertia and is analogous to inductance.</p> 
<p><p><b>Assertion (A):</b>  In India we use CCIR-B standard</p><p><b>Reason (R):</b>  Video signals are frequency modulated.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,C, <p>Video signals are amplitude modulated.</p> 
<p>CATV stands for</p>,Common Antenna Television,Community Antenna Television,Cable Antenna Television,Channel Antenna Television,,B, <p>In USA the first cable service was called community antenna television.</p> 
<p>Household tape recorders use</p>,separate motor for each operation,only one motor for all operations,one motor for capstan and another for take up reel,a total of 3 motors,,B, <p>For reasons of economy only one motor is used.</p> 
<p>A 400 W carrier is modulated to a depth of 75 percent. The total power in modulated wave will be</p>,38.5 W,400 W,512.5 W,615.5 W,,C, <p>Sideband frequencies will be <i>f<sub>c</sub></i> ± <i>f<sub>m</sub></i>.</p> 
<p>A geostationary satellite</p>,"is located at a height of 358, 00 km",appears stationary over earth's magnetic pole,is motionless in space but keeps spinning,orbits the earth within a 24 hour period,,D, <p>It orbits the earth in a 24 hour period. Thus it appears to be stationed over one spot of the globe.</p> 
<p>A line has L = 0.8 µH/<i>m</i> and C = 32 pF/<i>m</i>. Z<sub>0</sub> =</p>,6000,600,158,15.8,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-327-1.png""/>.</p> "
<p>A line has standing waves with a voltage maximum of 35 mV and minimum of 17.5 mV VSWR is</p>,2,4,0.5,0.25,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-326-1.png""/>.</p> "
"<p>For a bit rate of 8 kbps, the best possible values of the transmitted frequencies in a coherent binary FSK system are</p>",16 kHz and 20 kHz,20 kHz and 32 kHz,20 kHz and 40 kHz,32 kHz and 40 kHz,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-931-1.png""/></p>
<p>where <i>i</i> is integer, and <i>n<sub>c</sub></i> is fixed integer.</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-931-2.png""/></p>
<p><i>f<sub>i</sub></i> = R<sub><i>b</i></sub>(<i>n<sub>c</sub></i> + <i>i</i>) <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> (3 + 1) x 8 <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 32 kHz</p>
<p>(4 + 1)0.8 <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 40 kHz.</p> "
"<p>If luminance signal Y = 0.3 R + 0.59 G + 0.11 B, the hue of R - Y colour is</p>",0.7 R - 0.59 G - 0.11 B,- 0.7 R + 0.59 G + 0.11 B,1.3 R - 0.59 G - 0.11 B,none of the above,,A, <p>R - Y = R - 0.3R - 0.59C - 0.11B = 0.7R - 0.59G - 0.11B.</p> 
<p>Trap circuits used in video IF amplifier of colour TV are</p>,"High Q, LC resonant circuit","Low Q, LC resonant circuit","High Q, RLC resonant circuit","Low Q, RLC resonant circuit",,A, <p>High Q LC resonant circuit provides high selectivity.</p> 
"<p>A 1000 kHz carrier is simultaneously modulated with 300 Hz, 800 Hz and 2 kHz audio sine waves. Which of the following frequency is least likely to be present in the output?</p>",1002 kHz,1000 kHz,999.2 kHz,998.0 kHz,,B," <p>Frequency present in the sidebands is equal to = <i>f<sub>c</sub></i> ± <i>f<sub>m</sub></i>, <i>f<sub>c</sub></i> ± 2<i>f<sub>m</sub></i>, <i>f<sub>c</sub></i> ± 3<i>f<sub>m</sub></i> .</p> "
"<p>A 300 Hz sound wave of intensity 20 dB is transmitted by a 1500 kHz radio wave by frequency modulation. It is seen that instantaneous frequency varies between 1500.2 kHz and 1499.8 kHz, 300 times a second. If the intensity of sound wave is 100 dB.</p>","The instantaneous frequency variations will be between 1500.2 and 1499.8 kHz, 1500 times a second","The instantaneous frequency variations will be between 1501 and 1499 kHz, 1500 times a second","The instantaneous frequency variations will be between 1501 and 1499 kHz, 300 times a second","The instantaneous frequency variations will be between 1501 and 1499 kHz, 60 times a second",,C," <p>Since, the intensity of audio wave has been increased five times, the instantaneous frequency variation is also increased five times.</p> "
"<p>If the average power of radar transmitters is 2 kW and the peak power of the transmitter is 1000 kW, what will be the duty cycle?</p>",0.002,0.02,0.001,0.01,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1014-1.png""/>.</p> "
"<p>An analog signal is band limited to B Hz sampled at Nyquist rate and samples are quantized into 4 levels each with probability <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/> . The information rate is</p>",4 bits/s,B bits/s,4 B bits/s,0.25 B bits/s,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-468-1.png""/>. </p>
<p>Signal should be sampled at frequency 2B Hz. </p>
<p>Hence, information rate = 2 (2B) = 4B bits/s.</p> "
<p>The HV supply to a TV receiver is 25 kV and the total beam current for the three electron guns is 2000 μA. The power handled by IHVT is</p>,5W,0.5 W,50 W,500 W,,C, <p>25 x 10<sup>3</sup> x 2000 x 10<sup>-6</sup> = 50 W.</p> 
"<p>Some advantages of optical fibre cables are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">small diameter</li><li style=""padding-top:10px;"">Immunity to cross talk and EM interference</li><li style=""padding-top:10px;"">Laser and LED modulation methods lend themselves ideally to digital operation</li></ol> Which of the above are correct?</p>",1 only,1 and 2,"1, 2, 3","2, 3",,C, <p>Fibre optic cables have all these advantages.</p> 
<p>The contrast control in colour TV receiver is done by</p>,chroma amplifier,SAW filter,video detector,luminance amplifier,,D, <p>Luminance amplifier changes the luminance levels and provides contrast control.</p> 
<p>The requirements of carrier frequency are</p>,precise frequency value,low frequency drift,both (a) and (b),neither (a) nor (b),,C, <p>Both should have a precise value and low drift.</p> 
"<p>If N bits are lumped together to get an N-bit symbol, the possible number of symbols is</p>",2<sup>N</sup>,2<sup>N - 1</sup>,2<sup>N - 2</sup>,2<sup>N - 4</sup>,,A, <p>Each bit can have two levels. Hence 2<sup>N</sup>.</p> 
