question,A,B,C,D,E,answer,explanation
"<p>A total of 16 equally probable events exist. If it is required to select one out of them, the number of required bits is</p>",2,4,3,5,,B, <p>2<sup>4</sup> = 16.</p> 
"<p>When modulation index of an AM wave is increased from 0.5 to 1, the transmitted power</p>",remains the same,increases by 25%,increases by 33.3%,increases by 50%,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-504-1.png""/> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-504-2.png""/> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-504-3.png""/> .</p> "
<p>Quantizing error occurs in</p>,TDM,FDM,PCM,PWD,,C," <p>An analog number cannot be converted into an exact digital number. </p>
<p>This is called quantizing error.</p> "
<p>In audio cassettes the width of each recording track is</p>,5 mm,2.5 mm,1.5 mm,1 mm,,B, <p>Each track is 2.5 mm wide.</p> 
<p>The most commonly used transistor amplifier circuit is</p>,CB,CC,CE,CE or CC,,C," <p>Common emitter connection has high power gain, and good current and voltage gains.</p> "
<p>When energy is fed into open wire transmission line the energy may get dissipated due to</p>,radiation,conductor heating,dielectric heating,all of the above,,D, <p>All the three cause dissipation of energy as heat.</p> 
"<p>Fourier series expansion of a real periodic signal with fundamental frequency is given by <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/535-937-1.png""/> It is given that <i>c</i><sub>3</sub> = 3 + <i>j</i>5. then <i>c</i><sub>-3</sub> is</p>",5 + <i>j</i>3,-3 - <i>j</i>5,-5 + <i>j</i>3,3 - <i>j</i>5,,D," <p>For real signal</p>
<p><i>c<sub>k</sub></i> = <i>c</i><sup>*</sup><sub>-<i>k</i></sub></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 3 - <i>i</i>5.</p> "
<p>Loudness control gives</p>,high boost to bass and little boost to treble,equal boost to bass and treble,less boost to bass and more boost to treble,less boost to both bass and treble,,A," <p>For depth in sound the low frequency notes, (<i>i</i>.<i>e</i>., bass) need more amplification.</p> "
<p>A mobile telephone has a range of about</p>,50 km,10 km,1 km,0.1 km,,A, <p>Mobile telephone has about 50 km range.</p> 
"<p>If transmitted power is 75 kW, the field strength at 30 km distance will be about</p>",10 V/m,1 V/m,50 mV/m,2 mV/m,,C," <p>Using the derivation, <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-399-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-399-2.png""/>.</p> "
