question,A,B,C,D,E,answer,explanation
"<p>Consider the following test signal patterns <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Ramp</li><li style=""padding-top:10px;"">Grill</li><li style=""padding-top:10px;"">Grey shades</li><li style=""padding-top:10px;"">Sine pulse</li><li style=""padding-top:10px;"">Picture line up generating equipment</li></ol> Which of the above are used in TV studios?</p>",All,"1, 2 and 3 only","1, 2 and 5 only","2, 3, 4 and 5 only",,A, <p>All these are standard test signals used in TV studios.</p> 
"<p>If aspect ratio is <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-5.png""/> and number of lines in each frame is 625, the number of picture elements in one frame is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-5.png""/> x 625","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-5.png""/> (625)<sup>2</sup>",625<sup>2</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-6.png""/> (625)<sup>2</sup>",,B," <p>Since there are 625 lines in one frame, the number of picture elements is <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-325-1.png""/>.</p> "
"<p>Indicate the false statement: If SWR on a transmission line is infinite, the line is terminated in</p>",open circuit,short circuit,pure reactance,complex impedance,,D," <p>If line is OC or SC or terminated in pure reactance, SWR is 1.</p> "
<p>In TV signals colour burst is used</p>,to maintain colour sequence,to ensure I and Q phase correctly,to synchronise colours,for interlacing of horizontal lines,,B, <p>Colour burst consists of a short train of about 10 cycles sent to the receiver along with synchronous signals. It ensures I and Q phase correctly.</p> 
<p>The resonant frequency of an R<sub>F</sub> amplifier is 1 MHz and its bandwidth is 10 kHz. The Q factor will be</p>,10,100,0.01,0.1,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-857-1.png""/> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-857-2.png""/>.</p> "
<p>The total number of pulses in a TV remote control is</p>,14,12,10,8,,A," <p>The 14 pulses are preliminary pulse, start pulse, stop pulse and 11 other pulses.</p> "
<p>Which camera tube has highest sensitivity and very wide spectral response?</p>,Vidicon,Plumbicon,New vicon,Saticon,,C, <p>New vicon has very high sensitivity and very wide spectral response which extends well into infrared region.</p> 
<p><p><b>Assertion (A):</b>  A Smith chart can be used for a number of calculations of a transmission line</p><p><b>Reason (R):</b>  Smith chart is basically a polar impedance diagram.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B, <p>Smith chart is a convenient tool for transmission line design and analysis.</p> 
<p>A computer monitor uses 180 W in normal operation and 20 W in sleep mode. The computer is on all the 24 hours but is in sleep mode for 18 hours a days. The energy units saved in 30 days are</p>,0.54 units,86.4 units,2.88 units,4.8 units,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/550-280-1.png""/>.</p> "
"<p>Consider the following functions <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It detects the AM video carrier IF so as to produce the video signal</li><li style=""padding-top:10px;"">It produces and separates out the inter carrier sound IF of 5.5 MHz</li><li style=""padding-top:10px;"">It amplifies the video signal</li><li style=""padding-top:10px;"">It amplifies the audio signal</li></ol> The video detector in a colour TV performs which of the above functions</p>","1, 2 and 3","1, 2, 3 and 4",1 and 2,"1, 2 and 4",,C, <p>Video detector does not amplify any signal.</p> 
