question,A,B,C,D,E,answer,explanation
"<p>At a given probability of error, binary coherent FSK is interior to binary coherent PSK by</p>",6 dB,3 dB,2 dB,0 dB,,B,
<p>In a TV receiver the video IF amplifier provides a gain of about</p>,5 dB,20 dB,60 dB,200 dB,,C,
<p>Which of the following analog modulation scheme requires the minimum transmitted power and minimum channel bandwidth?</p>,VSB,DSB-SC,SSB,AM,,C,
<p>Switching systems</p>,are limited to small data networks,require additional lines,are not used in data system,improve the efficiency of data transfer,,D,
<p>Which one of the following statements is wrong. The radar cross-section of a target?</p>,depends on frequency,may be reduced by special coating of non-spherical target,depends on the aspect of target if it is non-spherical,is equal to actual cross-sectional area for small targets,,D,
<p>Which of the following cannot be used to demodulate SSB?</p>,Complete phase shift generator,Product detector,Diode balanced modulator,Bipolar transistor balanced modulator,,D,
<p>The power required to produce a gain of 10 dB over 4 W of original power is __________ watt.</p>,80,40,0.4,8,,C,
<p>Noise figure is defined as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-382-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-382-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-382-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-382-4.png""/>",,C,
<p>The inductance of connecting leads can be a source of</p>,low frequency parasitics,high frequency parasitics,carrier frequency parasitics,none of the above,,B,
<p>For F<sub>2</sub> layer the critical frequency is about</p>,500 MHz,100 MHz,25 MHz,10 MHz,,D,
<p>In the spectrum of an FM wave</p>,"When modulation index is large, carrier frequency disappears",carrier frequency cannot disappear,amplitude of any side band depends on modulation index,the total number of side bands depend on modulation index,,C,
<p>The reactance of bypass capacitor in a CE amplifier circuit should be</p>,equal to the resistance in parallel with it,equal to 10% or less of the resistance in parallel with it,equal to 50% of the resistance in parallel with it,independent of the resistance in parallel with it,,B,
<p>In a radar system the solution to blind speed problem is to</p>,use MTI,use monopoles,vary PRF,change Doppler frequency,,C,
"<p>For a FM wave carrier modulating frequency is 10 kHz and bandwidth is 2 MHz. If the modulating signal amplitude is doubled, the bandwidth will be</p>",0.5 MHz,1 MHz,2 MHz,4 MHz,,D,
"<p>In band III of TV, distant reception (beyond line of sight range) is possible due to</p>",tropospheric bending by refraction,reflection of waves,ionospheric scattering,none of the above,,A,
<p>In amplitude modulation the rms value of radio frequency voltage after 40% modulation is 60 mV. If modulation is 80% the rms value after modulation will be about</p>,50 mV,60 mV,66 mV,80 mV,,C,
<p>1 GHz is equal to</p>,10<sup>6</sup> Hz,10<sup>8</sup> Hz,10<sup>9</sup> Hz,10<sup>10</sup> Hz,,B,
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">In a pulsed radar, the transmitted pulses are of high frequency</li><li style=""padding-top:10px;"">In a pulsed radar, the transmitted pulses are of high power</li><li style=""padding-top:10px;"">In a pulsed radar, the transmitted pulses are of brief duration</li><li style=""padding-top:10px;"">In a pulsed radar, the transmitted pulses are of square wave shape.</li></ol> Of the above statements the correct statements are</p>",1 only,"1, 2 and 3 only","1, 2, 3, 4",1 and 3 only,,B,
<p>Probability density function of thermal noise is</p>,Poisson,Binomial,Gaussian,None of the above,,A,
<p>In a colour TV receiver AFT stands for</p>,Automatic Fine Tuning,Automatic Frequency Tuning,Automatic Field Tuning,Alignment Frequency Tuning,,A,
<p>MTSO stands for</p>,Metropolitan Telecommunication Subscribers Office,Metropolitan Telecommunication Switching Office,Mobile Telecommunication Switching Office,Mobile Telecommunication Subscriber Office,,C,
<p>The main advantage of TDM over FDM is that it</p>,needs less power,needs less bandwidth,needs simple circuitry,gives better S/N ratio,,C,
<p>VLF waves are sometimes used because</p>,they penetrate the ionosphere easily,they are very reliable,they require low power,they require transmitting antennas of convenient sizes,,B,
"<p>If N is the number of binary digits needed to assign individual binary code designations to the M quantization levels, the signal to quantization noise ratio S<sub>0</sub>/N<sub><i>q</i></sub> in PCM is</p>",2<sup>N</sup>,2<sup>2N</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/516-460-1.png""/>",2<sup>4N</sup>,,B,
<p>Which of the following is very useful as multiband HF receiving antenna?</p>,Square loop,Conical horn,Folded dipole,Log-periodic,,D,
"<p>If V<i><sub>s</sub></i> is signal voltage, V<i><sub>n</sub></i> is noise voltage, signal to noise ratio S/N is defined as</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-383-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-383-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-383-3.png""/>",none of the above,,B,
"<p>The PDF of a Gaussian random variable X is given by <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-920-1.png""/>. The probability of the event {X = 4} is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-920-2.png""/>",0,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/>",,B,
<p>Tuned voltage amplifiers are not used</p>,in public address systems,in radio receivers,in television receivers for sound signals,in television receivers for video signals,,A,
"<p>If B is the bandwidth, the thermal noise voltage is proportional to</p>",B,B<sup>0.5</sup>,B<sup>1.5</sup>,B<sup>2</sup>,,B,
<p>ARQ stands for</p>,Automatic Repeat Quest,Analog Repeat Request,Automatic Repeat Request,None Of the above,,C,
<p>In FM noise can be decreased by a feature that AM does not have</p>,increasing deviation,decreasing deviation,reducing modulation index,increasing modulation index,,C,
<p>In case of stabilized reactance modulator AFC system</p>,phase modulator is converted into frequency modulation by equalizer circuit,the discriminator must have a fast time constant to provide demodulation,"the higher discriminator frequency, the better oscillator frequency","the discriminator frequency must be too low, or the system will fail",,C,
<p><p><b>Assertion (A):</b>  Demodulation of SSB and AM signals is exactly similar </p><p><b>Reason (R):</b>  The basic SSB demodulation device is product detector.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,D,
<p>In shot noise</p>,the current rises around mean value,"the current rises to peak value, decreases to zero and then again rises",the current may become negative,the current is always less than the mean value,,D,
"<p>In VCR, the chrominance signal's frequency is</p>",up converted during recording and down converted during playback,down converted during recording and up converted during playback,not changed during recording and playback,any of the above depending on VCR system,,B,
<p><p><b>Assertion (A):</b>  A video monitor does not need RF tuner and IF amplifier </p><p><b>Reason (R):</b>  The picture tube in TV is basically a CRT.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
"<p>Consider the following statements as regards IF in radio receivers <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">If IF is too high, poor selectivity and poor adjacent channel rejection could result</li><li style=""padding-top:10px;"">If IF is high, tracking difficulties increase</li><li style=""padding-top:10px;"">A very low IF makes selectivity too sharp</li><li style=""padding-top:10px;"">As IF is decreased, image frequency rejection becomes better</li></ol> Which of the above are correct?</p>","1, 2, 3, 4","1, 2, 3","2, 3, 4","1, 3, 4",,B,
"<p>Audio-signal modulates a 125 MHz carrier, causing a frequency deviation of 5 kHz. The bandwidth of the narrowband FM signal is __________ kHz.</p>",10,8,9,20,,C,
<p><p><b>Assertion (A):</b>  Radar gave birth to microwave technology.</p><p><b>Reason (R):</b>  In radar systems very high frequencies give the most accurate results. </p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
"<p>A channel has a SNR of 7 and BW 4 kHz. Keeping the channel capacity (BPS) same, the BW is reduced to accommodate more channels. The SNR</p>",decreases,increases,remains same,partially affected,,B,
<p>The output V<sub>R</sub> of the ratio detector is related with the output V<sub>F</sub> of similar Foster-Seeley discriminator as follows.</p>,V<sub>R</sub> = V<sub>F</sub>,V<sub>R</sub> &lt; V<sub>F</sub>,V<sub>R</sub> = 2V<sub>F</sub>,V<sub>F</sub> = 2V<sub>R</sub>,,C,
<p>In grid bias modulation system the power required for modulating amplifier</p>,is negligibly low since grid is negative,is large as compared to that for plate modulation,is almost the same as compared with plate modulation,is small as compared to that for plate modulation,,D,
<p>In spread spectrum technique</p>,a modulated signal is modulated again,a modulated signal is modulated twice again,the power of a modulated signal is increased,the noise component of a modulated signal is decreased,,D,
<p>QAM stands for</p>,Quasi-Amplitude Modulation,Quadrature Angle Modulation,Quadrature Amplitude Modulation,None of the above,,C,
<p>The bandwidth required for amplitude modulation is</p>,half the frequency of modulating signal,equal to the frequency of modulating signal,twice the frequency of modulating signal,four times the frequency of modulating signal,,C,
<p>The smallest change in sound intensity that can be detected by human ear is __________ dB.</p>,1,3,10,20,,B,
<p>Low frequency boost can be easily compensated by</p>,attenuating the frequencies from 0 to 1.25 MHz,using an appropriate de-emphasis circuit in the receiver,using an appropriate pre-emphasis circuit in the transmitter,none,,A,
<p>An MTI compares a set of received echos with those received during the previous sweep.</p>,True,False,,,,A,
<p>If <i>e</i> = 10 sin(10<sup>8</sup> <i>t</i> + 3 sin 10<sup>4</sup> <i>t</i>) then the deviation is</p>,4.77 kHz,47.7 kHz,477 kHz,4770 kHz,,B,
"<p>When a complex signals is used to frequency modulate a carrier, the resulting sideband distribution is</p>",symmetrical about the carrier,not necessarily symmetrical about the carrier,decided by the predominant sidebands,none of the above,,A,
