question,A,B,C,D,E,answer,explanation
"<p>For an ideal 3000 Hz channel, S/N ratio is</p>",3,1.5,4,2,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-368-1.png""/> = 2<sup>6000/3000</sup> - 1 = 3.</p> "
<p>Which of the following types of noise assumes greater importance at high frequencies?</p>,Transit time noise,Shot noise,Impulse noise,Random noise,,A, <p>At high frequencies time period of wave and transit time become comparable.</p> 
<p>In transistor radio receivers the number of IF amplifier stages are</p>,1,2,4,6,,B, <p>Two IF amplifier stages are very commonly used.</p> 
"<p>To relay outdoor remotely located live programs, TV transmitter use</p>",microwave links,coaxial cable link,open wire link,either (b) or (c),,A, <p>Microwave links are used.</p> 
"<p>If each short element of signal occupies 20 <i>ms</i>, the speed is</p>",20 bauds,50 bauds,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/523-627-1.png""/> bauds",0.05 bauds,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-627-1.png""/>.</p> "
<p>It is found that in a telephone system 60 subscribers initiate calls during a 30 minute interval and the total duration of all the calls is 100 minutes. The load is</p>,2,3 erlang,3.333 erlang,0.333 erlang,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-474-1u.png""/>.</p> "
<p>E and H fields are perpendicular to each other.</p>,True,False,,,,A, <p>Radio waves have very high speed equal to that of light but speed of sound waves is very low.</p> 
"<p>Consider the following: <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A TV receiver antenna should pick up the TV signal and develop maximum voltage from the available strength of signal</li><li style=""padding-top:10px;"">It should reject unwanted signals</li><li style=""padding-top:10px;"">It should not suffer from co-channel interference</li><li style=""padding-top:10px;"">It should have a very narrowband</li></ol> The correct statements are</p>",1 and 2 only,"1, 2 and 3 only","1, 2, 3, 4","2, 3 only",,B, <p>The band should not be narrow.</p> 
"<p>If transmission bandwidth is doubled in FM, SNR is</p>",doubled,raised four times,decreased four times,halved,,C, <p>SNR changes in the ratio of square of change in bandwidth.</p> 
<p>Directivity means</p>,maximum directive gain,zero directive gain,minimum directive gain,none of the above,,A, <p>Directivity means maximum directive gain.</p> 
"<p>If the oscillator output is modulated by audio frequencies upto 10 kHz, the frequency range occupied by the side bands will be</p>",711.9 kHz to 712.1 kHz,702 kHz to 722 kHz,692 kHz to 732 kHz,71.2 kHz to 71.20 kHz,,B," <p>L = 50 mH, C = ln F</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-688-1.png""/>.</p> "
<p>The power to the portable unit of a cordless telephone is provided by</p>,pencil cells,dry cells,rechargeable cells,AC mains,,C, <p>Rechargeable cells feed the portable unit.</p> 
"<p>In a AM wave the carrier and one of the side bands is suppressed. If <i>m</i> = 0.5, the percentage saving in power is</p>",50%,83.3%,94.4%,100%,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-510-1.png""/>.</p> "
