question,A,B,C,D,E,answer,explanation
<p>Which of the following microphones has bidirectional feature?</p>,Moving coil,Ribbon,Condenser,Carbon,,B,
"<p>In TV transmitter some possible advantages of IF modulation are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The modulator section and visual exciter can be solid state devices</li><li style=""padding-top:10px;"">VSB filter can be introduced at low power level</li><li style=""padding-top:10px;"">The subsequent stages following VSB filter can be tuned permanently for wideband linear operation</li><li style=""padding-top:10px;"">It is economical</li></ol> which of the above are true?</p>",1 and 2,"1, 2 and 3","2, 3 and 4","1, 2, 3 and 4",,D,
"<p>A source is radiating power equally in all directions. If source power is P, the power density at distance <i>d</i> is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-292-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-292-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-292-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-292-4.png""/>",,A,
"<p>As compared to AM, FM requires</p>",narrow channel,same channel,2 to 3 times as large channel,7 to 15 times as large channel,,D,
<p>Capture effect occurs in</p>,AM,FM,PCM,QAM,,B,
"<p>If there are M messages and each message has probability <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/516-466-1.png""/>, the entropy is</p>",0,1,log<sub>2</sub> M,M log<sub>2</sub> M,,C,
<p>Narrowband FM signal can be considered to be equal to</p>,PM,AM,SSB,DSB,,B,
"<p>The spectral component of noise associated with <i>k</i><sup>th</sup> frequency is given, in the limit as Δ<i>f</i> → 0 by <i>n<sub>k</sub></i>(<i>t</i>) written as <i>n<sub>k</sub></i>(<i>t</i>) = C<sub><i>k</i></sub> cos (2<span class=""symbol"">p</span><i>k</i> Δ<i>ft</i> + θ<sub><i>k</i></sub>) <br/>Consider the following statements as regards C<sub><i>k</i></sub> and θ<sub><i>k</i></sub> <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">C<sub><i>k</i></sub> and θ<sub><i>k</i></sub> are independent of one another</li><li style=""padding-top:10px;"">C<sub><i>k</i></sub> and θ<sub><i>k</i></sub> are independent of the amplitude of a spectral component at a different frequency</li><li style=""padding-top:10px;"">C<sub><i>t</i></sub> and θ<sub><i>k</i></sub> are independent of the phase of a spectral component at a different frequency</li></ol> Which of the above statements are correct?</p>","1, 2 only","1, 3 only","1, 2, 3","2, 3 only",,C,
"<p>The power density spectrum of noise voltage at the input of a network is S<sub><i>ni</i></sub> and that at the output of the network is S<sub><i>no</i></sub>. If transfer function of network is H(ω), the corresponding noise figure is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/502-156-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/502-156-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/502-156-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/502-156-4.png""/>",,A,
<p>A narrowband amplifier is one that has a passband</p>,limited to 2000 Hz only,limited to audio frequency range only,near cut off region of active device,approximately 10% of its central frequency,,D,
