question,A,B,C,D,E,answer,explanation
<p>A receiver has poor selectivity. It will also have poor</p>,sensitivity,double spotting,blocking,diversity reception,,C,
"<p>The depth of modulation is doubled in FM system then, the power transmitted</p>","increase by factor of <span class=""root"">2</span>","increase by factor of <span class=""root"">3</span>",increase by factor of 2,none of the above,,D,
<p>Ground wave can be used for communication upto</p>,5 kHz,12 kHz,16 kHz,25 kHz,,C,
<p>A Marconi antenna</p>,is a grounded antenna with a length equal to λ/4,is an ungrounded antenna with a length equal to λ/4,has a length equal to 1,has a length equal to λ/2,,A,
"<p>When large amount of power is required, a push pull amplifier is designed for operation as</p>",class A,class B,class C,class AB,,B,
"<p>In a Vidicon camera tube,</p>",both sides of the target plate have the coating of tin oxide,both sides of the target plate have the coating of antimony tri-sulphide,the side of target plate facing the light has a coating of tin oxide and the side facing electron gun has a coating of antimony trisulphide,the side of target plate facing the light has a coating of antimony trisulphide while the side facing the electron gun has a coating of tin oxide,,C,
<p>The distance at which a sky wave is received back on earth decreases with angle of incidence for all angles of incidence.</p>,True,False,,,,B,
<p>A trigonometric function is synonyms to</p>,orthogonal function,triangular function,singular function,none of the above,,B,
<p>A single tone modulating signal V<sub><i>m</i></sub> cos ω<i>t</i> modulates a carrier A cos ω<i><sub>c</sub></i><i>t</i>. The carrier power (modulated) and side band powers are respectively</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-38-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-38-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-38-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/498-38-4.png""/>",,A,
<p>The autocorrelation function of the white noise is</p>,impulse function,step function,constant,none of the above,,C,
<p>Why does a FM radio station perform better than and AM station radiating the same actual power?</p>,FM is immune to noise,AM has only two sidebands while FM has more,FM uses larger bandwidth for large modulation depth.,Capture effects appears in FM.,,D,
<p>In cable TV local programmes can be telecast at any frequency.</p>,True,False,,,,A,
"<p>In amplitude modulation, the magnitude of side bands is</p>","<i>ma</i>/2 times the carrier amplitude, E<sub><i>c</i></sub>","<i>ma</i> times the carrier amplitude, E<sub><i>c</i></sub>","2<i>ma</i> times the carrier amplitude, E<sub><i>c</i></sub>","4<i>ma</i> times the carrier amplitude, E<sub><i>c</i></sub>",,D,
<p>If <i>f<sub>s</sub></i> be the signal frequency and <i>f<sub>i</sub></i> be the intermediate frequency then image frequency is given by</p>,<i>f<sub>s</sub></i> + <i>f<sub>i</sub></i>,<i>f<sub>s</sub></i> ± <i>f<sub>i</sub></i>,<i>f<sub>s</sub></i> ± 2<i>f<sub>i</sub></i>,<i>f<sub>s</sub></i> + 2<i>f<sub>i</sub></i>,,D,
<p>In VHS format the width of tape is</p>,"2""","1""","1/2""","1/4""",,C,
