question,A,B,C,D,E,answer,explanation
<p>Transit time is considered as significant at</p>,HF,MF,LF,all of the above,,D,
"<p>In a colour TV receiver, AGC adjusts the gain of</p>",RF stage only,IF stage only,RF stage and one or two IF stages,none of the above,,C,
<p>In pulse transmitter the ratio of time on to time off is called</p>,efficiency,duty cycle,base,bandwidth,,B,
"<p>In figure the output <i>v</i>(<i>t</i>) is <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/514-433-1.png""/></p>",phase modulated signal,amplitude modulated signal,frequency modulated signal,none of the above,,C,
<p>A MASER is a</p>,low noise device,high noise device,medium noise device,may be either high or medium noise device,,A,
<p>Which one of the following is correct?</p>,Coding reduces the noise in the signal,Coding deliberately introduces redundancy into messages,Coding increases the information rate,Coding increases the channel bandwidth,,A,
"<p>A paraboloid reflector has mouth diameter D meters, wavelength λ meters. Its beam width φ is equal to</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/522-609-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/522-609-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/522-609-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/522-609-4.png""/>",,A,
<p>A balanced modulator circuit uses</p>,two identical diodes with same V-I characteristics,two triodes with different V-I characteristics,two diodes with different V-I characteristics,a diode and a triode,,A,
"<p>In a television camera tube, scanning of a picture is done</p>",line by line from left to right,line by line from right to left,line by line from top to bottom,line by line from bottom to top,,A,
<p>In communication receivers the fidelity is provided by</p>,audio stage,detector range,mixer stage,all of the above,,A,
"<p>Some features of RF stage in good radio receivers is <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It increases sensitivity by providing amplification to RF signal</li><li style=""padding-top:10px;"">It eliminates image frequency interference</li><li style=""padding-top:10px;"">It increases selectivity</li><li style=""padding-top:10px;"">It reduces noise level</li></ol> Which of the above are true?</p>","1, 2 and 3 only","1, 2 and 4 only","2, 3, 4 only","1, 2, 3, 4",,D,
"<p>During amplitude modulation, the phase angle of the modulating voltage changes by</p>",0°,45°,90°,180°,,A,
<p>The image frequency of a superheterodyne receiver is</p>,created within the receiver itself,not rejected by IF tuned circuits,independent of the frequency of tuning,due to insufficient adjacent channel rejection,,B,
<p>Image frequency rejection mainly depends upon</p>,detector,mixer,IF,RF,,A,
<p>Which of the following is most likely to be found in an SSB transmitter?</p>,"Class A, RF output amplifier","Class B, RF amplifier",Tuned modulator,"Class C, audio amplifier",,B,
<p>Which of the following statement is correct?</p>,Pre-emphasis circuits are used in AM transmitters,FM reception is noise free as compared to AM,A limiter state is also used in AM receivers,Discriminator is used for the detection of AM signals,,B,
<p>Which of the following is true as regards telephone systems?</p>,A larger facility carrying a larger load operates less efficiently than a smaller capacity,A larger facility carrying a lesser load operates more efficiently than a smaller capacity,A larger facility carrying a larger load operates more efficiently than a smaller capacity,A smaller capacity carrying a larger load operates more efficiently than a larger capacity,,C,
<p>SSB can be generated by</p>,filter method,phase shift method,weaver's method,none of the above,,D,
<p>Which one of the following cannot be used to remove the unwanted sideband in SSB?</p>,Balanced modulator,Phase shift method,Filter system,Third method,,A,
"<p>For FM, which of the following statement is not true?</p>",The bandwidth increases as modulation index is increased,The total power remains constant with respect to modulation index,The carrier never becomes zero,All of the above,,C,
"<p>For TV broadcast, picture signal is modulated in</p>",SSB,VSB,FM,AM,,D,
"<p><p><b>Assertion (A):</b>  Stubs, directional couplers and baluns are very commonly used in communication systems</p><p><b>Reason (R):</b>  Characteristic impedance of a line is an important parameter.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>Audio frequency range lies between</p>,20 Hz and 20 kHz,20 kHz and 20 MHz,2 MHz and 20 MHz,20 MHz and 200 MHz,,A,
<p><p><b>Assertion (A):</b>  SSB and ISB receivers have good S/N ratio</p><p><b>Reason (R):</b>  SSB and ISB receivers have good suppression of adjacent channels.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>De-emphasis circuit is used</p>,to attenuate high frequencies,to attenuate low frequencies,to attenuate mid-band frequencies,None of the above,,A,
<p>Which one of the following frequency bands is allocated by ITU (International Telecomm. Union) for DBS - (Direct Broadcast service) also referred as DTH - (Direct to Home service)?</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-1015-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-1015-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-1015-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-1015-4.png""/>",,B,
<p>FM broadcast lies in which band?</p>,HF,SHF,UHF,VHF,,D,
<p>Which colour picture tube uses slotted aperture mask?</p>,Trinitron,Shadow mask tube,PIL,None of the above,,C,
