question,A,B,C,D,E,answer,explanation
"<p>The block diagram of AM transmitter in which high level modulation is used as shown in figure. The block X could be <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/543-1126-1.png""/></p>",audio power amplifier,buffer RF amplifier,compressor amplifier,none of the above,,B,
<p>In FM 'guard band' is provided</p>,to limit upper frequency limit,to limit lower frequency limit,so that there is less adjacent channel interference,to limit transmitted power of a station,,C,
<p><p><b>Assertion (A):</b>  FM requires more bandwidth than AM</p><p><b>Reason (R):</b>  Wide band FM is used for broadcast transmissions.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
"<p>When E<sub>1</sub>, E<sub>2</sub>, E<sub>3</sub> etc. are the simultaneous modulating voltages, then the total modulating voltage E<sub><i>t</i></sub> will be</p>",E<sub><i>t</i></sub> = E<sub>1</sub> + E<sub>2</sub> + E<sub>3</sub> + ...,E<sub><i>t</i></sub>= E<sub>1</sub><sup>2</sup> + E<sub>2</sub><sup>2</sup> + E<sub>3</sub><sup>2</sup> + ...,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/531-843-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/531-843-2.png""/>",,C,
"<p>A frequency doubler has an FM signal input at 13 MHz with a deviation of 5 kHz. The output, frequency for the carrier will be</p>",26 MHz,26.1 MHz,10 kHz,160 kHz,,D,
"<p>In MF range, increasing the transmitter power</p>",increases the range of transmitter,does not increase the range of transmitter because propagation is limited by tilt,decreases the range of transmitter because propagation is limited by tilt,increases the range of transmitter because propagation is through space waves,,B,
<p>The most frequent users of long distance VLF transmission is</p>,ship communication,radio broadcasting,TV broadcasting,telephone and telegraph,,A,
<p>BFO stands for</p>,Beat Frequency Oscillator,Broad Frequency Oscillator,Blocking Frequency Oscillator,Ballistic Frequency Oscillator,,A,
<p>SSB-SC stands for</p>,Single Side Band-Suppressed Carrier,Single Side Band-Synchronous Carrier,Synchronous Side Band-Suppressed Carrier,Synchronous Side Band-Self Carrier,,A,
<p>A lens has a hyperfocal distance of 7.5 m. It is focused at 7.5 m. Then</p>,all objects from 7.5 m to infinity will appear in focus,all objects from 3.75 m to infinity will appear in focus,all objects from 0 to 7.5 m will appear in focus,all objects from 0 to 3.75 m will appear in focus,,B,
"<p>In a 4-ary FSK, the frequencies are separated by <i>f<sub>s</sub></i>. Then they are</p>",in phase,in phase opposition,orthogonal,none of the above,,C,
"<p>In cell communication, cell stands for</p>",Geographical Area,Battery,Location,No meaning,,A,
<p>In which of the following frequency bands are the standard AM radio broadcast stations?</p>,MF,HF,VHF,UHF,,D,
<p>The frequency tolerance for the RF carrier in the standard AM radio broadcast band is</p>,zero,+20 Hz,+1000 Hz,+25 Hz,,A,
"<p>If carrier is modulated by a digital bit stream having one of the possible phases of 0°, 90°, 180°, and 270°, then modulation is called</p>",BPSK,QPSK,QAM,MSK,,B,
"<p>In FM, the frequency deviation is</p>",always constant,directly proportional to modulating frequency,inversely proportional to modulating frequency,proportional to amplitude of modulating signal,,D,
"<p>If <i>f<sub>h</sub></i>(<i>t</i>) is the Hilbert transform of <i>f</i>(<i>t</i>), and <i>f</i>(<i>t</i>) is a real valued signal, the pre-envelope of <i>f</i>(<i>t</i>) is</p>",<i>f</i>(<i>t</i>) - <i>jf<sub>h</sub></i>(<i>t</i>),<i>f</i>(<i>t</i>) + <i>jf<sub>h</sub></i>(<i>t</i>),<i>f<sub>h</sub></i>(<i>t</i>) + <i>jf</i>(<i>t</i>),<i>f<sub>h</sub></i>(<i>t</i>) - <i>jf</i>(<i>t</i>),,B,
<p>Speech amplifiers are usually operated as</p>,class A,classes AB,class B,class C,,A,
<p>In which frequency range is the noise figure in a transistor independent of frequency</p>,intermediate frequencies,high frequency,low frequencies,both low and high frequencies,,A,
<p>Which of the following is likely to be associated with FM radio broadcasting?</p>,90 Hz,90 kHz,900 kHz,90 MHz,,D,
"<p>If D is diagonal and F is focal length, lens angle θ is</p>",θ = tan<sup>-1</sup> (D/F),θ = 2 tan<sup>-1</sup> (D/F),θ = tan<sup>-1</sup> (D/2F),θ = 2 tan<sup>-1</sup> (D/2F),,D,
<p>Present day stereophonic systems have</p>,only CD playback facility,only tape playback facility,both CD and tape playback facilities along with radio,none of the above,,C,
<p>RF choke used for suppressing interference in TV is generally</p>,honey comb wound coil,iron core coil,single layer coil,multilayer coil,,B,
<p>Indicate the false statement: To combat noise</p>,reduce signalling rate,increase transmitted power,use redundancy,increase channel bandwidth,,D,
<p>Audio and video signals are called modulating waves.</p>,True,False,,,,A,
"<p>In AM, if modulation index is more than 100%, then</p>",bandwidth increases,the wave gets distorted,power of the wave increases,efficiency of transmission increases,,B,
<p>The width of air gap on recording head in a tape recorder is about</p>,6 micron,3 micron,1 micron,25 micron,,A,
<p>In a stereo tape recorder the speed of the tape is</p>,38 m/s,19 m/s,9.5 m/s,4.75 m/s,,D,
<p>Which of the following refers to SSB suppressed carrier amplitude modulated system?</p>,A3E,H3E,J3E,C3F,,C,
<p>The frequency at which the piezoelectric effect occurs is primarily determined by</p>,the weight of the crystal,thickness of the crystal,length of the crystal,gain structure of the crystal,,B,
<p>Which of the following statement regarding the advantages of the phase discriminator over the slope detector is false?</p>,Better linearity,Fewer tuned circuits,Much easier alignment,Greater limiting,,A,
<p>The highest modulating frequency typically used in AM systems is</p>,1 kHz,5 kHz,20 kHz,50 kHz,,B,
"<p>The line of sight communication requires the transmit and receive antennas to face each other. If the transmit antenna is vertically polarized, for best reception to the receive antenna should be</p>",horizontally polarized,vertically polarized,at 45° within respect to horizontal polarization,at 45° with respect to vertical polarization,,A,
<p>The bandwidth of FM for Commercial Purpose is</p>,88 - 108 MHz,85 - 110 MHz,90 - 110 MHz,infinite Range,,A,
<p>In home tape recorders the tape width is 2 inches.</p>,True,False,,,,A,
<p>If <i>e</i> = 10 sin(10<sup>8</sup> <i>t</i> + 3 sin 10<sup>4</sup> <i>t</i>) then carrier frequency is</p>,0.159 MHz,1.59 MHz,15.9 MHz,159 MHz,,C,
<p>Thermal noise is independent of</p>,temperature,bandwidth,centre frequency,Boltzmann constant,,C,
<p>The decorative lighting works on the principle of</p>,periodic switching on and off,special inverter,rectifier,motor,,A,
"<p>In an oscillator crystal, the parallel resonant frequency is</p>",equal to,higher than,less than,series resonant frequency,,A,
<p>The maximum range of a radar is proportional to</p>,square root of peak transmitted pulse power,fourth root of peak transmitted pulse power,peak transmitted pulse power,none of the above,,B,
<p>In FSK no synchronous carrier is needed at the receiver</p>,true,false,depend on distance,none,,B,
