question,A,B,C,D,E,answer,explanation
<p>Which of following digital modulation technique?</p>,ASK,FSK,PSK,All,,D,
<p>A discrete zero memory information source has 40 symbols and each symbol is equally likely. The minimum number of bits required to code the source with uniform length code and entropy of the source are</p>,5 and 5.03,6 and 5.83,5 and 6.64,6 and 5.32,,D,
<p>The standard intermediate frequency for FM ratio is</p>,10.7 MHz,4.5 MHz,75 kHz,455 kHz,,A,
"<p>In an end fire array, the radiation pattern</p>",is in the plane of array,is at right angles to array,is at an angle to the plane of array,either (b) or (c),,A,
<p>Armstrong FM transmitter uses</p>,LC oscillator,crystal oscillator,RC oscillator,either (a) or (c),,B,
"<p>An antenna having a length of <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/506-239-1.png""/> and grounded at one end is called</p>",Marconi antenna,Yagi antenna,Turnstile antenna,None of the above,,A,
"<p>The noise figure of individual stages of a two stage amplifier is 2.03 and 1.54 respectively. If gain of first stage is 62, the overall noise figure is</p>",2.03,2.055,3.05,6.05,,B,
"<p>In figure (A) and (B) <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/528-758-1.png""/></p>",A represents PCM and B represents AM,A represents FM and B represents AM,A represents AM and B represents FM,A represents PCM and B represents FM,,C,
<p>A trinitron colour picture tube uses</p>,three electron guns,one electron gun,one electron gun with three separate in line cathodes,none of the above,,C,
"<p>For a three stage cascaded amplifier, having gains of G<sub>1</sub>, G<sub>2</sub> and G<sub>3</sub> and noise figures of F<sub>1</sub>, F<sub>2</sub>, F<sub>3</sub> the overall noise figure</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/505-230-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/505-230-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/505-230-3.png""/>",None of the above,,A,
"<p>Consider the following statements as regards DPSK and DEPSK <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">DPSK demodulator requires a device which operates at carrier frequency and provides a delay of bit time T<sub><i>b</i></sub></li><li style=""padding-top:10px;"">In DPSK, synchronous demodulation recovers the signal <i>b</i>(<i>t</i>) and the decoding of <i>b</i>(<i>t</i>) to generate <i>d</i>(<i>t</i>) is done at base band</li><li style=""padding-top:10px;"">In both DPSK and DEPSK errors always occur in pairs</li></ol> Which of the above statements are correct?</p>",1 and 3,1 and 2,2 and 3,"1, 2 and 3",,B,
<p>An audio frequency of 5 kHz is translated to a radio frequency carrier of frequency 1 MHz and transmitted it to space through an antenna. The required height of antenna is</p>,150 m,300 m,75 m,600 m,,A,
<p>Pre-emphasis circuit is used</p>,after modulation,before modulation,before detection,after detection,,B,
<p>In which frequency range is the noise figure in a transistor minimum</p>,intermediate frequencies,low frequencies,high frequencies,very high frequencies,,A,
"<p>In commercial FM Broadcasting, A radio station transmitting the signal at 98.3 MHz, it is</p>",carrier frequency,modulation frequency,message frequency,channel frequency,,A,
<p>The message carrying efficiency is best in</p>,AM,FM,AM-SC,Phase modulation,,C,
<p>An SSB-AM signal cannot be demodulated by</p>,Balanced modulator,Complete phase shift generator,Diode balanced modulator,Product detector,,A,
"<p>Which of the following could be the equation for non-linear resistor shown in figure? <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/542-1087-1.png""/></p>",<i>a</i> + <i>be</i> + <i>ce</i><sup>2</sup> + <i>de</i><sup>3</sup>,<i>a</i> - <i>be</i> - <i>ce</i><sup>2</sup> - <i>de</i><sup>3</sup>,<i>a</i> + <i>be</i> + <i>ce</i><sup>2</sup> - <i>de</i><sup>3</sup>,<i>a</i> + <i>be</i> - <i>ce</i><sup>2</sup> - <i>de</i><sup>3</sup>,,A,
<p>The pre-emphasis circuit is used</p>,prior to modulation,after demodulation,for low frequency components of the signal,none of the above,,A,
