question,A,B,C,D,E,answer,explanation
"<p>Consider the following types of distortions in diode detectors <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Distortion is caused due to the reason that dc and ac load impedances are unequal</li><li style=""padding-top:10px;"">Distortion is caused because ac load impedance has a reactive component at high audio frequencies</li><li style=""padding-top:10px;"">Audio frequency diode current is less than dc current</li></ol> Which of the above are true?</p>","1, 2 and 3",1 and 2,1 and 3,2 and 3,,B,
<p>Satellites used for international communication are called</p>,cossort,domsat,marisat,intelsat,,D,
"<p>In a phase discriminator <i>f<sub>c</sub></i>, is the IF to which primary circuit is tuned. Consider the following statements: The primary and secondary voltages are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">exactly 90° out of phase when input frequency is <i>f<sub>c</sub></i></li><li style=""padding-top:10px;"">more than 90° out of phase when input frequency is higher than <i>f<sub>c</sub></i></li><li style=""padding-top:10px;"">less than 90° out of phase when input frequency is lower than <i>f<sub>c</sub></i></li></ol> Which of the above statements is correct?</p>",1 only,1 and 2,"1, 2 and 3",2 and 3,,A,
<p>Electronic tubes used for transmitter differ from their counterparts in the receivers in respect that</p>,they are large in size,they are capable of handling large powers,they generate large amount of heat when in operation,none of the above,,D,
<p>A plot of modulation index vs carrier amplitude yields a</p>,horizontal line,vertical line,parabola,hyperbola,,D,
<p>In a certain '12 channel TDM' system it is found that channel no. 3 and channel no. 8 are connected to the same input signal. This technique</p>,wastes the channel capacity,takes care of different sampling rate,is required when different bandwidth signals are to be transmitted,reduces noise,,B,
<p>Which wave is also called surface wave?</p>,Ground wave,Sky wave,Space wave,Both (b) and (c),,A,
<p>ADM stands for</p>,Angle Delta Modulation,Angle Digital Modulation,Adaptive Delta Modulation,Adaptive Digital Modulation,,C,
<p>The atmospheric absorption of radio waves depends on</p>,frequency of wave,the distance from transmitter,wave polarisation,atmospheric polarisation,,A,
<p>Efficiency of general AM signal with <i>e<sub>m</sub></i> = E<sub>1</sub> cos ω<sub>1</sub><i>t</i> + E<sub>2</sub> cos ω<sub>2</sub> <i>t<sub>j</sub> e<sub>c</sub></i> = E<sub>c<i></i></sub> cos ω<i><sub>c</sub>t</i>; E<sub>1</sub> cos ω<sub>1</sub><i>t</i> with modulation index <i>m</i><sub>2</sub> is __________ .</p>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1020-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1020-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1020-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1020-4.png""/>",,A,
"<p>On modulating a carrier of frequency <i>f<sub>c</sub></i> by an audio signal <i>f<sub>s</sub></i>, the following components has resulted: <br/><i>f<sub></sub>c</i>, <i>f<sub>c</sub></i> + <i>f<sub>s</sub></i> and <i>f<sub>c</sub></i> - <i>f<sub>s</sub></i> <br/>What is this type of modulation likely to be?</p>",Amplitude modulation (DSB),Single sideband modulation,Frequency modulation only,Amplitude modulation or frequency modulation,,A,
<p>Strength of space wave is not dependent on distance.</p>,True,False,,,,A,
"<p>Which of the following is not necessarily the advantage of SSB over double sideband, full carrier AM?</p>",The signal is more noise resistant,More channel space is available,"Transmitter circuits must be more stable, given better reception",Considerably less power is required for the same signal strength,,C,
"<p>A signal <i>m</i>(<i>t</i>) = 5 cos 2<span class=""symbol"">p</span> 100 <i>t</i> frequency modulates a carrier. The resulting FM signal is <br/>10 cos {(2<span class=""symbol"">p</span> 10<sup>5</sup> <i>t</i>) + 15 sin (2<span class=""symbol"">p</span> 100 <i>t</i>)} <br/>The approximate bandwidth of the FM would be</p>",0.1 kHz,6 kHz,3.2 kHz,100 kHz,,D,
"<p>Some possible functions of AGC in a TV receiver are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">To increase gain for weak signals</li><li style=""padding-top:10px;"">To decrease gain for strong signals</li><li style=""padding-top:10px;"">To change the contrast when we switch from one channel to other</li><li style=""padding-top:10px;"">To reduce flutter</li></ol> Which of the above are correct?</p>","1, 2, 3, 4","1, 2, 4","1, 2, 3","2, 3, 4",,B,
