question,A,B,C,D,E,answer,explanation
<p>Which of the following is an indirect way of generating FM?</p>,Armstrong modulator,Varactor diode modulator,Reactance FET modulator,Reactance bipolar transistor,,A,
<p>When the length of antenna is a whole wavelength</p>,the radiation at right angles is zero,the radiation at right angles is maximum,the radiation is zero in all directions,the radiation is maximum in all directions,,A,
<p>Circular polarization</p>,is useful in reducing depolarization effect on received wave,involves critical alignment of transmitting and receiving antenna,is useful in discrimination between reception of adjacent beams,none of the above,,A,
<p>An FM radio receiver which is tuned to a 91.6 MHz broadcast station may receive an image frequency of __________ MHz.</p>,102.3,113,70.2,80.9,,B,
"<p>If S represents the carrier synchronization at the receiver and <span class=""symbol"">r</span> represents the bandwidth efficiency, then the correct statement for the coherent binary PSK is</p>","<span class=""symbol"">r</span> = 0.5, S is required","<span class=""symbol"">r</span> = 1.0, S is required","<span class=""symbol"">r</span> = 0.5, S is not required","<span class=""symbol"">r</span> = 1.0, S is not required",,D,
<p>For telegraphy the most commonly used modulation system is</p>,FSK,two tone modulation,PCM,single tone modulation,,A,
<p>Commercial Frequency deviation of FM is</p>,70 kHz,75 kHz,80 kHz,65 kHz,,B,
<p>The colour of an object is decided by</p>,the reflected colour,the wavelength transmitted through it,reflected colour for opaque object and wavelength transmitted through it for transparent objects,none of the above,,C,
<p>In Pulse Code Modulation system</p>,large bandwidth is required,quantising noise can be overcome by companding,quantising noise can be reduced by decreasing the number of standard levels,suffers from the disadvantage of its incompatibly with TDM,,A,
"<p>Waveform shown in figure is that for <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/527-735-1.png""/></p>",FM,PCM,AM-DSB,AM-SSB,,C,
<p>Human ear can detect sound intensities of the order of</p>,10<sup>-4</sup> W/m<sup>2</sup>,10<sup>-8</sup> W/m<sup>2</sup>,10<sup>-13</sup> W/m<sup>2</sup>,10<sup>-18</sup> W/m<sup>2</sup>,,C,
"<p>If output power of a radio receiver is doubled, its volume is increased by __________ dB.</p>",2,3,1,-3,,B,
<p>Which of the following statements is correct?</p>,Convex lens has positive focal power and concave lens have negative focal power,Convex lens has negative focal power and concave lens have positive focal power,All lens have positive focal power,All lens have negative focal power,,A,
"<p>In Modulation, ""carrier"" is</p>",resultant wave,speech voltage to be transmitted,"voltage with constant frequency, phase or amplitude","voltage for which frequency, phase or amplitude is varied",,D,
<p>To eliminate ghosts in the picture</p>,use a longer transmission line,connect a booster,change the antenna orientation of location,twist the transmission line,,C,
"<p>Consider a sampled signal <i>y</i>(<i>t</i>) = 5 x 10<sup>-6</sup> <i>x</i>(<i>t</i>)<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-930-1.png""/> where <i>x</i>(<i>t</i>) = 10 cos (8<span class=""symbol"">p</span> x 10<sup>3</sup>)<i>t</i> and <span class=""symbol"">t</span><sub><i>s</i></sub> = 100 μ sec. when <i>y</i>(<i>t</i>) is passed through an ideal low-pass filter with a cut off frequency of 5 kHz, the output of the filter is</p>","5 x 10<sup>-6</sup> cos (8<span class=""symbol"">p</span> x 10<sup>3</sup>)<i>t</i>","5 x 10<sup>-5</sup> cos (8<span class=""symbol"">p</span> x 10<sup>3</sup>)<i>t</i>","5 x 10<sup>-1</sup> cos(8<span class=""symbol"">p</span> x 10<sup>3</sup>)<i>t</i>","10 cos(8<span class=""symbol"">p</span> x 10<sup>3</sup>)<i>t</i>",,B,
<p>The frequency range of 300 kHz to 3000 kHz is known as</p>,low frequency,medium frequency,high frequency,very high frequency,,B,
<p>Which of the following does not cause losses in optical fibre cables?</p>,Stepped index operation,Impurities,Microbending,Attenuation in glass,,A,
"<p>For a low level AM system, the amplifiers modulated stage must be</p>",linear devices,harmonic devices,class C amplifiers,non-linear devices,,A,
<p><p><b>Assertion (A):</b>  In FM the frequency of the carrier is varied by the modulating voltage</p><p><b>Reason (R):</b>  FM and PM are two forms of angle modulation.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
