question,A,B,C,D,E,answer,explanation
"<p>When an electron moves at velocity <i>v</i> in combined electric and magnetic fields E and H, the Lorentz force F is F = - <i>e</i>(E + <i>v</i> x B).</p>",True,False,,,,A,
"<p>A parallel plate capacitor has area of plate equal to 1 m and distance between plates is also 1 m<sup>2</sup>. The lossy dielectric has a complex dielectric constant ∈<sub>r</sub> = ∈<i>'</i><sub>r</sub> - <i>j</i> ∈<i>""</i><sub>r</sub>. If the capacitor is represented by R and C is parallel, then</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/70-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/70-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/70-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/70-4.png""/>",,A,
"<p>When Schrodinger equation is applied to the motion of electron in the field of protons, the physically acceptable solutions for the wave function exist for quantum number which are</p>",2,3,4,5,,B, <p>There are three principal quantum numbers.</p> 
"<p>For dielectrics in alternating field, polarizability <span class=""symbol"">a</span><sub><i>e</i></sub> is a complex quantity. The imaginary part of <span class=""symbol"">a</span><sub><i>e</i></sub> is zero for</p>",ω = 0,ω → ∞,ω = 0 and ω → ∞,ω = natural frequency ω<sub>0</sub>,,C," <p>Imaginary part of <span class=""symbol"">a</span><sub><i>e</i></sub> is zero for ω = 0 and ω = ∞.</p> "
"<p>In the wave mechanical theory, the maximum of the charge distribution in the ground state occurs for a distance from the nucleus equal to</p>",first Bohr radius,second Bohr radius,third Bohr radius,either first or second Bohr radius,,A," <p>The total charge associated with an electron moving about nucleus in the ground state of hydrogen atom is given by <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/24-35-1.png""/> 4<span class=""symbol"">p</span><sup>2</sup><i>r</i><span class=""symbol"">r</span>(<i>r</i>)<i>dr</i>.</p>
<p>This integrand has a maximum value at <i>r</i> = radius of first Bohr orbit.</p> "
<p>Hysteresis curve is associated with motion of domain walls.</p>,True,False,,,,A,
<p>The number of protons in germanium atom is</p>,4,16,28,32,,D,
<p>Sulphur hexafluoride is used in</p>,transformers,generators,relays,circuit breakers,,D, <p>Sulphur hexafluoride is used in circuit breakers for arc quenching and insulation.</p> 
<p>The number of valence electrons in trivalent impurity is</p>,5,4,3,1,,C, <p>Trivalent means 3 valence electrons.</p> 
"<p>The <i>v-i</i> characteristic shown in the given figure is for<br/><img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/172-1.png""/></p>",thermistor,photoconductor,varistor,none of the above,,C,
<p>The induced magnetic dipole moment has a direction opposite to the applied magnetic field.</p>,True,False,,,,A,
"<p>An atom of polarizability <span class=""symbol"">a</span> is placed in a homogeneous electric field E. The energy stored in polarized atom is</p>","<span class=""symbol"">a</span>E<sup>2</sup>","<span class=""symbol"">a</span><sup>2</sup>E","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-div-1by2.gif""/> <span class=""symbol"">a</span>E<sup>2</sup>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-div-1by2.gif""/> <span class=""symbol"">a</span>E",,C,
"<p>If B, H and M denote flux density, field intensity and magnetisation, B = μ<sub>0</sub> (H + M).</p>",True,False,,,,A,
"<p>A capacitor can be represented by a capacitance and resistance in parallel. For a good capacitor, this parallel resistance should be</p>",negligible,low,high,very high,,D, <p>The dielectric of a good capacitor should have very high resistivity.</p> 
"<p><p><b>Assertion (A):</b>  Ionic solids, in general, have no electrical conductivity.</p><p><b>Reason (R):</b>  In ionic solids, electrons are tightly bound to the nucleus.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A," <p>If electrons are tightly bound, conductivity is not there.</p> "
<p>Two coaxial metallic cylinders have radii R<sub>1</sub> and R<sub>2</sub>. The space between them is filled with a dielectric having dielectric constant ∈<sub><i>r</i></sub>. The capacitance per metre length is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/63-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/63-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/63-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/63-4.png""/>",,B,
<p>The number of valence electrons in silicon atom is</p>,4,2,1,zero,,A,
<p>∈<sub><i>r</i></sub> is determined by the atomic structure of the dielectric.</p>,True,False,,,,A,
"<p>A rare gas has N atoms per m<sup>3</sup>. If electronic polarizability of single atom of this gas is <span class=""symbol"">a</span><sub>e</sub>, then</p>","∈<sub><i>r</i></sub> = N<span class=""symbol"">a</span><sub>e</sub>","∈<sub>0</sub>∈<sub><i>r</i></sub> = N<span class=""symbol"">a</span><sub>e</sub>","∈<sub>0</sub>(∈<sub><i>r</i></sub> - 1) = N<span class=""symbol"">a</span><sub>e</sub>","∈<sub>0</sub>(∈<sub><i>r</i></sub> - 2) = N<span class=""symbol"">a</span><sub>e</sub>",,C,
<p>The colour code on a carbon resistor is brown-black-red-gold. The value of resistance is</p>,100 Ω,1000 Ω,1000 Ω ± 5%,1000 Ω ± 10%,,C,
<p>Tesla is a unit of</p>,flux,field strength,flux density,MMF,,C,
"<p>If the operating temperature increases by 10°C, the rate of deterioration of solid dielectric becomes</p>",double,one and a half time,3 times,4 times,,A,
<p>In which of the following semiconductor are holes minority carriers</p>,extrinsic,<i>p</i> type,<i>n</i> type,intrinsic,,C,
"<p>At 0 K, silicon and germanium behave like monoatomic crystals.</p>",True,False,,,,B,
<p><p><b>Assertion (A):</b>  Acceptor extrinsic semiconductor has higher conductivity than intrinsic semiconductor.</p><p><b>Reason (R):</b>  Addition of <i>p</i>-type impurity produces an allowable discrete energy level just above valence band.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>Soft iron is suitable for making temporary magnets.</p>,True,False,,,,A,
<p>Antiferromagnetic materials do not have permanent dipoles.</p>,True,False,,,,B, <p>Anti-ferromagnetic materials have permanent dispoles but antiparallel orientation of equal moments.</p> 
<p>The Ohm's law for conduction in metals is</p>,J = σE,"J = <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/277-1.png""/>",J ∝ σE,"J ∝ <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/277-2.png""/>",,A,
<p>The measurement of Hall coefficient of a semiconductor with one type of charge carriers gives the information about</p>,sign of charge carrier,density of charge carrier,both sign and density of charge carrier,none of the above,,C,
<p>∈<sub>0</sub> has no other physical meaning than that of a fundamental conversion factor.</p>,True,False,,,,A,
"<p>When temperature is above ferromagnetic Curie temperature, a ferromagnetic material</p>",becomes a paramagnetic material,becomes a very strong ferromagnetic material,becomes diamagnetic material,none of the above,,A," <p>Above ferromagnetic Curie temperature, ferro-magnetic material behaves as a paramagnetic material.</p> "
<p>A magnet does not attract</p>,nickel,iron,copper,iron and copper,,C, <p>Only copper is non-magnetic.</p> 
<p>Bitter powder patterns prove the existence of domains.</p>,True,False,,,,A,
