question,A,B,C,D,E,answer,explanation
"<p>At a very low temperature, a semiconductor</p>",becomes a conductor,becomes an insulator,may become a conductor or an insulator,will remain a semiconductor becomes a conductor or an insulator,,B, <p>Semi conductor becomes insulator at very low temperature.</p> 
<p>The colour code on a carbon resistor is red-red-black-silver. The value of resistor is</p>,22000 Ω,2200 Ω,22 ± 5% Ω,22 ± 10% Ω,,D,
<p>Some typical examples of macroscopic quantities are</p>,conductivity,µ<sub><i>r</i></sub>,dielectric constant,all of the above,,D,
<p>The temperature coefficient of a thermistor</p>,is positive,is negative,zero,may be positive or negative depending on its composition,,B,
"<p><p><b>Assertion (A):</b>  Helium, Argon and Neon are gaseous at room temperature.</p><p><b>Reason (R):</b>  The atoms in Helium, Argon and Neon are chemically extremely inactive.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>Resistivity of rubber is about</p>,10<sup>2</sup> Ω-m,10<sup>-2</sup> Ω-m,5 x 10<sup>8</sup> Ω m,5 x 10<sup>12</sup> Ω-m,,D,
"<p>An iron specimen has µ<sub><i>r</i></sub> = 1000 when B = 0.3 T. If B = 0.35 T, µ<sub><i>r</i></sub></p>",will be 1000,will be less than 1000,will be more than 1000,may be more or less than 1000,,D,
<p>Which solid dielectric has highest temperature limit?</p>,E,H,C,F,,C,
<p>Permeability is analogous to</p>,resistivity,retentivity,conductivity,coercivity,,C,
<p>The colour code on a carbon resistor is green-blue-yellow. The tolerance is</p>,± 5%,± 10%,± 20%,± 30%,,C,
"<p>The resistivity of intrinsic semiconductors, at room temperature, is of the order of</p>",1 Ω-m,1000 Ω-m,10<sup>6</sup> Ω-m,10<sup>-3</sup> Ω-m,,A,
"<p><p><b>Assertion (A):</b>  Ferromagnetic materials possess ferromagnetic properties only when temperature is less than paramagnetic curie temperature.</p><p><b>Reason (R):</b>  For a ferromagnetic material <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/331-1.png""/> for T &gt; θ<sub><i>f</i></sub>.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>In terms of classical representation of electrons</p>,an atom is essentially empty,an atom is essentially full,an atom may be essentially empty or full depending on the material,an atom may be essentially empty or full depending on temperature,,A,
"<p>To produce magnetic flux, mmf is necessary.</p>",True,False,,,,A,
"<p>For a polyatomic gas, the equation relating dielectric constant ∈<sub><i>r</i></sub> with molecular properties is</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/55-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/55-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/55-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/55-4.png""/>",,A,
<p>The relaxation time of electrons in a metal is of the order of</p>,10<sup>-6</sup> secs,10<sup>-10</sup> secs,10<sup>-14</sup> secs,10<sup>-20</sup> secs,,C,
"<p><p><b>Assertion (A):</b>  For elemental dielectrics, P = N<span class=""symbol"">a</span><sub><i>e</i></sub>E<sub><i>i</i></sub> where <i>N</i> is number of atoms/m<sup>3</sup>, P is polarization, <span class=""symbol"">a</span><sub><i>e</i></sub> is electronic polarization and E<sub><i>i</i></sub> is internal electric field.</p><p><b>Reason (R):</b>  In elemental dielectrics there are no permanent dipoles or ions.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A, <p>In elemental dielectrics P<sub><i>i</i></sub> = P<sub><i>o</i></sub> = 0.</p> 
<p>The circumference of an electron orbit is equal to integer times the wavelength of electron.</p>,True,False,,,,A,
"<p>In a specimen of silicon steel, a field strength of 200 A/m causes a flux density of 0.5 T. In a specimen of cast iron, the same H would cause B to be</p>",0.5 T,less than 0.5 T,more than 0.5 T,0.5 T or more or less,,B, <p>Because cast iron has lower permeability than silicon steel.</p> 
"<p>In a rare gas, the molecules of some atoms have an excess positive or negative charge. The electric field tends to shift positive ions relative to negative ions. This is known as ionic polarization.</p>",True,False,,,,A,
<p>The dielectric constant of ferroelectric materials can be expressed by the equation</p>,"<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/59-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/59-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/59-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/59-4.png""/>",,A,
"<p>A liquid has N permanent dipoles μ<sub><i>p</i></sub> per unit volume and has been subjected to dc field for a long time such that orientation polarization is <i>P</i><sub><i>0</i></sub>. At <i>t</i> = 0, the field is suddenly removed, then polarization</p>",will remain constant at <i>P</i><sub>0</sub>,will become zero at <i>t</i> = 0,will delay to zero with a time constant,either b or c,,C,
<p><p><b>Assertion (A):</b>  Orbital magnetic moment of an electron in an atom is of the order of 1 Bohr magneton.</p><p><b>Reason (R):</b>  1 Bohr magneton = 9.27 x 10<sup>-24</sup> A/m<sup>2</sup>.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
"<p>As per Bohr's postulate, only those circular orbits are stable for which the angular momentum is equal to an integer times <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/357-1.png""/>.</p>",True,False,,,,A, <p>It is a quantum condition postulated by Bohr.</p> 
<p>Inductors used at V.H.F. are made using</p>,air core,cast iron cored,sheet steel cored,thin film technique,,D, <p>Thin film technique ensure low hysteresis and eddy current losses.</p> 
"<p>If a capacitor C having selectivity factor Q is scaled down in all its dimensions by a factor K without any altering the dielectric material, the new capacitor will have capacitance and selectivity as</p>","C, <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/240-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/240-2.png""/>, Q","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/240-2.png""/>, <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/240-1.png""/>","C, K",,B," <p>Since the dimension of plates is scaled down by K, the area decreases by a factor of K<sup>2</sup>, the distance between plates decreases by a factor of K. </p>
<p>Therefore, capacitance changes to <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/25-240-1.png""/>. </p>
<p>The selectivity will not be affected.</p> "
<p>The hysteresis loss is</p>,proportional to frequency,independent of frequency,proportional to (frequency)<sup>2</sup>,"proportional to <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/215-1.png""/>",,A,
"<p>If <i>m</i>, <i>v</i>, <i>r</i> are the mass, velocity and radius of orbit of electron and <i>h</i> is Planck's constant, quantum condition for electron's orbit is</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/30-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/30-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/30-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/30-4.png""/>",,B," <p>For stable circular orbit angular momentum is equal to integer times <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/24-30-1.png""/>.</p> "
"<p><p><b>Assertion (A):</b>  For a magnetic material M = (μ<sub><i>r</i></sub> - 1) H, where M is magnetic dipole moment/m<sup>3</sup>, H is field intensity A/m and μ<sub><i>r</i></sub> is relative permeability.</p><p><b>Reason (R):</b>  μ<sub><i>r</i></sub> can have any value from 0 to hundreds of thousands.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C, <p>μ<sub><i>r</i></sub> is always more than 1. It cannot be 0 or less than 1.</p> 
<p>As regards ∈<sub>0</sub> and ∈<sub><i>r</i></sub> (absolute and relative permittivity)</p>,both ∈<sub>0</sub> and ∈<sub><i>r</i></sub> can be interpreted in terms of atomic properties of medium,only ∈<sub><i>r</i></sub> can be interpreted in terms of atomic properties of medium,only ∈<sub>0</sub> can be interpreted in terms of atomic properties,∈<sub><i>r</i></sub> has no physical significance,,B,
<p>Thermistor is used in</p>,temperature measurement,temperature control,high temperature alarm circuits of devices,all of the above,,D,
<p>Nichrome is used for</p>,overhead line wires,heater coils,lamp filaments,all of the above,,B,
"<p>The electric dipole moment of a neutral system of point charges Q<sub>1</sub>, Q<sub>2</sub>.... is <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/42-1.png""/>Q<sub><i>i</i></sub>r<sub><i>i</i></sub> . The charges Q<sub><i>i</i></sub></p>",must be all positive,must be all negative,"must be such that <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/42-1.png""/>Q<sub><i>i</i></sub> = 0",either (a) or (b),,C, <p>The system is neutral and hence sum is zero.</p> 
<p>The class of insulation of impregnated paper is</p>,A,B,C,F,,A,
<p><p><b>Assertion (A):</b>  The resistance of a copper specimen changes by about 22% when temperature is increased from room temperature to 700°C.</p><p><b>Reason (R):</b>  The physical properties of a material are determined mostly by the extent of impurities.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B, <p>The increase of resistance with temperature is governed by temperature coefficient of resistance.</p> 
"<p><p><b>Assertion (A):</b>  For most metals, Fermi energy E<sub>F</sub> is less than 10 eV.</p><p><b>Reason (R):</b>  Fermi level of a metal is given by E<sub>F</sub> = 3.64 x 10<sup>-19</sup> (<i>n</i>)<sup>2/3</sup> where <i>n</i> is number of free electrons/m<sup>3</sup> of metal.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>The capacitance of an insulated conducting sphere of radius R in vacuum is</p>,"2<span class=""symbol"">p</span>∈<sub>0</sub>R","4<span class=""symbol"">p</span>∈<sub>0</sub>R","4<span class=""symbol"">p</span>∈<sub>0</sub>R<sup>2</sup>","4<span class=""symbol"">p</span><img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/62-1.png""/>",,B,
<p>The transition of electron from energy level W<sub>1</sub> to W<sub>2</sub> is associated with emission or absorption of electro magnetic radiation of frequency <i>f</i> such that</p>,<i>hf</i> = |W<sub>1</sub> - W<sub>2</sub>|,|W<sub>1</sub> - W<sub>2</sub>|<i>f</i> = <i>h</i>,<i>hf</i> = 0.5|W<sub>1</sub> - W<sub>2</sub>|,(<i>hf</i>)<sup>2</sup> = |W<sub>1</sub> - W<sub>2</sub>|,,A,
"<p>A material has N spins per m<sup>3</sup>. If N<sub><i>p</i></sub> are the dipoles per m<sup>3</sup> parallel to field and N<sub><i>a</i></sub> are the dipoles per m<sup>3</sup> anti-parallel to field, the magnetisation is</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/87-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/87-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/87-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/87-4.png""/>",,A,
"<p>Even at room temperature, an intrinsic semiconductor has some holes. These holes are due to</p>",electron,doping,thermal energy,free electrons,,C,
"<p>In carbon resistor colour code, if the third band is of silver, it indicates</p>",that three zeros are to be added to indicate the resistance value,multiplier is 0.01,multiplier is 0.1,tolerance is ± 5%,,B,
"<p>In a metal, the drift velocity of electrons in the presence of a electric field E is</p>",proportional to E,"proportional to <span class=""root"">E</span>",inversely proportional to E,proportional to E<sup>2</sup>,,A, <p>Drift velocity is proportional to field strength.</p> 
"<p>At a temperature of about 1 K, aluminium is a</p>",conductor,insulator,photoconductor,superconductor,,D,
"<p>An electron is moving in a circular orbit of radius R at angular velocity ω<sub>0</sub> in a field free space. If a magnetic field B is created, the velocity of electron ω will be given by the equation</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/81-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/81-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/81-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/81-4.png""/>",,A,
"<p>If <i>v</i> is the velocity of electron, <span class=""symbol"">t</span><sub><i>c</i></sub> is the average time between collisions, the mean free path λ = <i>v</i><span class=""symbol"">t</span><sub><i>c</i></sub>.</p>",True,False,,,,A,
"<p><p><b>Assertion (A):</b>  An electron having charge - <i>e</i> and mass <i>m</i> and lying in an electric field E is subjected to an acceleration - (<i>e</i>/<i>m</i>) E.</p><p><b>Reason (R):</b>  If there are <i>n</i> electrons/m<sup>3</sup> moving with velocity <i>v</i><sub><i>x</i></sub> and each electron has a charge - <i>e</i>, the current density J = - <i>n</i> <i>ev</i><sub><i>x</i></sub>.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
"<p>When a pentavalent impurity is added, the semiconductor becomes</p>",<i>p</i> type,<i>n</i> type,intrinsic,neutral,,B,
"<p>In body centred cubic structure, comers and centre of the cube are occupied by identical atoms.</p>",True,False,,,,A,
"<p>For a multiplate capacitor having <i>n</i> plates, A as area of each plate, the capacitance is proportional to</p>",<i>n</i> A,(<i>n</i> - 1) A,(<i>n</i> + 1) A,"<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/201-1.png""/>",,B," <p>If the number of plates is <i>n</i>, the number of capacitors is (<i>n</i> - 1).</p> "
"<p>The orientation polarization is <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">directly proportional to temperature</li><li style=""padding-top:10px;"">inversely proportional to temperature</li><li style=""padding-top:10px;"">inversely proportional to square of permanent dipole moment</li><li style=""padding-top:10px;"">directly proportional to square of permanent dipole moment.</li></ol> Which of the above are correct?</p>",1 and 3 only,2 and 3 only,1 and 4 only,2 and 4 only,,D,
