question,A,B,C,D,E,answer,explanation
<p>The dielectric losses do not depend on frequency.</p>,True,False,,,,B, <p>Dielectric losses vary with frequency.</p> 
"<p><p><b>Assertion (A):</b>  Holes are majority carriers in <i>p</i> type semiconductor.</p><p><b>Reason (R):</b>  In <i>p</i> type semiconductor, the electrons produced by thermal agitation recombine with holes.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
"<p>If <span class=""symbol"">t</span> is relaxation time and <span class=""symbol"">t</span><sub><i>c</i></sub> is average time between collisions, then in an isotropic metal</p>","<span class=""symbol"">t</span> = <span class=""symbol"">t</span><sub><i>c</i></sub>","<span class=""symbol"">t</span> &lt; <span class=""symbol"">t</span><sub><i>c</i></sub>","<span class=""symbol"">t</span><sub><i>c</i></sub> &lt; <span class=""symbol"">t</span>","T = 0.01 <span class=""symbol"">t</span><sub><i>e</i></sub>",,A,
<p><p><b>Assertion (A):</b>  Resistivity of a perfect single crystal of a metal goes to zero as T approaches zero.</p><p><b>Reason (R):</b>  Scattering of electrons is due to deviations from perfect periodicity of lattice.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
<p>Fleming's left hand rule is used to find</p>,direction of force on a current carrying conductor,direction of flux in solenoid,direction of magnetic field due to a current carrying conductor,direction of induced emf,,A,
"<p>If <i>m</i> is the mass of electron cloud, the equation of motion of electron cloud in the presence of an alternating electric field is of the form</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/64-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/64-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/64-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/64-4.png""/>",,A,
<p>The rule that resistivity of conductors can be separated into two parts viz. temperature independent and temperature dependent is known as</p>,Matthiessen's rule,Debye rule,Curie rule,Onne's rule,,A,
"<p>Above a certain temperature, the specific heat of a metal becomes constant. This temperature is called</p>",Debye temperature,Curie temperature,Neel temperature,Transition temperature,,A,
<p>A dielectric material must be</p>,insulator,good conductor,resistor,semiconductor,,A, <p>Any material other than insulator will short-circuit the plates.</p> 
<p>Spontaneous magnetisation is characteristic of ferromagnetic materials.</p>,True,False,,,,A,
"<p><p><b>Assertion (A):</b>  The angular momentum of an atom is due to three contributions viz. orbital, electron spin and nuclear spin.</p><p><b>Reason (R):</b>  The nuclear spin magnetic moment is much more than electron spin magnetic moment.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C, <p>Nuclear spin is of the same order as electron sum.</p> 
"<p>If W<sub>F</sub> is the Fermi level, then in a metal at T = 0</p>","all energy levels above W<sub>F</sub> filled, all those below W<sub>F</sub> are empty","all energy levels below W<sub>F</sub> are filled, all those above W<sub>F</sub> are empty","some energy levels, both below and above W<sub>F</sub>, are filled",all energy levels below and above W<sub>F</sub> are filled,,B,
<p>Silicon and germanium have diamond structure. The number of atoms in a volume equal to <i>a</i><sup>3</sup> where <i>a</i> is the edge of elementary cube are</p>,32,16,8,4,,C,
"<p>If the radius of electron cloud around the nucleus of a rare gas atom is R, the electronic polarizability of the atom is porportional to</p>",R,R<sup>2</sup>,R<sup>3</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/48-1.png""/>",,C," <p>Since (∈<sub><i>r</i></sub> - 1) = 4<span class=""symbol"">p</span> NR<sup>3</sup>, electronic polarizability ∝ R<sup>3</sup>.</p> "
"<p>By inserting a plate of dielectric between the plates of a parallel plate capacitor, the energy stored in the capacitor is increased five times. The dielectric constant of material is</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/235-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/235-2.png""/>",5,25,,C, <p>Capacitance is directly proportional to dielectric constant.</p> 
