question,A,B,C,D,E,answer,explanation
<p>Diamond is a paramagnetic material.</p>,True,False,,,,B, <p>Diamond is diamagnetic.</p> 
<p>Which capacitor-store higher amount of energy?</p>,Air capacitor,Paper capacitor,Mica capacitor,Plastic film capacitor,,C, <p>Energy stored is proportional to capacitance and capacitance is proportional to permittivity.</p> 
"<p>Above ferroelectric curie temperature, spontaneous polarization in ferroelectric materials becomes stronger.</p>",True,False,,,,B, <p>Spontaneous polarization vanishes above ferro-electric Curie temperature.</p> 
<p>In paramagnetic materials</p>,permanent magnetic dipoles exist but the interaction between neighbouring dipoles is negligible,permanent magnetic dipole do not exist,permanent magnetic dipoles exist and the interaction between neighbouring dipoles is very strong,permanent magnetic dipole moment may or may not exist,,A, <p>In paramagnetic materials interaction between neighbouring dipoles is negligible.</p> 
<p><p><b>Assertion (A):</b>  Atomic number of sodium is 11.</p><p><b>Reason (R):</b>  Sodium has a body centred cubic lattice.<br/><br/></p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B, <p>Atomic number is not dependent on lattice structure.</p> 
<p>The conductivity of intrinsic semiconductor is given by</p>,<i>en</i><sub><i>i</i></sub>(μ<sub><i>p</i></sub> - μ<sub><i>n</i></sub>),<i>en</i><sub><i>i</i></sub>(μ<sub><i>p</i></sub> + μ<sub><i>n</i></sub>),<i>n</i><sub><i>i</i></sub>(μ<sub><i>p</i></sub> + μ<sub><i>n</i></sub>),<i>n</i><sub><i>i</i></sub>(μ<sub><i>p</i></sub>μ<sub><i>n</i></sub>),,B," <p>For intrinsic semiconductor, </p>
<p>Conductivity = (Electron charge) x (Number of charge carriers) x (Sum of mobilities of holes and electrons).</p> "
"<p>The core of a coil has a length of 10 cm. The self inductance is 8 mH. If the core length is doubled, all other quantities remaining the same, the self inductance will be</p>",32 mH,16 mH,8 mH,4 mH,,D, <p>Inductance is inversely proportional to the core length.</p> 
<p>The minority carrier life time and diffusion constant in a semiconducting material are 100 μs and 100 cm<sup>2</sup>/s respectively. The diffusion length of carriers is</p>,0.1 cm,0.01 cm,0.0141 cm,1 cm,,A, <p>Diffusion length = sqrt(Carrier life time x Diffusion constant) = (100 x 10<sup>-6</sup> x 100)<sup>0.5</sup> = 0.1 cm.</p> 
<p><p><b>Assertion (A):</b>  Electronic and Ionic polarization in a polyatomic gas are independent of temperature.</p><p><b>Reason (R):</b>  The orientation polarization is independent of temperature.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C, <p>Orientation polarization is inversely proportional to temperature.</p> 
<p>Two materials having temperature coefficients of 0.004 and 0.0004 respectively are joined in series. The overall temperature coefficient is likely to be</p>,0.08,0.04,0.001,0.0001,,C, <p>The overall temperature coefficient will be less than 0.004 and more than 0.0004.</p> 
<p>The number of valence electrons in pentavalent impurity is</p>,5,4,3,1,,A, <p>Pentavalent means 5 valence electrons.</p> 
"<p>If the diameter of a wire is doubled, its current carrying capacity becomes</p>",one-fourth,half,twice,four times,,D, <p>Current carrying capacity depends on area of cross-section.</p> 
"<p>The law J = σE, where J is current density, σ is electrical conductivity and E is field strength is</p>",Ohm's law,Gauss law,Ampere's law,Biot-Savart law,,A, <p>It is another form of Ohm's law.</p> 
<p><p><b>Assertion (A):</b>  Silicon is less sensitive to changes in temperature than germanium.</p><p><b>Reason (R):</b>  Cut in voltage in silicon is less than that in germanium.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C, <p>Cut in voltage of silicon is higher than that in germanium.</p> 
