question,A,B,C,D,E,answer,explanation
<p><p><b>Assertion (A):</b>  Intrinsic resistivity of silicon is lower than that of germanium.</p><p><b>Reason (R):</b>  Magnitude of free electron concentration in germanium is more than that of silicon.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,D,
<p>The units for ∈<sub><i>r</i></sub> are</p>,Farads,Farads/m,"<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/206-1.png""/>",no units,,D, <p>∈<sub><i>r</i></sub> is only a numeric. Hence no units.</p> 
<p>The real part of complex dielectric constant and tanδ for a dielectric are 2.1 and 5 x 10<sup>-4</sup> at 100 Hz respectively. The imaginary part of dielectric constant at 100 Hz is</p>,1.05 x 10<sup>-3</sup>,2.1 x 10<sup>-3</sup>,5 x 10<sup>-3</sup>,1.05 x 10<sup>-2</sup>,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/26-275-1.png""/></p> "
<p>A copper atom is neutral. Its core has a net charge of</p>,0,+ 1,- 1,+ 2,,B,
<p>As the temperature of semiconductor is increased</p>,the average number of free charge carriers decreases,the average number of free charge carriers increases,the average number of free charge carriers remains the same,the average number of free charge carriers may increase or decrease,,B," <p>As temperature increases, conductivity of semi- conductors increases.</p> "
"<p>In anti-ferromagnetic materials, the graph of susceptibility versus temperature shows a sharp maximum at a certain temperature. This temperature is known as</p>",Curie temperature,Neel temperature,Weiss temperature,Bitter temperature,,B,
"<p>A parallel plate capacitor has area of plate A and plate separation <i>d</i>. Its capacitance is C. A metallic plate P of area A and negligible thickness is added as shown in Figure. The new value of capacitance is <br/> <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/260-1.png""/></p>",C,2C,0.5 C,0.25 C,,A, <p>The new configuration has two capacitors in series and the capacitance of each is 2C.</p> 
"<p>The wavelength of light emitted by GaAs laser is 8670 x 10<sup>-10</sup> m. If <i>h</i> = 6.626 x 10<sup>-34</sup> Js, velocity of light = 3 x 10<sup>8</sup> m/s and eV = 1.602 x 10<sup>-19</sup> J, the energy gap in GaAs is</p>",0.18 eV,0.7 eV,1.43 eV,2.39 eV,,C,
<p>Diamagnetic materials do not have permanent magnetic dipoles.</p>,True,False,,,,A,
<p>A piece of copper and another piece of Germanium are cooled from 30°C to 80 K. The resistance of</p>,copper decreases and germanium increases,both decreases,both increases,copper increases and germanium decreases,,A," <p>As temperature is decreased, resistance of conductors decreases and resistance of semiconductors increases.</p> "
<p>The direction of force an a conductor carrying current and lying in a magnetic field can be found by using</p>,Fleming's left hand rule,Fleming's right hand rule,Cork screw rule,Any of the above,,A,
<p><p><b>Assertion (A):</b>  Rochelle salt and Barium titanate are both ferroelectric. </p><p><b>Reason (R):</b>  Ferroelectric materials exhibit hysteresis effect.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B, <p>Both the materials exhibit ferroelectric properties. Hysteresis effect is one of the features of ferroelectric materials.</p> 
<p>The units for electric dipole moment are</p>,coulombs,colomb-metre,coulomb/metre,coulomb/m<sup>2</sup>,,B, <p>It is product of charge and distance.</p> 
<p>The temperature coefficient of resistivity of semiconductors is</p>,positive,negative,may be positive or negative,very low,,B, <p>Resistance of semiconductors decreases with increase in temperature.</p> 
<p>Which of the following is used in automatic control of street lights?</p>,Thermistor,Photoconductor,Transistor,Varistor,,B,
"<p>A leaky dielectric has ∈<sub><i>r</i></sub> = ∈<sub><i>r</i></sub><sup><i>'</i></sup> - <i>j</i>∈<sub><i>r</i></sub><sup><i>""</i></sup>. If a field <i>E</i> is applied, the current component in phase with E is proportional to ∈<sub><i>r</i></sub><sup><i>""</i></sup>.</p>",True,False,,,,A,
