question,A,B,C,D,E,answer,explanation
<p><p><b>Assertion (A):</b>  Diamond and carborudum are both very hard materials.</p><p><b>Reason (R):</b>  Valence band can be extremely strong.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A, <p>Valence bond results in hardness.</p> 
<p>The chemical properties of atoms are determined by all the electrons and their configuration.</p>,True,False,,,,B, <p>Chemical properties are governed by valence electrons only.</p> 
<p>Nichrome is used for</p>,overload line wires,heater coils,lamp filaments,all of the above,,B, <p>Because heater coil must be made of high resistivity material.</p> 
"<p>If <i>k</i> is Boltzmann's constant and T is absolute temp, then at room temp.</p>","<i>k</i>T <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-sym-aa=.gif""/> 0.025 eV","<i>k</i>T <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-sym-aa=.gif""/> 0.5 eV","<i>k</i>T <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-sym-aa=.gif""/> 1 eV","<i>k</i>T <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-sym-aa=.gif""/> 100 eV",,A,
"<p>If the valence electron is separated from a copper atom, the remaining part of atom has a net charge of</p>",1,- 1,0,+ 3,,A,
<p>The dielectrics having only one kind of atoms are known as elemental dielectrics.</p>,True,False,,,,A,
"<p>For a core having a relative permeability μ<sub><i>r</i></sub>, magnetic dipole moment per unit volume M and field strength H, the flux density B is</p>",B = μ<sub><i>r</i></sub> (H + M),B = μ<sub>0</sub> (H + M),B = μ<sub>0</sub>μ<sub><i>r</i></sub> (H + M),B = μ<sub>0</sub>μ<sub><i>r</i></sub> (H - M),,B,
"<p>The law that <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/122-1.png""/> (where K is thermal conductivity, σ is electrical conductivity and T is absolute temperature) for all metals is equal to a universal constant is known as</p>",Lorentz law,Wiedemann Franz law,Curie Weiss law,Kittel law,,A,
"<p>In elemental dielectrics, the orientation and ionic polarization are absent.</p>",True,False,,,,A,
<p>In which of the following semiconductor are holes majority carriers</p>,intrinsic,extrinsic,<i>p</i> type,<i>n</i> type,,C,
<p>The equation D = ∈<sub>0</sub>∈<sub><i>r</i></sub> E refers only to isotropic materials.</p>,True,False,,,,A,
<p>When a ferromagnetic substance is magnetised there are small changes in dimensions. This phenomenon is called</p>,hysteresis,magnetostriction,diamagnetism,dipolar relaxation,,B,
"<p><p><b>Assertion (A):</b>  In some materials, ∈<sub><i>r</i></sub> is independent of temperature while in others, ∈<sub><i>r</i></sub> depends on temperature.</p><p><b>Reason (R):</b>  If permanent dipoles are absent, ∈<sub><i>r</i></sub> varies with temperature.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C,
<p>An electron in a homogeneous magnetic field and having velocity perpendicular to the direction of field moves</p>,perpendicular to the field,along the field,along a straight line inclined at 45° to field,in a circular path,,D,
