question,A,B,C,D,E,answer,explanation
<p>Which of the following statement is correct?</p>,The primary unbalanced force is less than the secondary unbalanced force.,The primary unbalanced force is maximum twice in one revolution of the crank.,The unbalanced force due to reciprocating masses varies in magnitude and direction both.,The magnitude of swaying couple in locomotives is inversely proportional to the distance between the two cylinder centre lines,,B,
<p>The magnitude of velocities of the points on a rigid link is</p>,directly proportional to the distance from the points to the instantaneous centre and is parallel to the line joining the point to the instantaneous centre,directly proportional to the distance from the points to the instantaneous centre and is perpendicular to the line joining the point to the instantaneous centre,inversely proportional to the distance from the points to the instantaneous centre and is parallel to the line joining the point to the instantaneous centre,inversely proportional to the distance from the points to the instantaneous centre and is perpendicular to the line joining the point to the instantaneous centre,,D,
<p>A pendulum type governor is a Watt governor.</p>,Agree,Disagree,,,,A,
<p>In a single slider crank chain</p>,each of the four pairs is a turning pair,one is a turning pair and three are sliding pairs,two are turning pairs and two are sliding pairs,three are turning pairs and one is a sliding pair,,D,
"<p>The mechanism consisting of three turning pairs and one sliding pair, is called a</p>",single slider crank chain,Whitworth quick return motion mechanism,crank and slotted lever quick return motion mechanism,all of the above,,D,
<p>A system of masses rotating in different parallel planes is in dynamic balance if the</p>,resultance force is equal to zero,resultant couple is equal to zero,resultant force and resultant couple are both equal to zero,"resultant force is numerically equal to the resultant couple, but neither of them need necessarily be zero",,C,
<p>The velocity of sliding __________ the distance of the point of contact from the pitch point.</p>,is directly proportional to,is inversely proportional to,is equal to cos φ multiplied by,does not depend upon,,A,
"<p>The radial distance from the top of a tooth to the bottom of a tooth in a meshing gear, is called</p>",dedendum,addendum,clearance,working depth,,C,
"<p>A simple spring-mass vibrating system has a natural frequency of <i>f<sub>n</sub></i>. If the spring stiffness is halved and the mass is doubled, then the natural frequency will become</p>",<i>f<sub>n</sub></i>/2,2 <i>f<sub>n</sub></i>,4 <i>f<sub>n</sub></i>,8 <i>f<sub>n</sub></i>,,A,
"<p>The frictional torque transmitted in a truncated conical pivot bearing, considering uniform pressure, is</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-1.png""/> μ <i>W</i> cosec α (<i>r</i><sub>1</sub> + <i>r</i><sub>2</sub>)","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-2.png""/> μ <i>W</i> cosec α (<i>r</i><sub>1</sub> + <i>r</i><sub>2</sub>)","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-1.png""/> μ <i>W</i> cosec α <img src=""/_files/images/mechanical-engineering/theory-of-machines/487-184-3.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-2.png""/> μ <i>W</i> cosec α <img src=""/_files/images/mechanical-engineering/theory-of-machines/487-184-3.png""/>",,D,
<p>The axis of precession is __________ to the plane in which the axis of spin is going to rotate.</p>,parallel,perpendicular,,,,B,
<p>Bifilar suspension method is used to find the</p>,angular acceleration of the body,moment of inertia of the body,periodic time of the body,frequency of vibration of the body,,B,
"<p>The equation of motion for a vibrating system with viscous damping is <br/><img src=""/_files/images/mechanical-engineering/theory-of-machines/515-479-1.png""/><br/>If the roots of this equation are real, then the system will be</p>",overdamped,under damped,critically damped,without vibrations,,A,
"<p>The motion between a pair when limited to a definite direction, irrespective of the direction of force applied, is known as</p>",completely constrained motion,incompletely constrained motion,successfully constrained motion,none of these,,A,
<p>The motion of a shaft in a circular hole is an example of</p>,completely constrained motion,incompletely constrained motion,successfully constrained motion,none of these,,B,
<p>A spring controlled governor is said to be unstable when the controlling force</p>,increases as the radius of rotation decreases,increases as the radius of rotation increases,decreases as the radius of rotation increases,remains constant for all radii of rotation,,C,
<p>The equivalent length of a simple pendulum depends upon the distance between the point of suspension and the centre of gravity.</p>,True,False,,,,A,
<p>Balancing of rotating and reciprocating parts of an engine is necessary when it runs at</p>,slow speed,moderate speed,highs peed,any one of these,,C,
"<p>When the nature of contact between the elements of a pair is such that one element can turn about the other by screw threads, the pair is known as a</p>",screw pair,spherical pair,turning pair,sliding pair,,A,
"<p>In a locomotive, the resultant unbalanced force due to the two cylinders along the line of stroke, is known as</p>",tractive force,swaying couple,hammer blow,none of these,,A,
"<p>When no external force acts on a body, after giving it an initial displacement, the body is said to have free vibrations.</p>",True,False,,,,A,
<p>Which of the following is an example of sliding pair?</p>,Piston and cylinder of a reciprocating steam engine,Shaft with collars at both ends fitted into a circular hole,Lead screw of a lathe with nut,Ball and a socket joint,,A,
<p>The coriolis component of acceleration exists whenever apoint moves along a path that has</p>,linear displacement,rotational motion,gravitational acceleration,tangential acceleration,,B,
"<p>In a steam engine, the distance by which the inner edge of the D-slide valve overlaps the steam port is called lead.</p>",Agree,Disagree,,,,B,
<p>A shaft of mass (<i>m<sub>c</sub></i>)and stiffness (<i>s</i>) is fixed at one end and carries a mass (<i>m</i>) at the other end. The natural frequency of its transverse vibration is same as for longitudinal vibration.</p>,Yes,No,,,,B,
"<p>The ratio of height of Porter governor (when length of arms and links are equal) to the height of Watt's governor is (where <i>m</i> = Mass of the ball, and <i>M</i> = Mass on the sleeve)</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/501-333-1.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/501-333-2.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/501-333-3.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/501-333-4.png""/>",,C,
<p>The distance by which the __________ of the D-slide valve overlaps the steam port is called exhaust lap.</p>,inner edge,outer edge,,,,A,
"<p>The stress induced in a body will be shear stress, when it is subjected to</p>",longitudinal vibrations,transverse vibrations,torsional vibrations,none of these,,C,
"<p>A machine mounted on a single coil spring has a period of free vibration of <i>t<sub>p</sub></i> . If the spring is cut into four equal parts and placed in parallel and the machine is mounted on them, then the period of free vibration of the new system will become</p>",<i>t<sub>p</sub></i>/16,<i>t<sub>p</sub></i>/4,4 <i>t<sub>p</sub></i>,16 <i>t<sub>p</sub></i>,,B,
"<p>When a body is subjected to longitudinal vibrations, the stress induced in a body will be tensile or compressive stress.</p>",Correct,Incorrect,,,,A,
