question,A,B,C,D,E,answer,explanation
"<p>The asynchronous inputs are normally labeled ________ and ________, and are normally active-________ inputs.</p>","<i>PRE, CLR, LOW</i>","<i>ON, OFF, HIGH</i>","<i>START, STOP, LOW</i>","<i>SET, RESET, HIGH</i>",,A,
<p>Assume a J-K flip-flop has 1s on the J and K inputs. The next clock pulse will cause the output to ________.</p>,set,reset,latch,toggle,,D,
"<p>In synchronous systems, the exact times at which any output can change state are determined by a signal commonly called the ________.</p>",traffic,D,flip-flop,clock,,D,
<p>The key to edge-triggered sequential circuits in VHDL is the ________.</p>,ARCHITECTURE,PROCESS,FUNCTION,VARIABLE,,B,
"<p>Assume an <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq7_00100.gif""/> latch, made from cross-coupled NAND gates, has a 0 on both inputs. The outputs will be ________.</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua7_0010a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua7_0010b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua7_0010c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua7_0010d.gif""/>",,D,
<p>The J-K flip-flop is a standard building block of clocked (sequential) logic circuits known as a ________.</p>,FUNCTION,logic primitive,VARIABLE,PROCESS,,B,
<p>A gated D latch does not have ________.</p>,a clock input,an enable input,"a <img src=""/_files/images/digital-electronics/digital-fundamentals/qoverbar.gif""/> output",steering gates,,A,
<p>Setup time specifies ________.</p>,the minimum time for the control levels to be maintained on the inputs prior to the triggering edge of the clock in order for data to be reliably clocked into the FF,the maximum time interval required for the control levels to remain on the inputs before the triggering edge of the clock in order for the data to be reliably clocked out of the FF,how long the operator has in order to get the flip-flop running before the maximum power level is exceeded,how long it takes the output to change states after the clock has transitioned,,A,
"<p>When the output of the NOR gate S-R flip-flop is <i>Q</i> = 0 and <img src=""/_files/images/digital-electronics/digital-systems/fbq5_1013_1.gif""/>, the inputs are:</p>","<i>S</i> = 1, <i>R</i> = 1","<i>S</i> = 1, <i>R</i> = 0","<i>S</i> = 0, <i>R</i> = 1","<i>S</i> = 0, <i>R</i> = 0",,C,
"<p>A retriggerable one-shot has a pulse width of 10 ms; 3 ms after being triggered, another trigger pulse is applied. The resulting output pulse will be ________ mS.</p>",3,7,10,13,,D,
<p>Most people would prefer to use ________ over HDL.</p>,graphic descriptions,functions,VHDL,AHDL,,A,
"<p>A major drawback to an <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq7_00200.gif""/>latch is its ________.</p>",complexity,slow speed,invalid condition,latch mode,,C,
"<p>In VHDL, each instance of a component is given a name followed by a ________ and the name of the library primitive.</p>",function,signal,semicolon,colon,,D,
<p>The duty cycle of a 555 timer configured as a basic astable multivibrator is controlled by ________.</p>,one resistor,two resistors,one capacitor,a resistor and a capacitor,,D,
<p>The major advantage of a Schmitt trigger input is that it ________.</p>,avoids erratic triggering,has more triggering methods,has a wider range of outputs,can be retriggered,,A,
"<p>When the output of the NOR gate S-R flip-flop is in the HOLD state (no change), the inputs are ________.</p>","<i>S</i> = 1, <i>R</i> = 1","<i>S</i> = 1, <i>R</i> = 0","<i>S</i> = 0, <i>R</i> = 1","<i>S</i> = 0, <i>R</i> = 0",,D,
"<p>Regardless of whether you develop a description in AHDL or VHDL, the circuit's proper operation can be verified using a ________.</p>",PROCESS,computer,simulator,primitive library,,C,
<p>The 74121 nonretriggerable multivibrator can have the output pulse set by a single external component. This component is a(n) ________.</p>,capacitor,inductor,resistor,LED,,A,
<p>The signal used to identify edge-triggered flip-flops is ________.</p>,a bubble on the clock input,"an inverted ""L"" on the output","the letter ""E"" on the enable input",a triangle on the clock input,,D,
<p>An edge-triggered flip-flop can change states only when ________.</p>,the trigger is HIGH,the <i>D</i> input is HIGH,the trigger is LOW,the trigger input changes levels,,D,
"<p>When both inputs of a J-K pulse-triggered FF are high and the clock cycles, the output will ________.</p>",be invalid,not change,remain unchanged,toggle,,D,
