question,A,B,C,D,E,answer,explanation
<p>The condition that causes vapour locking in a brake system is</p>,overheating of the fluid due to frequent brake application,overcooling of the brakes during high speed driving,keeping the vehicle without use for an extended period,an excessively high engine speed on a downhill road,,A,
<p>The portion of a crankshaft which rests on cylinder block is called main journal.</p>,Yes,No,,,,A,
<p>A baffle plate is fitted inside the oil pan to prevent the oil from splashing when it is subjected to vibration and other movement during vehicle operation.</p>,True,False,,,,A,
<p>The motion of the cam is transferred to the valves through</p>,pistons,rocker arms,camshaft pulley,valve stems,,B,
<p>Which of the following symptom is caused as a result of brake disc run out ?</p>,Ineffectiveness of the brakes,Judder during braking,Localized wearing of the brake pads,Rapid wearing of the brake pads,,B,
"<p>If the engine coolant leaks into the engine oil, then engine oil</p>",appears milky,becomes foamy,turns black,none of these,,A,
<p>The function of an alternator in an automobile is to</p>,supply electric power,convert mechanical energy into electrical energy,continually recharge the battery,partly convert engine power into electric power,,C,
<p>A clutch is usually designed to transmit maximum torque which is</p>,equal to the maximum engine torque,80 per cent of the maximum engine torque,150 per cent of the maximum engine torque,none of these,,C,
<p>What type of bearing is used for main bearings and connecting rod bearings ?</p>,Ballbearings,Plain bearings,Needle roller bearing,Taper roller bearing,,B,
<p>It is necessary to maintain the valve clearances as they</p>,reduce the resistance to sliding that occurs between the cam and the tappet,allow for lengthening of the valves owing to the heat of combustion,increase the speed at which the valves move up and down,make the crankshaft turn smoothly,,B,
<p>Incorrect steering axis inclination (S.A.I.) causes</p>,tendency to assume toe-out orientation,generation of a braking effect at tight corners,poor recovery of the steering wheel after making a turn,the vehicle to pull to the side of lesser inclination,,C,
"<p>In a unit type body (frameless body) design, the sheet metal parts are welded together, forming a frame work to which outer skin is attached.</p>",True,False,,,,A,
<p>The torque available at the contact between driving wheels and road is known as</p>,brake effort,tractive effort,clutch effort,none of these,,B,
<p>A traction control system (TCS) in automobiles controls the</p>,vibrations on the steering wheel,engine power during acceleration,torque that is transmitted by the tyres to the road surface,stopping distance in case of emergency,,C,
<p>In radial tyres</p>,one ply layer runs diagonally one way and another layer runs diagonally the other way,all plies run parallel to one another and vertical to tyre bead,inner tubes are always used,none of these,,B,
<p>The oil pump is driven by the</p>,camshaft,alternator shaft,crankshaft via drive belt,crankshaft directly,,D,
"<p>In a spark plug, when the temperature of the central electrode exceeds a certain temperature, any carbon that has adhered will be burnt off, and the temperature at which this burning off carbon starts is referred to as the self cleaning temperature.</p>",Correct,Incorrect,,,,A,
<p>The flywheel and the pressure plate bind the clutch disc between them so that the engine and the transmission can be engaged.</p>,Yes,No,,,,A,
<p>The vehicle ride will be comfortable if</p>,unsprung mass is kept minimum,sprang mass is kept minimum,vehicle mass is kept minimum,all of these,,A,
