question,A,B,C,D,E,answer,explanation
"<p>If the valve clearances are excessively large, the problem that can arise is</p>",overheating of the engine,incomplete valve closure,fouling of spark plug by gasoline,none of these,,B,
<p>The power source for a brake booster is</p>,exhaust manifold pressure,electricity,the pressure difference between the atmospheric pressure and the vaccum pressure in the intake manifold,hydraulic pump,,C,
<p>The Diesel engines are also known as</p>,spark ignition (S.I.) engines,compression ignition (C.I.) engines,steam engines,none of these,,B,
<p>The specific gravity of acid in a fully charged battery is generally</p>,1.00,1.28,1.82,2.81,,B,
<p>The brake pedal during ABS operation</p>,is pushed upward forcefully,pedal stroke becomes longer,transmits slight kickback to the driver's foot,all of the above,,C,
"<p>The gear shift lever requires two separate motions to shift gears, and the first movement</p>",moves the synchronizer,selects the synchronizer,meshes the gears,operates the clutch,,B,
<p>Two speed reverse gear arrangement is generally provided in case of</p>,passenger cars,metadors,tractors,trucks,,C,
<p>Wheel base of a vehicle is the</p>,distance between the centres of the front and rear wheels,distance between the centres of the front tyres,distance between the centres of the rear tyres,extreme length of the vehicle,,A,
<p>Which of the following oil is more viscous ?</p>,SAE 30,SAE 40,SAE 70,SAE 80,,D,
<p>Odometer is an instrument used for measurement of</p>,power,fuel consumption,engine r.p.m.,distance,,D,
"<p>A heat treated glass generally used in automobiles bursts into __________ upon cracking,</p>",sharp edged fragments,small particles,,,,B,
<p>The compression ratio in Diesel engines is less than the petrol engine.</p>,Agree,Disagree,,,,B,
"<p>In Diesel engines, the duration between the time of injection and the time of ignition is called</p>",spill cut-off,delay period,injection period,ignition period,,B,
<p>The negative terminal post on the top of a battery is</p>,smaller than the positive terminal post,larger than the positive terminal post,of the same size as the positive terminal post,none of these,,A,
"<p>In a single dry plate clutch, torsional vibrations are absorbed by</p>",coil springs known as torsional springs,cushion springs,central hub,clutch pedal,,A,
"<p>In a four wheel drive (4WD), the number of gear boxes are</p>",1,2,3,4,,B,
<p>How many cells are used in a 12 volt car battery ?</p>,2,4,6,8,,C,
"<p>In an engine, the temperature of the piston will be more at the</p>",crown of the piston,skirt of the piston,piston walls,piston rings,,A,
<p>An over-inflated tyre will wear the tread most near the</p>,edges,corners,centre,none of these,,C,
<p>Cushioning springs in clutch plate reduces</p>,vehicle speed,torsional vibrations,jerky starts,none of these,,C,
"<p>In a four stroke engine for each crankshaft revolution, the camshaft revolves</p>",one-half turn,one turn,two turns,four turns,,A,
"<p>If a tyre is designated as 175/65 R14 82 S, then the aspect ratio for the tyre is</p>",175,65,14,82,,B,
<p>An engine has a clearance volume of 100 cm<sup>3</sup> and a swept volume of 800 cm<sup>3</sup>. The compression ratio is</p>,7:1,8:1,9:1,10:1,,C,
<p>Toe-in ensures parallel rolling of the wheel thus stabilizing steering in addition to preventing both sides slipping and excessive tyre wear.</p>,Correct,Incorrect,,,,A,
<p>The valve tappet clearance is measured by</p>,screw pitch gauge,engineering scale,feeler gauge,vernier caliper,,C,
<p>The basic purpose of tyres is to</p>,grip the road and provide good traction,substitute for springs,act as brake,none of these,,A,
<p>The specific gravity of petrol is about</p>,0.75,0.85,0.95,1.25,,A,
<p>The clutch is located between the transmission and the</p>,engine,rear axle,propeller shaft,differential,,A,
<p>Which one of the following statement correctly describe the construction of a bevel-gear type differential?</p>,The drive shafts are splined to the differential carrier.,The left side gear and the differential carrier rotate in constant unison.,"The differential carrier houses differential pinion gears and side gears, each pinion gear meshes with a different side gear.",The differential carrier houses differential pinion gears and side gears,,D,
<p>The brake warning light warns the driver of</p>,water in the master cylinder,air in the hydraulic system,failure of the primary or secondary circuit of hydraulic system,power-brake failure,,C,
<p>Highest useful compression ratio (HUCR) is the highest compression ratio at which the</p>,engine can run,engine gives maximum output,engine is most efficient,fuel can be used in a test engine without knocking,,D,
"<p>In Diesel engines, during suction stroke, __________ is drawn in the cylinder.</p>",air and fuel,only fuel,only air,none of these,,C,
<p>The formula for Iso-octane is</p>,C<sub>8</sub>H<sub>18</sub>,C<sub>7</sub>H<sub>17</sub>,C<sub>6</sub>H<sub>18</sub>,C<sub>7</sub>H<sub>18</sub>,,A,
<p>The crankshaft of a typical in-line four cylinder engine has __________ balance weights.</p>,12,4,16,8,,D,
<p>The function of a governor in automobiles is to</p>,limit the power,limit the vehicle speed,maintain constant engine speed,maximise the fuel economy,,C, The function of a governor in automobiles is to limit fuel to the engine to a maximum safe speed when unloaded and to maintain a relatively constant speed despite changes in loading. 
<p>A petrol that detonates easily is called</p>,high octane petrol,low octane petrol,unleaded petrol,blended fuel,,B,
"<p>In comparison to frame type construction, the frameless structure construction of automobiles is economical when produced in __________ numbers.</p>",small,large,,,,B,
<p>The minimum parking brake force is generally __________ of gross vehicle mass (GVM).</p>,5%,10%,15%,20%,,D,
<p>Bead wires are made of</p>,steel,copper,zinc,aluminium,,A,
<p>The condition that results in large quantities of HC emission is</p>,high temperature combustion,incomplete combustion,low temperature combustion,high atmospheric temperature combustion,,B,
"<p>A petrol engine of a car develops 125 N-m torque at 2700 r.p.m. The car is driven in second gear having gear ratio of 1.75. The final drive ratio is 4.11. If the overall transmission efficiency is 90%, then the torque available at the driving wheels is</p>",8.091 N-m,80.91 N-m,809.1 N-m,8091 N-m,,C,
<p>The advantage of the fuel injection system over the carburetor system is</p>,improved fuel efficiency,improved emission,improved power output,all of these,,D,
<p>The component of the oil filter that prevents the passage of metal particles and sludge is</p>,element,relief valve,check valve,case,,A,
<p>Which one of the following statements correctly describes the construction of a planetary gear type differential ?</p>,The six planetary pinions rotate in constant mesh with the internal gears.,One drive shaft is splined to the central gear and the other to the planetary gear.,Each planetary pinion gear meshes with both the central gear and the internal gear.,The internal gear is fixed to the planetary gear.,,B,
<p>The engine oil viscosity is defined by __________ ratings.</p>,automatic transmission fluid (ATF),society of automotive engineers (SAE),gross vehicle weight (GVW),American petroleum institute (API),,B,
<p>A maintenance free battery</p>,has lead-antimony plate grid,has lead-calcium plate grid,does not contain acid,does not contain water,,B,
<p>The function of a connecting rod is</p>,to turn the flywheel,to drive the drive plate,to drive the fuel pump,to transmit motion of the piston to the crankshaft,,D,
"<p>In a Diesel engine, the fuel is ignited by</p>",an electric spark,the heat of compression,the hot exhaust,none of these,,B,
<p>The engine oil level should be checked</p>,immediately after the ignition switch is turned off,while the engine is running,a few minutes after the ignition switch is turned off,while the engine is running at high-idle speed,,C,
"<p>In a four cylinder in-line engine, the number of firing strokes in one revolution of the crank is</p>",1,2,3,4,,B,
<p>The advantage of a tubeless tyre over tube type tyre is</p>,slow air leakage,better fuel efficiency,less chances of running flat,all of these,,D,
<p>The Diesel engines as compared to petrol engines require</p>,bigger flywheel,smaller flywheel,same size of flywheel,no flywheel,,A,
"<p>In a forced feed lubrication system, the device used to guard against excessive oil pressure, is known as</p>",release chamber,balancer,relief valve,stop valve,,C,
<p>The seat belt tensioners are built in the</p>,front seats,shoulder anchors,seat belt retractors,seat belt buckles,,C,
"<p>When the vehicle is at rest, the clutch is in engaged position.</p>",Correct,Incorrect,,,,A,
