question,A,B,C,D,E,answer,explanation
<p>The proper exponential form of - 0.0032 in FORTRAN 77 is</p>,-3.2 E - 3,-0.0032,-0.00032 EI,-0.032 E - 1,,A,
<p>Which of the following integer expressions is correct in Pascal?</p>,<code>- A + B + M </code>,<code> A div B * mod C </code>,<code>A - 4.0</code>,<code>A / B + D</code>,,A,
<p>An advantage of memory interlacing is that</p>,a larger memory is obtained,effective speed of memory is increased,cost of memory is reduced,a non-volatile memory is obtained,,B,
<p>The number of operator to accomplish basic arithmetic in Java is</p>,4,5,6,7,,B,
<p>The signals in 8086 are classified into</p>,minimum mode and maximum mode,decrement mode and increment mode,low mode and high mode,none of the above,,A,
"<p>Consider the following statements about constants in 8085 <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The assembler treats 64 H as hexadecimal constant.</li><li style=""padding-top:10px;"">The assembler treats 154 as binary constant.</li><li style=""padding-top:10px;"">The assembler treats 540 as octal constant.</li><li style=""padding-top:10px;"">The assembler treats 138 as decimal constant.</li></ol> Which of the above are correct?</p>","1, 2 and 3 only","1, 3 and 4 only",1 and 3 only,2 and 4 only,,B,
<p>Internally the two distinct units of 8086 are called</p>,bus interface unit and execution unit,command unit and follow unit,master unit and slave unit,memory unit and operation unit,,A,
<p>Which of the following directives in 8085 causes one byte to be reserved in the memory?</p>,D S,D B,D W,E Q U,,D,
<p>The chip 8259 is a</p>,programmable interrupt controller,programmable peripheral interface,I/O device,memory chip,,A,
<p>A computer memory is an ordered sequence of storage cells.</p>,True,False,,,,A,
<p>Which one is true for writing array variable in Pascal?</p>,The general form of an array variable is an integer or a real variable name followed by subscripts enclosed within square brackets. The subscripts are separated by commas,The general form of an array variable must be an integer name followed by subscripts enclosed within square brackets. The subscripts are separated by commas,The subscripts in array variable must be separated by dots,The subscripts must be enclosed within parenthesis,,A,
"<p>In 8085, which of the following is an 8 bit register?</p>",A,SP,PC,both (a) and (b),,A,
<p>What does the instruction <code>'PCHL'</code> in 8085 do?</p>,Load the program counter with contents of register pair H L,Double the contents of register pair H L,Shift the contents of register pair H L by one bit to the right,Shift the contents of register pair H L by one bit to left,,A,
<p>In a multi-processor configuration two coprocessors are connected to host 8086 processor. The instruction sets of the two coprocessors</p>,must be same,may overlap,must be disjoint,must be the same as that of host,,D,
<p>Virus is a</p>,computer hardware problem,an operating system,a computer program,a computer language,,C,
"<p>For converting a decimal number into octal number, the decimal number is expressed as a series of the type</p>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-493-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-493-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-493-3.png""/>",None of the above,,A,
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The sign of a floating point number depends on the sign of mantissa only.</li><li style=""padding-top:10px;"">If the absolute value of a number is less than 1, the sign of exponent is zero or positive.</li><li style=""padding-top:10px;"">With sign bit of mantissa as 0, increasing the exponent from a positive to a more positive value gives a larger floating point number.</li></ol> Which of the above are correct?</p>",All,1 and 2 only,1 and 3 only,2 and 3 only,,C,
"<p><p><b>Assertion (A):</b>  In microprocessor 8085 instruction LXIB, 90 FF H means register B and C are loaded with upper and lower bytes to get B = 90 H and C = FFH.</p><p><b>Reason (R):</b> In 8085 the stack pointer indicates which memory location is to accessed.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>To add 8 bit words, two IC 74181 can be cascaded.</p>",True,False,,,,A,
"<p>The initial contents of <code>ACC and CY</code> in 8085 are <code><ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">CY = 1</li><li style=""padding-top:10px;"">ACC = 10000001</li></ol></code> After instruction <code>RAL</code> is executed once the contents of <code>CY and ACC</code> respectively will be</p>",1 and 00000011,0 and 00000011,1 and 00000001,0 and 00000001,,A,
<p>A microprocessor needs memory chips and input-output chip to form a microcomputer.</p>,True,False,,,,A,
<p>The maximum number of alphabets/digits or special symbots for character constants in C is</p>,1,2,4,8,,A,
<p>Windows automatically starts CD player when one inserts audio CD in CD-ROM drive.</p>,True,False,,,,A,
<p>In 8086 the word address is</p>,the address of the least significant byte,the address of most significant byte,either (a) or (b) depending on the word,neither (a) nor (b),,A,
"<p>The instruction <code>MOV <i>r</i><sub>1</sub>, <i>r</i><sub>2</sub></code> in 8085</p>","causes contents of registers <i>r</i><sub>2</sub> to be moved to <i>r</i>, and uses register addressing",causes contents of registers <i>r</i><sub>1</sub> to be moved to <i>r</i><sub>2</sub> and uses register addressing,causes contents of registers <i>r</i><sub>1</sub> to be moved to <i>r</i><sub>2</sub> and uses register immediate addressing,causes contents of registers <i>r</i><sub>2</sub> to be moved to <i>r</i><sub>1</sub> and uses register immediate addressing,,A,
<p><p><b>Assertion (A):</b>  The variable name 5KING is not valid in Fortran 77.</p><p><b>Reason (R):</b> In Fortran 77 the first character of a variable name must be an alphabet.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,A,
<p>Which 8085 instruction causes exchange of contents of stack pointer with the contents of H L register pair?</p>,<code>XTHL</code>,<code>PCHL</code>,<code>LHLD</code>,<code>MVIA</code>,,A,
<p>The four types of integers in Java are called</p>,"byte, short, int and long","bit, byte, short and long","nibble, byte, short and long","nibble, byte, int and long",,A,
"<p>Consider the following statements about data structures in Pascal <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Arrays and files are types of data structures.</li><li style=""padding-top:10px;"">List structure is not a data structure in Pascal.</li><li style=""padding-top:10px;"">Each element of a binary tree is called a node of the tree.</li></ol> Which of the above are statements correct?</p>",All,"1, and 2 only",1 and 3 only,2 and 3 only,,C,
<p>In the expression 3 * * 2 ** 4 ** 2 in FORTRAN 77 which exponentiation is performed first</p>,4 * * 2,2 * * 4,3 * * 2,all exponentiation are performed together,,A,
<p>Which of the following is not an interrupt line in 8085?</p>,TRAP,RST 5.5,RST 7.5,RST 9.5,,D,
"<p>In 8085, F register has 8 bits.</p>",True,False,,,,A,
<p>The general purpose register code for accumulator in 8085 is</p>,111,000,001,1111,,A,
<p>Which of the following is not an internal DOS command?</p>,VER,COPY,MEM,DATE,,C,
"<p>In 8085, high level on INTR line can be recognised only if</p>",TRAP and RST lines are high,TRAP and RST lines are not high,TRAP line is high but not RST line,RST line is high but not TRAP line,,B,
<p>The word size accessible at a time from the memory subsystem depends on</p>,width of data bus,width of address bus,width of control bus,both (b) and (c),,A,
<p>In windows the middle button of mouse is not used.</p>,True,False,,,,A,
<p>Microprocessor 8088 has</p>,16 bit registers and 16 bit data bus,8 bit registers and 8 bit data bus,8 bit registers and 16 bit data bus,16 bit registers and 8 bit data bus,,D,
"<p><p><b>Assertion (A):</b>  In 8085, P flag is for parity checking.</p><p><b>Reason (R):</b> If the result of ALU has even parity, P flag is set and if the result has odd parity, P flag is reset.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,A,
<p>Which of the following is not a special purpose peripheral?</p>,Programmable DMA controller,Programmable Floppy disc controller,Programmable Hard disc controller,Programmable CRT controller,,A,
<p>Which of the following is a valid variable in FORTRAN 77?</p>,3 A,ALPHA -3,ALPHA 3,BALPHAC,,C,
<p>In Pascal an array declaration provides information to the Pascal processor to enable it to</p>,identify the variable as an array name,reserve memory locations to store all the components of array,check the values computed for subscripts expressions during program execution with the specified lower and upper limits of subscripts,all of the above,,D,
<p>In which of the following instructions of 8085 are the contents of accumulator complemented?</p>,<code>STC</code>,<code>CMC</code>,<code>CMA</code>,<code>RAL</code>,,C,
<p><p><b>Assertion (A):</b>  Microprocessors 8086 and 8088 are very similar in organisation and have identical instruction sets.</p><p><b>Reason (R):</b> If clock speed is same the execution time of 8088 and 8086 are exactly equal.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,C,
<p>In which of the following logical group instructions of 8085 is the addressing mode 'immediate'?</p>,<code>ANA <i>r</i></code>,<code>ANA M</code>,<code>ANI data</code>,<code>XRA <i>r</i></code>,,C,
<p>Which of the following is a valid real constant in FORTRAN 77?</p>,1.2 E 231,3 E - 2,-3.2 E 2.3,1.2 E 23,,A,
<p>Mouse is a very suitable input device for computers.</p>,True,False,,,,A,
<p>Which of the following instructions have only one operand?</p>,Multiply,Add,Shift,Subtract,,C,
<p>Which of the following is not a keyword in C?</p>,int,float,return,capital,,D,
<p>'Rotate instruction' in microprocessor belongs to</p>,data transfer group,arithmetic group,logic group,branch group,,C,
