question,A,B,C,D,E,answer,explanation
"<p>Read the following statements about Java <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It is well suited to design software which works in conjunction with internet.</li><li style=""padding-top:10px;"">It is cross platform language.</li><li style=""padding-top:10px;"">Java is close to programming language C, C ++ etc.</li><li style=""padding-top:10px;"">It is an object oriented.</li></ol> Which of the above are correct?</p>",All,"1, 2 and 3 only","1, 2 and 4 only","2, 3, 4 only",,A, <p>All these statements are correct for Java.</p> 
<p>The expression <code>A<sup>2</sup> + B<sup>2</sup> - 3 AB</code> when written is Pascal should be written as</p>,<code>A * A + B * B - 3 A * B</code>,<code>A * A + B * B - 3.0 A * B </code>,<code>A * A + B * B - 3.0 * A * B</code>,<code>A * A + B * A - 3 * A * B </code>,,C, <p>Operators must be written.</p> 
"<p>Read the following statements about Excel <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It supports many arithmetic functions like SUM, ABS, EXP, INT, MOD etc.</li><li style=""padding-top:10px;"">It supports many trigonometric functions.</li><li style=""padding-top:10px;"">It supports IRR function to calculate interest rate.</li><li style=""padding-top:10px;"">It supports PV function to calculate the present value of future receipts.</li></ol> Which of the above are correct?</p>",All,"1, 2 and 3 only","1, and 2 only",1 only,,A, <p>MS Excel has all these features.</p> 
<p>Which of the following is not a key word in C?</p>,pop,for,if,union,,A, <p>pop is not a keyword in C.</p> 
<p>If PRIN = 200.0 and BINT = 0.0525 the result of expression <code>INCOME = PRIN * (1 + BINT)</code> will be</p>,210,210.5,210.5000,210.50,,A, <p>The result should not contain decimal.</p> 
<p>Which has volatile memory?</p>,Magnetic tape,RAM,Diskette,Hard disk,,B, <p>RAM has volatile memory and therefore the matter has to be saved frequently.</p> 
<p>Consider the following logical IF statement in FORTRAN 77 <code><br/><br/>IF (SALT. EQ. PEPPER) GO TO 11<br/>GOTO 13<br/><br/></code> The above statement using arithmetic IF statement would be</p>,"IF (SALT - PEPPER) 13, 11, 13","IF (SALT - PEPPER) 11, 11, 13","IF (SALT - PEPPER) 11, 13, 13","IF (SALT - PEPPER) 13, 11, 11",,A, <p>The given statement is logical IF statement. The control goes to statement 11 if SALT = PEPPER otherwise control goes to statement 13 Same is true in arithmetic statement (a).</p> 
"<p>Consider the following DO statement in Fortran 77 <code><br/><br/>DO 23 X = 10.0, 2.0<br/><br/></code> The number of DO loop executions in the above statement is</p>",10,2,5,zero,,D, <p>Do loop will not be executed since 0 is less than 10.</p> 
<p>Contents of RAM cannot be altered.</p>,True,False,,,,B, <p>It is read and write memory. Its contents can be changed.</p> 
<p>Which of the following operations will give the result 2 in C?</p>,5 / 2,4.0 / 2,4.0 / 2.0,4 / 2.0,,A," <p>Since both 5 and 2 are integers, the result will be 2.</p> "
<p>Which of the following is not valid integer variable in FORTRAN 77?</p>,<code>MBR </code>,<code>LOTS</code>,<code>JAMMU </code>,<code>BRG</code>,,D," <p>The first letter is not I, J, K, L, M, N.</p> "
<p>Which of the following is not an integer constant?</p>,2.3,156231,10,-256,,A, <p>It has a decimal point.</p> 
"<p><p><b>Assertion (A):</b>  To add 8 bit words, two 1C 74181 can be cascaded.</p><p><b>Reason (R):</b> In 1C 74181 a sum greater than 15 leads to high carry out.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,C, <p>A is correct but R is wrong. Two IC 74181 can be cascaded to add two 8 bit words.</p> 
"<p>Consider the following tasks in a micro computer <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Receiving data and instruction</li><li style=""padding-top:10px;"">Performing arithmetic computation</li><li style=""padding-top:10px;"">Performing logical computations</li><li style=""padding-top:10px;"">Storing data and instructions</li></ol> Which of the above are performed by ALU?</p>",2 only,2 and 3 only,"1, 2 and 3 only",All,,B, <p>ALU performs arithmetic and logical computations.</p> 
