question,A,B,C,D,E,answer,explanation
<p><p><b>Assertion (A):</b>  Microprocessor 8085 has 16 address bus lines and 8 data bus lines.</p><p><b>Reason (R):</b> Address bus in 8085 is unidirectional.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>IC 74181 has two select lines.</p>,True,False,,,,B,
<p>Plug and play is a hardware specification.</p>,True,False,,,,A,
"<p>If the absolute value of a number is less than decimal 1, the sign of exponent in floating point representation is</p>",zero,negative,zero or negative,positive,,C,
<p>Which of the following is not a library string function in C?</p>,strlen,strcpy,strdup,strbig,,D,
<p>An instruction using immediate addressing mode in 8085 is</p>,2 bytes long,3 bytes long,2 or 3 bytes long,1 or 2 or 3 bytes long,,D,
"<p>Consider the following statements about 8085 <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The instruction <code>LDA</code> uses direct addressing mode.</li><li style=""padding-top:10px;"">The instruction <code>MVI</code> uses direct addressing mode.</li><li style=""padding-top:10px;"">The instruction <code>MVI</code> uses immediate addressing mode.</li><li style=""padding-top:10px;"">The instruction <code>LDA</code> uses immediate addressing mode.</li></ol> Which of the above are correct?</p>",1 and 3 only,3 and 4 only,1 and 2 only,2 only,,A,
<p>Consider the directive T : DS105. This directive</p>,directs the assembler to reserve a sequence of 105 bytes in the memory,directs the assembler to reserve a sequence of 105 bits in the memory,directs the assembler to reserve a sequence of consecutive 105 bytes in the memory,directs the assembler to reserve a sequence of consecutive 105 bits in the memory,,C,
<p>Which of the following is not a valid logical expression in Pascal?</p>,A &gt; = B,A &lt; = B,A = &lt; B,A &lt; &gt; B,,C,
<p>Which of the following instructions in 8085 does not belong to data transfer group?</p>,<code>LDA addr</code>,<code>STA addr</code>,<code>XCHG</code>,<code>SUB r</code>,,D,
"<p>As compared to operating current, the current drawn by a memory chip in stand by mode is</p>",about the same,about one-eighth,about 1 / 64,about 1 / 500,,B,
<p>Which characteristic of a memory chip is called ac characteristics?</p>,Power consumption,Bus loading,Timing characteristic,All of the above,,C,
<p>Which of the following alphanumeric characters is not allowed in Basic?</p>,capital letters A to Z,lower case letters a to z,digits 0 to 9,"special characters +, -, *, / etc",,D,
<p>A machine cycle has one clock cycle.</p>,True,False,,,,B,
<p>Which is not a valid dimension statement?</p>,"DIMENSION KAT(10, 20)","DIMENSION BAT (30, 20)","DIMENSION KAT(K, 10)","DIMENSION BAT (10, 5)",,C,
<p>For Disk partitioning th DOS command is</p>,F DISK,H DISK,A DISK,D DISK,,A,
"<p>In 8085 the instruction <code>MOV A, M</code> is an example of</p>",Direct addressing,Immediate addressing,Register addressing,Register indirect addressing,,D,
<p><p><b>Assertion (A):</b>  Magnetic tape can be accessed only sequentially.</p><p><b>Reason (R):</b> Magnetic tape consists of magnetised spots or tracks.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p><p><b>Assertion (A):</b>  Most PCs use static RAM for main memory.</p><p><b>Reason (R):</b> Static RAM is faster than dynamic RAM.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,D,
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A 33 MHz 486 has higher MIPS than 33 MHz 386.</li><li style=""padding-top:10px;"">A 33 MHz 486 has higher MFLOPS than 33 MHz 386 of these statements.</li></ol></p>",Both are true,Both are false,1 is true and 2 is false,1 is false and 2 is true,,A,
