question,A,B,C,D,E,answer,explanation
<p>Which of the following is a valid logical expression in Pascal?</p>,2.5 : = A,(A + B) &lt; &lt; (C + D),A = &lt; B,A &gt; = B,,D,
<p>In a typical microcomputer data transfer takes place between</p>,μP and memory,μP and I/O devices,memory and I/O devices,all of the above,,D,
<p>In 8085 the pins for + 5 V input and ground are</p>,20 and 40 respectively,40 and 20 respectively,1 and 2 respectively,1 and 1 respectively,,B,
<p>The normalised form of 1.81 x 10<sup>-11</sup> is</p>,18.1 x 10<sup>-12</sup>,18.1 x 10<sup>-13</sup>,0.181 x 10<sup>-10</sup>,0.0181 x 10<sup>-9</sup>,,C,
<p>'Burst refresh' in DRAM is also called</p>,Concentrated refresh,Distributed refresh,Hidden refresh,None of the above,,A,
<p>The number of interrupt lines in 8085 is</p>,2,3,4,5,,D,
"<p>If KMT = 100, LITRES = 5.0, PCOST = 28.0 and OPCOST = 70.0 what will be the result of the following FORTRAN 77 program? <code><br/><br/>INTEGER KMT<br/>REAL LITRES, PCOST, OPCOST, PKCOST READ *, KMT, <br/>LITRES, PCOST, OPCOST, PKCOST <br/>KMPL = KMT/LITRES PKCOST = (PCOST * LITRES + OPCOST)/ KMT</code></p>",2,2.10,21,21.0,,B,
<p>A real number consists of</p>,integer part,integer part and fraction part,"integer part, fraction part along with positive or negative sign",none of the above,,C,
<p><p><b>Assertion (A):</b>  Negative values of incremental operator in DO loop are allowed in Fortran 77 but not in earlier versions of Fortran.</p><p><b>Reason (R):</b> Fortran 77 has better array facilities than earlier versions of Fortran.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>In FORTRAN 77 the correct way to write mathematical expression <img src=""/_files/images/electronics-and-communication-engineering/microprocessors/25-224.png""/> is be</p>",A / (B * C) - D ** 2,A / B - C - D ** 2,A / BC - D ** 2,none of the above,,A,
<p>Which of the following is not treated as hexadecimal constant by assembler in 8085?</p>,45 H,6 AFH,234,64 H,,C,
"<p>If CS = <span style=""text-decoration:overline;"">A</span><sub>15</sub> A<sub>14</sub> A<sub>13</sub> is used as chip select logic of a 4 K RAM in 8085 system, its memory range is</p>",3000 H - 3 FFF H,7000 H - 7 FFFH,5000 H - 5 FFF H and 6000 H - 6 FFF H,6000 H - 6 FFF H and 7000 H - 7 FFF H,,D,
"<p>Consider the following part of a C program float a, b <br/><code>b = (a &gt; 4 ? 2 : 9);</code><br/><br/>Assuming that a has values of 3 and 6, the values stored respectively will be</p>",2 and 9,2.0 and 9.0,2.0 and 2.0,9.0 and 2.0,,D,
"<p>Consider the following operation in a computer<ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Multiplication of scalar</li><li style=""padding-top:10px;"">Iversion of matrix</li><li style=""padding-top:10px;"">Printing a line of 120 characters on a printer</li></ol> Which of the above is a subroutine?</p>",1 and 2 only,1 and 3 only,"1, 2 and 3",2 only,,C,
"<p>The addressing mode depicted in the given figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/23-179.png""/></p>",direct,register,register indirect,implicit,,A,
<p>IC 7485 cannot be cascaded.</p>,True,False,,,,B,
<p>An I/O processor controls the flow of information between</p>,cache memory and I/O devices,main memory and I/O devices,two I/O devices,cache and main memory,,B,
<p>MS Access is a DBMS software.</p>,True,False,,,,A,
<p>When .9432 E - 4 is subtracted from .5452 E - 3 in normalized floating point mode</p>,none of the numbers is changed,.9432 E - 4 is changed to .09432 E - 3 and .5452 E - 3 is not changed,.5452 E - 3 is changed to 5.452 E - 4 but .9432 E - 4 is not changed,"both Ihe numbers are changed and their exponents are, made equal to -5",,B,
<p>DS directive in 8085</p>,forces the assembler to reserve one byte of memory,forces the assembler to reserve a specified number of bytes in the memory,forces the assembler to reserve a specified number of consecutive bytes in the memory,none of the above,,C,
"<p>Consider the following program for 8085 <code><br/><br/>MVIA, 00H<br/>LXIH, OEAOFG <br/>V LDAZ ADI 0005H<br/><br/></code> What does this program do?</p>",Adds decimal number 5 to contents of memory,Subtracts decimal number 5 from contents of memory,Subtracts decimal number 15 from contents of memory,Adds decimal number 15 to contents of memory,,A,
<p>The total number of pins in 8085 are</p>,20,30,40,50,,C,
<p>Which of the following statements are executable in FORTRAN 77?</p>,Arithmetic IF,Assign,Call,All of the above,,B,
<p>In static RAM 6264 the number of address inputs are</p>,10,12,13,15,,C,
<p>The function to Calculate the maximum value in the specified field of a database is</p>,DM,DMAX,MAX,DBMAX,,B,
<p>For most static RAM the maximum access time is about</p>,1 <i>ns</i>,10 <i>ns</i>,100 <i> ns</i>,1 μ<i>s</i>,,C,
<p>In direct addressing mode of 8085</p>,All instructions are 3 bytes long,All instructions are 3 bytes long except IN instruction which is 2 bytes long,All instructions are 3 bytes long except IN and OUT instructions which are 2 bytes long,All instructions are 2 bytes long,,C,
<p>Which of the following is a valid real variable in FORTRAN 77?</p>,IT,GURGAON,6 JUNE,SUNDAY,,D,
<p>To realize the full power of 8086 the pin of 8086 connected to ground is</p>,DEN,ALE,INTR,MN / MX,,D,
<p>Which of the following is not an assembler directive in 8085?</p>,D S,D B,D Q,E Q U,,C,
<p>Which of the following expressions is invalid in Fortran?</p>,IA + IB,IB * IC / ID,IA * B,- K * I + J,,C,
<p>Which of the following is correct in FORTRAN 77?</p>,"<code>PARAMETER PMOS = 9.8, NMOS = X</code>","<code>PARAMETER (PMOS = 9.8, NMOS = X)</code>","<code>PARAMETER PMOS = 9.8, NMOS = X</code>","<code>PARAMETER PMOS, NMOS = 9.8, X</code>",,B,
<p>P flag is for parity.</p>,True,False,,,,A,
<p>In 8086 the number of lines on which data and address is multiplexed is</p>,8,16,20,32,,C,
<p>Simpson's rule for numerical integration is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/40-496-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/40-496-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/40-496-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/40-496-4.png""/>",,A,
<p>Which of the following has unique representation of 0?</p>,sign magnitude,1's complement,2's complement,both (b) and (c),,C,
"<p>Consider the following <code><br/><br/>ON GO TO</code> statement in Basic <br/><code>35 ON A GO TO 15, 25, 35 <br/></code><br/> If the value of <i>A</i> is 2.6, the control will transfer to</p>",line 15,line 25,line 35,"any of the lines 15 or 25, 35",,B,
<p>Which DOS command improves memory usage?</p>,MEM MAKER,MOVE,MEM IM,None on the above,,A,
<p>The chip 8254 is a 40 pin programmable interval timer. The number of its independent 16 bit counters is</p>,2,3,4,5,,D,
"<p>A PC can be upgraded to a multimedia PC by adding CD ROM drive, sound card etc.</p>",True,False,,,,A,
