question,A,B,C,D,E,answer,explanation
<p><p><b>Assertion (A):</b>  A PROM is a user programmable ROM.</p><p><b>Reason (R):</b> After programming PROM behaves like ROM.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>The operator precedence in Java is in the order</p>,"arithmetic operation, increment and decrement operation, comprassion, logical operation and assignment operation.","increment and decrement operation, arithmetic operation, comparison, logical operation and assignment operation.","comparison, arithmetic operation, increment and decrement operation, logical operation and assignment operation.","arithmetic operation, comparison operation, increment and decrement operation, logical operation and assignment operation.",,B,
<p>A colour monitor usign 16 bits at a resolution of 600 x 400 pixels needs a memory of</p>,240000 B,9600 B,6400 B,480000 B,,D,
"<p>Read the following statements as regards register pairs in microprocessor 8085<ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">B represents B, C pair with B as high order register and C as low order register.</li><li style=""padding-top:10px;"">D represents D, E pair with D as high order register and E as low order register.</li><li style=""padding-top:10px;"">H represents H, L pair with H as high order register and L as low order register.</li></ol> Which of the above statements are correct?</p>",All,1 and 3,1 and 2,2 and 3 only,,A,
<p>The 8085 instruction <code>'PUSH PSW'</code> belongs to the group</p>,data transfer,arithmetic,logic,none of the above,,D,
<p><p><b>Assertion (A):</b>  In C it is possible for functions to call themselves.</p><p><b>Reason (R):</b> C makes use of 'Pointers'.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>In IC 74181 a sum greater than 15 leads to low carry out.</p>,True,False,,,,A,
"<p><p><b>Assertion (A):</b>  In 8085, the zero flag is set when ALU operation results in 0. If the result is not 0, this flag is reset.</p><p><b>Reason (R):</b> In 8085 the S flag is set when the contents of accumulator become negative during execution of an instruction.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,D,
<p>The operations which occur most frequently in a computer are</p>,fetch,execute,both (a) and (b),none of the above,,C,
"<p>The addressing mode depicted in the given figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/24-191.png""/></p>",direct,register,register indirect,immediate,,C,
<p>The number of primitive string operations in 8086 is</p>,3,4,5,6,,C,
"<p>If the resolution of a printer is 1200 dpi, the number of dots per square inch is</p>",1200,800,1200 x 1200,either (a) or (b),,C,
<p>Which of these are 16 bit microprocessors?</p>,80286,MC68000,Z8000,All,,D,
