question,A,B,C,D,E,answer,explanation
<p>The number of computer viruses is some thousands.</p>,True,False,,,,A,
"<p>If 8085 is required to add two 32 bit numbers, the numbers of addition sequences is</p>",1,2,4,8,,C,
<p>Incompatibility between memory and I/O device may be due to</p>,timing according to which data transfer is to take place,electrical characteristics of the two devices,format of data transfer,all of the above,,D,
<p>When the mains supply is switched off the contents of primary computer memory are lost.</p>,True,False,,,,A,
<p>8255 A is a</p>,programmable peripheral interface,I/O device,memory chip,none of the above,,A,
<p>The length of character constant P . b b . E . b C . is</p>,9,6,10,7,,C,
<p>ALE stands for</p>,Address Latch Enable,Accumulator Latch Enter,Address Latch Enter,Accumulator Latch Enable,,A,
<p>The standard FORTRAN exponential form of decimal number 0.0000437 is</p>,4.37 E - 5,4.37 E - 4,43.7 E - 5,43.7 E - 4,,A,
<p>In FORTRAN 77 FLOAT (-28) gives the value</p>,28,-28,-28.0,none of the above,,C,
"<p>Fortran 77, C and Pascal are high level languages.</p>",True,False,,,,A,
"<p>Consider the following statement in FORTRAN 77 <code><br/><br/>READ*, [X(I) Y(I) = 0, 3, 2]<br/><br/></code> Which of the following is correct?</p>","2 values could be read and stored asX (0), Y (0)","4 values could be read and stored asX (0), Y (0), X (2), Y (2)","6 values could be read and stored as X (0), Y (0), Y (2), X (3), Y (3)",none of the above,,B,
<p>The number 0.004854 in normalized floating point mode is represented as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-486-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-486-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-486-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/39-486-4.png""/>",,A,
"<p><p><b>Assertion (A):</b>  If contents of F register in 8085 are 01010001, it means S = 0, Z = 1, AC= 1, P = 0 and CY = 1.</p><p><b>Reason (R):</b> When an instruction is called from memory, the op. code of instruction is stored in instruction register.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>The combination of registers in 8085 is B-C, D-E, H-L only.</p>",True,False,,,,A,
<p>An instruction used to set cany flag in a computer is classified as</p>,data transfer,arithmetic,logical,program control,,B,
<p>In FORTRAN 77 the total number of characters in a variable can be a maximum of</p>,6,1,8,9,,A,
<p>The relational operators allowed in Pascal are</p>,"=, &gt;, &lt;, &gt; =, &lt; = and &lt; &gt;","=, &gt;, &lt; and &lt; &gt;","=, &gt;, &lt;, &gt; = and &lt; =","&gt;, &lt;, &gt; = and &lt; =",,A,
"<p>In 8086 the instruction ADD AL, CH means</p>",the two 8 bit values in registers AL and CH are added and result placed in register AL,the two 8 bit values in registers AL and CH are added and result placed in register CH,the two 16 bit values in registers AL and CH are added and result placed in register AL,the two 16 bit values in registers AL and CH are added and result placed in register CH,,A,
<p>Almost all high level languages have provision for logical operations.</p>,True,False,,,,A,
<p>In which of the following 8085 instructions is the <code>CY</code> flag complemented?</p>,<code>CMA</code>,<code>CMC</code>,<code>STC</code>,<code>RRC</code>,,B,
"<p>Consider the following mnemonics <code><ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">MOV</li><li style=""padding-top:10px;"">ADD</li><li style=""padding-top:10px;"">LXI</li></ol></code> Which of the above are valid for 8085?</p>",1 and 2 only,1 only,"1, 2 and 3",1 and 3 only,,C,
"<p>A memory system has a 9 chips. If MTBF of one clip is 900 000 hours, MTBF of complete memory system is</p>",900000 hours,100000 hours,8100000 hours,1800000 hours,,B,
<p>If X = - 285.56 and the Pascal write statement used is <code>WRITE (X : 8).</code> Then the print out will appear as</p>,-285.560,-2.85 E + 02,-2.85560 E + 02,-2.8 E + 02,,D,
<p>For the Infix expression A + B - C + D the Postfix notation is</p>,AB + C - D +,+ AB - C + D,AB - C + D,None of the above,,A,
<p>Which of the following is also called handshaking programmed data transfer?</p>,Synchronous transfer,Asynchronous transfer,Interrupt driver transfer,Both (a) and (c),,B,
<p>Which of the following is invalid in Basic?</p>,A ** B - C,5.2 ** 4.3,5.2 ** (- 4.3),(- 5.2) ** (4.3),,D,
<p>An arithmetic statement in C must be</p>,integer mode arithmetic statement,real mode arithmetic statement,mixed mode arithmetic statement,any of the above,,D,
<p>In EPROM integrated dose is defined as</p>,UV light intensity x exposure time in seconds,UV light intensity / exposure time in seconds,exposure time in seconds / UV light intensity,none of the above,,A,
<p>MS outlook is a software for DTP.</p>,True,False,,,,B,
<p>In 8086 a word OA 50 FH is stored in 02 and 03 memory locations. Then</p>,OFH is stored at location 02 and 0 A 5 at location 03 and address of word is 02,OFH is stored at location 03 and 0 A 5 at location 02 and address of word in 02,OFH is stored at location 02 and 0 A 5 at location 03 and address of word is 03,OFH is stored at location 03 and 0 A 5 at location 02 and address of word is 03,,A,
<p>Cache memory size is about</p>,a few KB,about 500 KB,about 1 MB,about 50 MB,,A,
"<p>In the words Kb or Mb used describing memory capacity, the letter <i>b</i> denotes</p>",bits,bytes,bits or bytes depending on type of memory,bubbles,,A,
<p>In Fortran 77 negation is a unary operation.</p>,True,False,,,,A,
<p>Power Point is a presentation software.</p>,True,False,,,,A,
<p>In the expression <i>a</i> = 5 * 2 / 3.2 + 4 / 8 - 2 + 5 / 9 which operation will have the first priority in C?</p>,5*2,2 / 3.2,5 * 2 / 3.2,4 / 8,,A,
<p>MS Excel is an application software for financial planning.</p>,True,False,,,,A,
"<p><p><b>Assertion (A):</b>  C has 32 keywords like auto, if, do, float etc.</p><p><b>Reason (R):</b> Key words can not be used as variable names in C.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A total of about 1 million bytes can be directly accessed by 8086 microprocessor.</li><li style=""padding-top:10px;"">The 8086 has thirteen 16 bit registers.</li><li style=""padding-top:10px;"">The 8086 has eight flags.</li><li style=""padding-top:10px;"">Compared to 8086, the 80286 provides a higher degree of memory protection.</li></ol> Of the above statements</p>","1, 2, 3, 4 are correct","1, 3, 4 are correct","1, 2, 4 are correct","1, 2, 3 are correct",,C,
"<p>Consider the following program for 8085<code><br/><br/>MVIA, 00H<br/>MVIA, 53H <br/>CMA<br/><br/></code>The contents of accumulator at the end of this program will be</p>",<code>OACH</code>,<code>53 H</code>,<code>OADH</code>,<code>54 H</code>,,A,
<p>In Pascal the repeat and while loops will terminate</p>,only when the logical expression controlling the loop becomes true for both repeat and while loops,only when the logical expression controlling the loop becomes false for both repeat and while loops,only when the logical expression controlling the loop becomes true for repeat loop and false for while loop,only when the logical expression controlling the loop becomes false for repeat loop and true for while loop,,C,
<p>Which of the following statements is non-executable in FORTRAN 77?</p>,DO,ASSIGN,END,DIMENSION,,D,
<p>In C the range of real constants expressed in exponential form is</p>,-2.3 <i>e</i> 37 to + 2.3 <i>e</i> 37,-3.4 <i>e</i> 38 to + 3.4 <i>e</i> 38,-3.4 <i>e</i> 37 to + 3.4 <i>e</i> 37,-2.3 <i>e</i> 38 to + 2.3 <i>e</i> 38,,C,
<p><p><b>Assertion (A):</b>  The 'do while' statement is used less frequently than the 'while' statement.</p><p><b>Reason (R):</b> For most applications it is more natural to test for continuation of loop at the beginning than at the end of loop.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,A,
<p>Consider the following in C <code><br/><br/>int <i>k</i> <br/>float <i>a</i> ;<br/><i>k</i> = 4.2<br/><i>a</i> = 300</code><br/><br/> The values stored in computer memory for <i>k</i> and <i>a</i> are respectively</p>,4.2 and 300,4 and 300 respectively,4.2 and 300.00 respectively,4 and 300.00 respectively,,D,
<p>The statement <code>IMPLICIT INTEGER (A - F)</code> in FORTRAN identifies</p>,"all variable names which begin with A, B, C, D, E or F as being of integer type","all character names which begin with A, B, C, D, E, or F as being of integer type",all variable names which begin with A and have 6 characters,none of the above,,A,
"<p><p><b>Assertion (A):</b>  C has a large number of library functions classified as arithmetic functions, data conversion functions, character classified functions, string manipulation functions, searching and sorting functions etc.</p><p><b>Reason (R):</b> 8086 uses a segment : offset addressing scheme.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>The box on the external left of the title bar of menu is called control menu box.</p>,True,False,,,,A,
<p>The maximum number of characters for variable names in C is</p>,4,8,12,16,,B,
<p>An 8 bit wide 4 word sequential memory has</p>,Eight 4 bit shift registers,Eight 8 bit shift registers,Four 8 bit shift registers,Foui 4 bit shift registers,,A,
