question,A,B,C,D,E,answer,explanation
<p>Which of the following is a valid integer constant?</p>,127,127.0,127,125 + 3,,A,
<p>The five flags in 8085 are designated as</p>,"Z, CY, S, P and AC","D, Z, S, P, AC","Z, C, S, P, AC","Z, CY, S, D, AC",,A,
<p>It is desired to evaluate the expression <code><br/>F = B cos Y + C cos<sup>2</sup> Y + A cos<sup>3</sup> Y<br/></code> The Pascal equivalent to ensure minimum computer time should be written as</p>,<code>F = B * COS (Y) + C * SQR (COS (Y) + A * COS (Y) * COS (Y) * COS (Y)</code>,<code>F = B * COS (Y) + C * SQR [COS (Y)] + A * COS (Y) * SQR [COS (Y)]</code>,<code>F = B * COS (Y) + C * COS(Y) * COS (Y) + A * COS (Y) * COS (Y) * COS (Y)</code>,<code> X = COS(Y)<br/>Z = SQR (X)<br/>F = B * X + C * Z + A * X * Z</code>,,D,
<p>In 8085 which addressing mode is also called inherent addressing?</p>,Direct,Register,Implicit,Immediate,,C,
"<p>Consider the following statements for 8085 <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The most significant 8 bits of address are transmitted on the 8 lines on which data is transmitted.</li><li style=""padding-top:10px;"">Eight pins are dedicated to transmit the most significant 8 bits of memory address.</li><li style=""padding-top:10px;"">The least significant 8 bits of address are transmitted on the lines on which data is transmitted.</li><li style=""padding-top:10px;"">The data and leass significant 8 bits are transmitted at different points in time.</li></ol>Which of the above statements are correct?</p>",all,"1, 2 and 3 only","2, 3 and 4 only","1, 3 and 4 only",,C,
<p>It is possible to copy a file in the same directory.</p>,True,False,,,,A,
<p>In Java which operator can be used even if there is a single operand</p>,+,-,*,%,,B,
"<p>Consider the series<br/><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/28-299.png""/> <br/>Which of the following is true for above series?</p>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/28-299-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/28-299-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/28-299-3.png""/>",None of these,,A,
"<p>Read the following statements about 8085 <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;""><code>RAL</code> instruction rotates <code>ACC</code> contents left by 1 bit</li><li style=""padding-top:10px;"">When <code>RAL</code> instruction is executed once the binary number gets doubled</li><li style=""padding-top:10px;""><code>STC</code> means set <code>CY</code> to 1</li></ol> Which of the above statements are correct?</p>",1 and 2 only,"1, 2 and 3 only","1, 2 and 4 only",1 and 4 only,,B,
<p>In a computer the data transfer between hard disk and CPU is nearly the same as that between diskette and CPU.</p>,True,False,,,,B,
