question,A,B,C,D,E,answer,explanation
<p>In a microprocessor the clock signal</p>,is always generated internally,is always supplied externally,may be generated internally or supplied externally,is mostly supplied externally,,C,
<p>Which of the following identifiers is invalid in Pascal?</p>,<code> BETA</code>,<code>MAX 40</code>,<code>2ND</code>,<code>A MAX</code>,,C,
<p>Computers 'Basic input output system' is generally stored in RAM chips.</p>,True,False,,,,A,
<p>In 8085</p>,the upper 8 address bits appear on address bus and lower 8 bits on address data bus,the lower 8 address bits appear on address bus and the upper 8 address bits appear on address data bus,either upper or lower 8 address bits may appear at address bus,either upper or lower 8 address bits may appear at address data bus,,A,
"<p>If <i>x </i>= 0.1396 radians, the values of 1 - cos <i>x</i> and 2 sin<sup>2</sup> (x / 2) using floating point arithmetic with a 4 digit mantissa are respectively</p>",.1000 E - 1 each,.9727 E - 2 each,.1000 E - 1 and .9727 E - 2 respectively,.9727 E - 2 and .1000 E - 1 respectively,,C,
<p>The number of select lines in <code>ALU 1C 74181</code> is</p>,2,4,8,16,,B,
<p>In a computer MPU is the centre of all operations and control.</p>,True,False,,,,A,
<p><p><b>Assertion (A):</b>  A RAM with access time of the order of hundreds of nano seconds is suitable for a control memory.</p><p><b>Reason (R):</b> The time taken to execute an operation in a microcomputer is critically de pendent on access time of control memory.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,C,
<p>The statement ! (<i>b</i> &lt; 5) in C means</p>,<i>b</i> = 5,<i>b</i> &gt; 5,<i>b</i> &gt; = 5,none of the above,,C,
<p>Which data transfer scheme is used when large block of data is to be transferred in a computer?</p>,DMA,Programmed data transfer,Either (a) or (b),Neither (a) nor (b),,A,
<p>Fortran 77 has six arithmetic operators.</p>,True,False,,,,A,
<p>Windows can run several tasks simultaneously.</p>,True,False,,,,A,
<p><p><b>Assertion (A):</b>  1C 74181 is an ALU in TTL 7400 series.</p><p><b>Reason (R):</b> 1C 74181 can accept two 4 bit words and can perform any one of possible 16 arithmetic or logic operations.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>The instruction <code>LDA 20</code> in 8085 means</p>,contents of memory location 20 are fetched into the accumulator,the value 20 is fetched into accumulator,either (a) or (b),neither (a) nor (b),,A,
<p>Intel 2004 is a</p>,ROM,Volatile RAM,NV RAM,None of the above,,C,
<p>The programming language in which Excel records the macro code is</p>,basic,visual basic,video basic,basic 2,,B,
<p>The 8085 instruction LDA FFA is an example of</p>,Direct addressing,Register addressing,Immediate addressing,Register indirect addressing,,A,
<p>A m<i>P </i>contains 2 MHz crystal. The time taken to complete instructions with 1000 cycles is</p>,2 <i>ms</i>,1 <i>ms</i>,2 <i>nx</i>,1<i> ns </i>,,B,
"<p>Consider the following statement in Fortran 77 <code><br/><br/>READ *, (X.(I), I = 0, 4)<br/><br/></code> Which of the following is correct?</p>","3 values would be read and stored in X (0), X (1), X (2)","4 values would be read and stored in X (0), X (1), X (2), X (3)","5 values would be read and stored in X (0), X (1), X (2), (3)(4)","5 values would be read and stored in X (I), X (2), X (3), X (4), X (5)",,C,
<p>Which of the following methods does not cause any reduction in instruction length?</p>,Using program counter,Common source and destination address,Implicit source and destination address,Machine language programming,,D,
"<p>If N = 196, the result of the following program will be <code><br/><br/>INTEGER N, DIGIT 1, DIGIT 2, DIGIT 3, <br/>SUM<br/>READ*, N<br/>DIGIT 1 = N - (N / 10)* 10 N = N / 10<br/>DIGIT 2 = N - (N / 10)* 10 N = N / 10<br/>DIGIT 3 = N - (N / 10)* 10<br/>SUM = DIGIT 1 + DIGIT 2 + DIGIT 3</code></p>",196,16,16.0,196.0,,B,
"<p>In 8085, which of the following registers cannot be paired?</p>",A,E,C,both (b) and (c),,A,
<p>If the mantissa has a sign bit of 0 and the exponent is changed from a negative number to a more positive number the result is</p>,a positive number and closer to zero,a positive number and away from zero,a negative number,a negative number and closer to zero,,A,
<p>Which of the following statements in FORTRAN 77 is non executable?</p>,GO TO,RETURN,STOP,PARAMETER,,D,
<p>A blank EPROM has</p>,all bits set to logical 0,all bits set to logical 1,half the total number of bits set to 0 and remaining half to logical 1,either (a) or (b),,B,
<p>In 8085 the term 'absolute addressing' means</p>,Direct addressing,Immediate addressing,Register addressing,Register indirect addressing,,A,
<p>The range of floating point numbers in Java is</p>,1.4 E - 45 to 3.4 E + 38,3.4 E - 45 to 1.4 E + 38,1.4 E - 38 to 3.4 E + 45,3.4 E - 38 to 1.4 E + 45,,A,
<p>What does the operator ( ) mean in C?</p>,Function expression,Array expression,Structure operator,Increment / Decrement,,A,
<p>Which of the following is a valid FORTRAN assignment statement?</p>,10 = N,X + 2.1 = 5.6,A = B,A = B = 1,,C,
<p>Which of the following statements is written in plain English in 8085?</p>,Data definition,Assignment,Conditional,Repetitive,,A,
<p>In 8085 microprocessor with memory mapped I/O which of the following is true?</p>,I/O devices have 16 bit addresses,I/O devices are accessed during IN and OUT instructions,There can be a maximum of 256 input and 256 output devices,Logic operations can not be performed,,A,
<p>Which of the following 8 bit microprocessors has maximum addressing modes?</p>,8085,Z 80,6800,6809,,D,
<p>Java variables are called</p>,"instance variables, class variables and global variables","instance variables, class variables and local variables","instance variables, class variables and sector variables","global variables, class variables and local variables",,B,
<p>Consider the real expression in Pascal language <code><br/><br/>((X * Z) + Y/(M * P + K) + X)/Y + Y)<br/><br/></code> What would be evaluated first</p>,<code>XZ and MP + K</code>,<code>XZ + Y and MP + K</code>,<code>(MP + K + X) / Y </code>,<code>Y / (MP + K)</code>,,A,
<p>8 bit data can have 256 numbers ranging from 00000000 to 111 111 11.</p>,True,False,,,,A,
"<p><p><b>Assertion (A):</b>  In C arithmetic operations are pemiissible on ints, floats and chars.</p><p><b>Reason (R):</b> In C every arithmetic operator must be written explicitly.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>Which of the following is a valid expression in FORTRAN 77?</p>,B * - 3,B * (- 3),B * * - 3,B * + 2,,B,
"<p>In setting up 'for' loops in Pascal, the initial and final values of index may be</p>",integer constants,Integer constants or integer variable names,integer constants or integer variable names or integer expressions,integer constants or real constants,,C,
"<p>In a 3 byte instruction of 8085, the first, second and third byte respectively indicate</p>","operation code, low order byte of data/address and high order byte of data / address","low order byte of data / address, high order byte of data / address and operation code","high order byte of data / address, low order byte of data / address and operation code","high order byte of data / address, operation code and low order byte of data / address",,A,
<p>In 8085 stack pointer is</p>,4 bit register,8 bit register,16 bit register,32 bit register,,C,
<p>Microprocessor 386SX is a 16/32 bit microprocessor. It has</p>,16 bit registers and 32 bit data bus,16 bit registers and 16 bit data bus,32 bit registers and 32 bit data bus,32 bit register and 16 bit data bus,,D,
<p><p><b>Assertion (A):</b>  An instruction cycle consists of fetch and execute cycles.</p><p><b>Reason (R):</b> Fetch cycle has one machine cycle but execute cycle may have one or more machine cycles depending on length of instruction.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,B,
<p>Instruction cycle is the time required to complete the execution of an instruction.</p>,True,False,,,,A,
<p>The contents of F register in 8085 are 01010001. This means</p>,"S = 0, Z = 1, AC = 1, P = 0 and CY=1","S = 1, Z = 1, AC = 1, P = 0 and CY=1","S = 1, Z = 0, AC = 1, P = 0 and CY=1","S = 1, Z = 0, AC = 0, P = 0 and CY=1",,A,
<p>In a microprocessor</p>,one machine cycle is equal to one clock cycle,one clock cycle consists of several machine cycles,one machine cycle consists of several clock cycles,one machine cycle is always less than one clock cycle,,C,
