question,A,B,C,D,E,answer,explanation
<p>The primary function of the bias circuit is to</p>,hold the circuit stable at <i>V</i><sub>CC</sub>,hold the circuit stable at <i>v<sub>in</sub></i>,ensure proper gain is achieved,hold the circuit stable at the designed Q-point,,D,
<p>A JFET</p>,is a current-controlled device,has a low input resistance,is a voltage-controlled device,is always forward-biased,,C,
<p>A source follower has a voltage gain (<i>A<sub>v</sub></i>) of</p>,<i>A<sub>V</sub></i> = <i>g<sub>m</sub>R<sub>d</sub></i>,<i>A<sub>V</sub></i> = <i>g<sub>m</sub>R</i><sub>S</sub>,"<img alt=""mca17_1012c1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1012c1.gif""/>","<img alt=""mca17_1012d1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1012d1.gif""/>",,C,
<p>The capacitor that produces an ac ground is called a(n)</p>,coupling capacitor,dc open,bypass capacitor,ac open,,C,
<p>The formula used to calculate the approximate ac resistance of the base-emitter diode (<i>r<sub>e</sub></i>) is</p>,"<img alt=""mca17_1005a1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1005a1.gif""/>","<i>r<sub>e</sub></i> <img align=""absmiddle"" alt=""almostequal.jpg"" src=""/_files/images/basic-electronics/basics/almostequal.jpg""/> 25 mV × <i>I</i><sub>C</sub>","<img alt=""mca17_1005c1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1005c1.gif""/>","<img alt=""mca17_1005d1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1005d1.gif""/>",,A,
"<p>The signal voltage gain of an amplifier, <i>A<sub>v</sub></i>, is defined as:</p>","<img alt=""mca17_1003a1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1003a1.gif""/>",<i>A<sub>v</sub></i> = <i>I</i><sub>C</sub> × <i>R</i><sub>C</sub>,"<img alt=""mca17_1003c1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1003c1.gif""/>","<img alt=""mca17_1003d1.gif"" src=""/_files/images/basic-electronics/basics/mca17_1003d1.gif""/>",,C,
"<p>In a class B push-pull amplifier, the transistors are biased slightly above cutoff to avoid</p>",crossover distortion,unusually high efficiency,negative feedback,a low input impedance,,A,
<p>The depletion-mode MOSFET</p>,can operate with only positive gate voltages,can operate with only negative gate voltages,cannot operate in the ohmic region,can operate with positive as well as negative gate voltages,,D,
<p>Three different points are shown on a dc load line. The upper point represents the</p>,minimum current gain,quiescent point,saturation point,cutoff point,,C,
<p>Which of the following conditions are needed to properly bias an <i>npn</i> transistor amplifier?</p>,Forward bias the base/emitter junction and reverse bias the base/collector junction.,Forward bias the collector/base junction and reverse bias the emitter/base junction.,Apply a positive voltage on the <i>n</i>-type material and a negative voltage on the <i>p</i>-type material.,Apply a large voltage on the base.,,A,
<p>Often a common-collector will be the last stage before the load; the main function of this stage is to</p>,provide voltage gain,buffer the voltage amplifiers from the low-resistance load,provide phase inversion,provide a high-frequency path to improve the frequency response,,B,
"<p>In order for feedback oscillators to have any practical value, the gain has to be</p>",&lt; 1,self-adjusting,stabilized,nonlinear,,B,
"<p>To get a negative gate-source voltage in a self-biased JFET circuit, you must use a</p>",voltage divider,source resistor,ground,negative gate supply voltage,,B,
