question,A,B,C,D,E,answer,explanation
<p>Which one of the following is also called 'rat race'?</p>,E plane tee,H plane tee,Magic tee,Hybrid ring,,D,
<p>Radar principle is used in</p>,detection of aircraft,burglar alarms,garage door openers,all of the above,,D,
<p>In an optional fiber the refractive index of cladding material should be</p>,nearly 1,very low,less than that of core,more than that of core,,C,
"<p>In microwave circuits, a mode transducer is used to</p>",change mode of wave transmission,change direction of wave transmission,change polarization of wave transmission,"change mode, direction or polarization wave transmission",,D,
<p>A waveguide connected to a circularly polarized antenna must be able to efficiently propagate both vertically and horizontally polarised waves.</p>,True,False,,,,A,
<p>Which of the following is not used as a microwave mixer or detector?</p>,PIN diode,Crystal diode,Schottky barrier diode,Backward diode,,A,
<p>Integrated fin line can be utilized as a medium for constructing millimeter wave circuits.</p>,True,False,,,,A,
<p>The secondary constants of a line are</p>,Z<sub>0</sub>,Z<sub>0</sub> and γ,"Z<sub>0</sub>, γ and wave velocity","Z<sub>0</sub>, γ and L",,B,
<p>In a loss less line the propagation constant is equal to</p>,"<i>j</i>ω<span class=""root"">LC</span>","<span class=""root"">LC</span>",<i>j</i>ωLC,LC,,A,
"<p>A rectangular wave guide has two stubs each of length <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-79.png""/> connected at the source end. The stubs are circuited. Then the stubs present</p>",an infinite impedance in shunt with line,an infinite impedance in series with line,a zero impedance in shunt with line,a finite impedance in shunt with line,,A,
<p>Slotted line can be used for measurement of high frequencies</p>,True,False,,,,A,
<p>In a waveguide the dielectric region is generally</p>,air,magnetic material,brass,mica,,A,
"<p>In directional coupler of the given figure, the terms |<i>S</i><sub>14</sub>| and |<i>S</i><sub>23</sub>| of scattering matrix are nearly<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/20-248.png""/></p>",1 each,0.5 each,0.1 each,1 and 0.5 respectively,,A,
"<p>A line is excited by a 100 V, 200 ohm source and is terminated by 100 Ω resistance. If the voltage on line reaches steady value in 80<i> ns</i>, the natural resonant frequency is</p>",100 MHz,50 MHz,12.5 MHz,6.25 MHz,,C,
"<p>A line of length slightly longer than <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/10-43.png""/> and open circuited at far end behaves as</p>",inductance L,capacitance C,L and C in series,L and C in parallel,,A,
<p>The most commonly used magnetron is</p>,cylindrical,parallel plate,inclined plate,flat plate,,A,
<p>The effect of earth's magnetic field on radiowaves is minimum when</p>,the electric field lines of radio waves and flux line of earth's magnetic field are in the same direction,the electric field lines of radio waves and flux lines of earth's magnetic field are at right angles,the electric field lines of radiowaves and flux lines of earth's magnetic field oppose each other,both (b) and (c),,A,
<p>A line of characteristic impedance Z<sub>0</sub> branches into two line each with characteristic impedance Z<sub>0</sub>. The refracted voltage is</p>,zero,infinite,equal to incident voltage,two third of incident voltage,,D,
<p>The resistance values of a PIN diode under positive bias and negative bias respectively are about</p>,a few ohms and a kilo ohms,about 100 ohms and 1000 ohms,about 0.1 ohm and 100 ohms,about 1000 ohms and 10000 ohms,,A,
<p>A PIN diode can be used</p>,as a shunt mounted switch,as a series mounted switch,both as series or shunt mounted switch,non of the above,,C,
<p>What is the numerical aperture an optical fiber when critical angle is 30°?</p>,0.5,0.704,0.866,0.2,,A,
"<p>A line of length slightly less than <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/10-42.png""/> and short circuited at far end behaves as</p>",inductance L,capacitance C,L and C in series,L and C in parallel,,A,
<p>In TE<sub>10</sub> mode of rectangular waveguide</p>,there is one half sine wave variation along <i>x</i> direction and one along <i>y</i> direction,there is one half sine wave variation along <i>y</i> direction and one along <i>x</i> direction,there is one full sine wave variation along <i>x</i> direction and one along <i>y</i> direction,none of the above,,A,
<p>Reflection from the object to be measured is significant only when the wavelength is</p>,much bigger than the size of object,much smaller than the size of object,almost of the size of object,either (a) or (c),,B,
<p>The speed at which axial electric field due to signal advances in a TWT is equal to</p>,speed of light,(speed of light) (helix pitch helix circumference),(speed of light) (helix circumference helix pitch),(speed of light) (helix pitch) (helix circumference),,B,
"<p>To ensure that only dominant TE<sub>10</sub> mode propagates in a rectangular waveguide, the operating frequency</p>",must be more than cutoff frequency of <i>TE</i><sub>10</sub> mode,must be less than cutoff frequency of <i>TE</i><sub>20</sub> mode,must be more than cutoff frequency of <i>TE</i><sub>10</sub> mode and less than cutoff frequency of TE<sub>20</sub> mode,must be less than cutoff frequency of <i>TE</i><sub>10</sub> mode,,C,
"<p>In a microwave power measurement using bolometer, the principle of working is variation of</p>",inductance with absorption of power,resistance with absorption of power,capacitance with absorption of power,cavity dimension with heat generated by power,,B,
<p>Z<sub>0</sub> = (Z<sub>oc</sub> Z<sub>sc</sub>)<sup>0.5</sup></p>,True,False,,,,A,
<p>A microwave junction is matched at all ports if the S matrix</p>,has all diagonal elements zero,has all diagonal elements equal but not zero,has all diagonal elements complex,is Hermitian,,A,
