question,A,B,C,D,E,answer,explanation
"<p>In 8 cavity magnetron the <span class=""symbol"">p</span> mode corresponds to a total phase shift equal to</p>","± 8 <span class=""symbol"">p</span> radians around the periphery","± 4 <span class=""symbol"">p</span> radians around the periphery","± 2 <span class=""symbol"">p</span> radians around the periphery","± 16 <span class=""symbol"">p</span> radians around the periphery",,A,
<p>Satellite communication systems use the frequency band</p>,10 to 20 MHz,50 to 70 MHz,3 to 6 GHz,100 to 120 GHz,,C,
<p>The characteristic impedance of a cable is about</p>,300 Ω,50 Ω,5 Ω,2 Ω,,B,
"<p>The Q factor of a waveguide resonator is given by (ω<sub>0</sub> is resonant frequency, U is energy storage and W<sub>L</sub> is the power loss)</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/13-121-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/13-121-2.png""/>",Q = ω<sub>0</sub>UW<sub>L</sub>,"<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/13-121-4.png""/>",,A,
<p>A TR (transmitter receiver) tube has</p>,low loss for low power signals and high,high loss for low power signals and low loss for high level signal,low loss for both low level and high level signals,high loss for both low level and high level signals,,A,
<p>When duct propagation exists</p>,the line of sight and diffraction. Zone concepts are payable,the line of sight and diffraction zone concepts are not applicable,line of sight concept is applicable but diffraction zone concept is applicable,diffraction zone concept is not applicable but line of sight concept is not applicable,,B,
"<p>For <i>l</i> &lt;&lt; λ, the equivalent circuit of a microwave resistor is</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/19-223-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/19-223-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/19-223-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/19-223-4.png""/>",,B,
"<p>If μ<i><sub>r</sub></i> is relative permeability, ∈<sub><i>r</i></sub> is relative permittivity, <i>c</i> is velocity of light <i>f</i><i><sub>c</sub></i> is cutoff frequency, phase velocity <i>v</i><i><sub>p</sub></i> (<i>i</i>.<i>e</i>., speed with which a particular phase of the wave travels down a rectangular waveguide at frequency <i>f</i>) is given by</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/12-95-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/12-95-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/12-95-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/12-95-4.png""/>",,A,
"<p>If in line <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/26-379.png""/> the characteristic impedance becomes real.</p>",True,False,,,,A,
<p>In a microwave coaxial cable the inner conductor radius is <i>a</i> and inner radius of outside conductor is <i>b</i>. For TE<sub>11</sub> mode the cut off wavelength is about</p>,<i>a</i> + <i>b</i>,"<span class=""symbol"">p</span>(<i>a</i> + <i>b</i>)","<span class=""symbol"">p</span><i>a</i>","<span class=""symbol"">p</span><i>b</i>",,B,
