question,A,B,C,D,E,answer,explanation
"<p>The directivity in a receiving antenna <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">increases the intercept area in forward direction</li><li style=""padding-top:10px;"">reduces the noise picked up from other sources</li><li style=""padding-top:10px;"">provides a means of discriminating against undesired signals originating in directions other than in which the desired transmitter lies.</li></ol> Which of the above statements are correct?</p>",1 only,1 and 2 only,"1, 2 and 3",2 and 3 only,,C, <p>All the three are correct.</p> 
<p><p><b>Assertion (A):</b>  PIN diode can be used as attenuator and limiter.</p><p><b>Reason (R):</b> PIN diode has a thin intrinsic layer.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B," <p>A PIN diode has an intrinsic (<i>i</i>) layer between <i>p</i> and <i>n</i> layers. When reverse bias is applied depletion layers are formed at <i>p-i</i> and <i>i-n</i> junctions. </p>
<p>The effective/width of depletion layer increases by the width of <i>i</i> layer. It can be used as a voltage controlled attenuator. </p>
<p>At high frequencies the rectification effect ceases and impedance of diode is effectively that of <i>i</i> layer. </p>
<p>This impedance varies with the applied bias. It is used in high frequency switching circuits, limiters, modulators etc.</p> "
<p>The bunching action which occurs in multicavity klystron amplifier can be represented by Applegate diagram</p>,True,False,,,,A," <p>A Klystron is a vacuum tube used for generation/amplification of microwaves. </p>
<p>An electron beam is produced by oxide coated indirectly heated cathode and is focussed and accelerated by focussing electrode. </p>
<p>This beam is transmitted through a glass tube. The input cavity where the beam enters the glass tube is called buncher. </p>
<p>As electrons move ahead they see an accelerating field for half cycle and retarding field for the other half cycle. </p>
<p>Therefore, some electrons are accelerated and some are retarded. This process is called velocity modulation. </p>
<p>The velocity modulation causes bunching of electrons. This bunching effect converts velocity modulation into density modulation of beam. </p>
<p>The input is fed at buncher cavity and output is taken at catcher cavity. </p>
<p>In a two cavity klystron only buncher and catcher cavity are used. In multi cavity klystron one or more intermediate cavities are also used. </p>
<p>The features of a multicavity klystron are :</p>
<p>1. Frequency range - 0.25 GHz to 100 GHz</p>
<p>2. Power output - 10 kW to several hundred kW</p>
<p>3. Power gain - 60 dB (nominal value)</p>
<p>4. Efficiency - about 40%.</p>
<p>A multicavity klystron is used in UHF TV transmitters, Radar transmitter and satellite communication.</p> "
<p>The cut off wavelength in circular waveguide</p>,guide diameter,square of guide diameter,cube of guide diameter,square root of guide diameter,,A," <p>Some applications require dual polarization capability. Circular waveguide has this capability. </p>
<p>These analysis uses cylindrical coordinates. </p>
<p>In circular waveguide TE<sub>11</sub> mode has the lowest cut off frequency and is the dominant mode. </p>
<p>If D is diameter of waveguide</p>
<p>λ<i><sub>c</sub></i> = 1.706 D for TE<sub>11</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.029 D for TE<sub>21</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 0.82 D for TE<sub>01</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.306 D for TM<sub>01</sub> mode.</p> "
<p>In Reflex Klystron oscillator the focussing electrode is at a high potential</p>,True,False,,,,B," <p>It uses a single cavity resonator for generating microwave oscillations. </p>
<p>Its parts are electron gun, resonator, repeller and output coupling.</p>
<p>It operates on the principle of positive feed back. </p>
<p>The repeller electrode is at negative potential and sends the partially bunched electron beam back to resonator cavity. </p>
<p>This positive feedback supports oscillations. Its feature are: </p>
<p>1. Frequency range - 2 to 100 GHz</p>
<p>2. Power output - 10 MW to about 2 W</p>
<p>3. Efficiency - 10 - 20 %</p>
<p>Its applications include radar receivers, local oscillator in microwave devices, oscillator for microwave measurements in laboratories etc.</p> "
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Impedance of Gunn diode is about tens of ohms.</li><li style=""padding-top:10px;"">Impedance of Impatt diode is a few ohms.</li><li style=""padding-top:10px;"">Impedance of Impatt diode are of the same order.</li><li style=""padding-top:10px;"">Impedance of Impatt diode is more than that of Gunn diode.</li></ol> Which of the above statement are correct?</p>",all,1 and 2 only,"1, 2 and 3","1, 2 and 4",,B," <p>A Gunn diode uses GaAs which has a negative differential mobility, <i>i</i>.<i>e</i>., a decrease in carrier velocity with increase in electric field. </p>
<p>This effects is called transferred electron effect. The impedance of a Gunn diode is tens of ohms.</p>
<p>A Gunn diode oscillator has a resonant cavity, an arrangement to couple Gunn diode to cavity, biasing arrangement for Gunn diode and arrangement to couple RF power to load.</p>
<p>Applications of Gunn diode oscillator include continuous wave radar, pulsed radar and microwave receivers. </p>
<p>An Impatt diode has <i>n</i><sup>+</sup> - <i>p</i> - <i>i</i> - <i>p</i> <sup>+</sup> structure and is used with reverse bias. </p>
<p>It exhibits negative resistance and operates on the principle of avalanche breakdown. Impatt diode circuits are classified as broadly tunable circuit, low Q circuit and high Q circuit. </p>
<p>The impedance of Impatt diode is a few ohms. The word Impatt stands for Impact Avalanche Transit Time diode. </p>
<p>The features of Impatt diode oscillator are : Frequency 1 to 300 GHz, Power output (0.5 W to 5 W for single diode circuit and upto 40 W for combination of several diodes), efficiency about 20%. </p>
<p>Its applications include police radar systems, low power microwave transmitter etc.</p> "
"<p>In high frequency circuits impedance matching can be done by <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">open circuited stubs</li><li style=""padding-top:10px;"">short circuited stubs</li><li style=""padding-top:10px;""><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/23-315-3.png""/>transformer</li></ol> Which of the above correct?</p>","1, 2 and 3",1 and 2 only,1 and 3 only,2 and 3 only,,A, <p>All the three can be used for impedance matching in high frequency circuits.</p> 
<p>The directive gain of a transmitting antenna is proportional to</p>,its cross-sectional area,square of cross-sectional area,square root of cross-sectional area,cube root of cross-sectional area,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/28-62.png""/> and is thus proportional to cross sectional area.</p> "
"<p>In a loss line R<sub>L</sub> &lt; Z<sub>0</sub>, then</p>",Reflection coefficient is zero,Reflection coefficient is ∞,Reflection coefficient is negative,Reflection coefficient is positive,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/29-210.png""/> Since R<sub>L</sub> &lt; Z<sub>0</sub>, <span class=""symbol"">r</span><i><sub>v</sub></i> is negative.</p> "
<p><p><b>Assertion (A):</b> A backward wave oscillator can be used as a sweep generator.</p><p><b>Reason (R):</b> The frequency of oscillation of a backward wave oscillator can be changed by varying the voltage which controls the beam velocity.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A," <p>It is somewhat similar to TWT and can deliver microwave power over a wide frequency band. </p>
<p>It has an electron gun and a helix structure. However the interaction between electron beam and RF wave is different than in TWT. </p>
<p>The growing RF wave travels in opposite direction to the electron beam. </p>
<p>The frequency of wave can be changed by changing the voltage which controls the beam velocity. </p>
<p>Moreover the amplitude of oscillations can be decreased continuously to zero by changing the beam current. </p>
<p>It features are:</p>
<p>1. Frequency range - 1 GHz to 1000 GHz.</p>
<p>2. Power output - 10 mV to 150 mW (continuous wave) 250kW (pulsed).</p>
<p>It is used as signal source in transmitters and instruments.</p> "
