question,A,B,C,D,E,answer,explanation
<p>A cavity resonator is</p>,a hollow metallic enclosure,a hollow enclosure having magnetic material as its walls,a hollow enclosure having dielectric material as its walls,either (b) or (c),,A," <p>Hollow metallic enclosures exhibit resonance behaviour when excited by electromagnetic field. </p>
<p>These enclosures are called cavity resonators.</p> "
"<p>If antenna diameter is increased four times, the maximum range is increased by a factor of</p>","<span class=""root"">2</span>",2,4,0.2,,C, <p>Range of radar is proportional to antenna diameter.</p> 
<p><p><b>Assertion (A):</b>  Gunn diode is a transferred electron device.</p><p><b>Reason (R):</b> A Gunn oscillator uses the phenomenon of transferred electron effect.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B," <p>A Gunn diode uses GaAs which has a negative differential mobility, <i>i</i>.<i>e</i>., a decrease in carrier velocity with increase in electric field. </p>
<p>This effects is called transferred electron effect. The impedance of a Gunn diode is tens of ohms.</p>
<p>A Gunn diode oscillator has a resonant cavity, an arrangement to couple Gunn diode to cavity, biasing arrangement for Gunn diode and arrangement to couple RF power to load.</p>
<p>Applications of Gunn diode oscillator include continuous wave radar, pulsed radar and microwave receivers.</p> "
<p>Atomic and molecular resonance is observed in many substances</p>,at microwave frequencies,at low frequencies,at frequencies used in AM broadcast,at both (b) and (c),,A, <p>Atomic and molecular distances are very small. Therefore resonance can occur only at microwave frequencies.</p> 
"<p>The component in the given figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/19-232.png""/></p>",attenuator,T type low pass filter,T type high pass filter,phase shifter,,B, <p>Z<sub>01</sub> provides series inductances and teflon filled low impedance line Z<sub>02</sub> provides shunt capacitance.</p> 
<p>The semiconductor diode which can be used in switching circuit in microwave range is</p>,PIN diode,Varactor diode,Tunnel diode,Gunn diode,,A," <p>A PIN diode has an intrinsic (<i>i</i>) layer between <i>p</i> and <i>n</i> layers. When reverse bias is applied depletion layers are formed at <i>p-i</i> and <i>i-n</i> junctions. </p>
<p>The effective/width of depletion layer increases by the width of <i>i</i> layer. It can be used as a voltage controlled attenuator. </p>
<p>At high frequencies the rectification effect ceases and impedance of diode is effectively that of <i>i</i> layer. </p>
<p>This impedance varies with the applied bias. It is used in high frequency switching circuits, limiters, modulators etc.</p> "
"<p>In the given figure the reflected current wave after first reflection is<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-193.png""/></p>",0.18 A,-0.18 A,0.3 A,-0.3 A,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/29-199.png""/></p> "
<p>A line has an attenuation of 0.054 Np/m. The attenuation in decibels is</p>,4.7 dB/m,0.47 dB/m,0.54 dB/m,5.4 dB/m,,B, <p>0.054 x 8.68 = 0.47 dB/m.</p> 
<p>If a line is open circuited Z<sub>in</sub> = Z<sub>0</sub> tanh (g<i>l</i>).</p>,True,False,,,,B," <p>The quantities required to be measured in microwave circuits are frequency, power and impedance.</p>
<p>Microwave frequency measurement is done by slotted line, resonant cavities and transfer oscillator. </p>
<p>Microwave power measurement uses bolometers and micromave power meters. </p>
<p>A self balancing bridge working on the principle of power substitution is commomly used. </p>
<p>Microwave impedance measurement is done by measurement of reflection coefficient and VSWR. </p>
<p>A slotted line and probe is a basic tool for these measurements.' Network analyser enables rapid impedance measurement over a broad frequency range.</p> "
<p>A reflex klystron oscillator uses</p>,one cavity resonator,two cavity resonators,three cavity resonators,none of the above,,A," <p>It uses a single cavity resonator for generating microwave oscillations. </p>
<p>Its parts are electron gun, resonator, repeller and output coupling.</p>
<p>It operates on the principle of positive feed back. </p>
<p>The repeller electrode is at negative potential and sends the partially bunched electron beam back to resonator cavity. </p>
<p>This positive feedback supports oscillations. Its feature are: </p>
<p>1. Frequency range - 2 to 100 GHz</p>
<p>2. Power output - 10 MW to about 2 W</p>
<p>3. Efficiency - 10 - 20 %</p>
<p>Its applications include radar receivers, local oscillator in microwave devices, oscillator for microwave measurements in laboratories etc.</p> "
<p>A coaxial RF cable has a characteristic impedance of 50 Ω and C equal to 40 pF/m. The inductance is</p>,1 μ H/m,10 μ H/m,0.1 μ H/m,0.01 μ H/m,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/29-182.png""/>.</p> "
"<p>In a microwave coaxial line, the maximum operating frequency is <i>f</i> <sub>max</sub> and breakdown strength of dielectric is E<i><sub>d</sub></i>' Then maximum power handling capacity is proportional to</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-214-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-214-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-214-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-214-4.png""/>",,B, <p>Power handling capacity μ (voltage)<sup>2</sup> and is inversely proportional to <i>f</i><sup>2</sup> max.</p> 
<p>To couple a coaxial line to a parallel wire line it is best to use</p>,slotted line,balun,directional coupler,λ/4 transformer,,B, <p>A balun gives 4 : 1 impedance transformation.</p> 
<p>In a multicavity klystron amplifier the signal to be amplified develops an ac voltage of signal frequency across the gap in buncher cavity</p>,True,False,,,,A," <p>A Klystron is a vacuum tube used for generation/amplification of microwaves. </p>
<p>An electron beam is produced by oxide coated indirectly heated cathode and is focussed and accelerated by focussing electrode. </p>
<p>This beam is transmitted through a glass tube. The input cavity where the beam enters the glass tube is called buncher. </p>
<p>As electrons move ahead they see an accelerating field for half cycle and retarding field for the other half cycle. </p>
<p>Therefore, some electrons are accelerated and some are retarded. This process is called velocity modulation. </p>
<p>The velocity modulation causes bunching of electrons. This bunching effect converts velocity modulation into density modulation of beam. </p>
<p>The input is fed at buncher cavity and output is taken at catcher cavity. </p>
<p>In a two cavity klystron only buncher and catcher cavity are used. In multi cavity klystron one or more intermediate cavities are also used. </p>
<p>The features of a multicavity klystron are :</p>
<p>1. Frequency range - 0.25 GHz to 100 GHz</p>
<p>2. Power output - 10 kW to several hundred kW</p>
<p>3. Power gain - 60 dB (nominal value)</p>
<p>4. Efficiency - about 40%.</p>
<p>A multicavity klystron is used in UHF TV transmitters, Radar transmitter and satellite communication.</p> "
"<p>If VSWR is infinite, the transmission line is terminated in</p>",short circuit,complex impedance,open circuit,either (a) or (c),,D," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/27-1.png""/> and <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/27-2.png""/> . Since VSWR = ∞, |<span class=""symbol"">r</span><i><sub>v</sub></i>| = 1. This can happen if Z<sub>L</sub> = 0 or Z<sub>L</sub> = ∞, <i>i</i>.<i>e</i>., line is o.c or s.c.</p> "
<p>In a circular waveguide TE<sub>21</sub> mode has lowest cutoff frequency</p>,True,False,,,,B," <p>Some applications require dual polarization capability. Circular waveguide has this capability. </p>
<p>These analysis uses cylindrical coordinates. </p>
<p>In circular waveguide TE<sub>11</sub> mode has the lowest cut off frequency and is the dominant mode. </p>
<p>If D is diameter of waveguide</p>
<p>λ<i><sub>c</sub></i> = 1.706 D for TE<sub>11</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.029 D for TE<sub>21</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 0.82 D for TE<sub>01</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.306 D for TM<sub>01</sub> mode.</p> "
<p>The number of TV channels which can be accommodated in a spectrum of 300 MHz is about</p>,5,10,50,200,,C, <p>A TV channel has a bandwidth about 5 MHz. Hence 300 MHz spectrum can accommodate about 50 channels.</p> 
<p>The noise figure of multicavity klystron amplifier is very low</p>,True,False,,,,B," <p>A Klystron is a vacuum tube used for generation/amplification of microwaves. </p>
<p>An electron beam is produced by oxide coated indirectly heated cathode and is focussed and accelerated by focussing electrode. </p>
<p>This beam is transmitted through a glass tube. The input cavity where the beam enters the glass tube is called buncher. </p>
<p>As electrons move ahead they see an accelerating field for half cycle and retarding field for the other half cycle. </p>
<p>Therefore, some electrons are accelerated and some are retarded. This process is called velocity modulation. </p>
<p>The velocity modulation causes bunching of electrons. This bunching effect converts velocity modulation into density modulation of beam. </p>
<p>The input is fed at buncher cavity and output is taken at catcher cavity. </p>
<p>In a two cavity klystron only buncher and catcher cavity are used. In multi cavity klystron one or more intermediate cavities are also used. </p>
<p>The features of a multicavity klystron are :</p>
<p>1. Frequency range - 0.25 GHz to 100 GHz</p>
<p>2. Power output - 10 kW to several hundred kW</p>
<p>3. Power gain - 60 dB (nominal value)</p>
<p>4. Efficiency - about 40%.</p>
<p>A multicavity klystron is used in UHF TV transmitters, Radar transmitter and satellite communication.</p> "
<p><p><b>Assertion (A):</b>  The velocity of electromagnetic waves on overhead lines and coaxial cables is the same.</p><p><b>Reason (R):</b> Free space has an intrinsic impedance of 377 ohms.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,D, <p>Velocity of em waves on caoxial cables is less than that on overhead lines.</p> 
"<p>In the given figure the E and H lines in a coaxial cable<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/18-208.png""/></p>",The radial lines are E lines and circular lines are H lines,Radial lines are H lines and circular lines are E lines,The directions of E and H lines are wrong,Radial lines may be E and H lines depending an direction of current,,A, <p>H lines are concentric circles around conductor and E lines are radial.</p> 
<p>Roughly the time required for microwave cooking as compared to conventional cooking is</p>,about twice,about half,about 10 times,about one-tenth,,D, <p>Time required for microwave cooking is much less than the time required for conventional cooking.</p> 
"<p>If the minimum range of a radar is to be doubled, the peak power has to be increased by a factor of</p>",2,4,8,16,,D, <p>Range = (power)<sup>025</sup>.</p> 
