question,A,B,C,D,E,answer,explanation
"<p>Consider the following statements, SWR of a transmission line is infinite when the load is <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">a short circuit</li><li style=""padding-top:10px;"">a complex impedance</li><li style=""padding-top:10px;"">an open circuit</li><li style=""padding-top:10px;"">a pure reactance</li></ol> Which of the above statements are correct?</p>",1 and 3 only,"1, 2, 3","2, 3, 4","1, 2, 4",,A,
<p>In a reflex klystron the output frequency is determined primarily by resonant frequency of cavity.</p>,True,False,,,,A,
"<p>The arrangement in the given figure is a hybid <i>T</i>. If 100 mW fed at port 1, the power reflected back at port 1 is<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/16-173.png""/></p>",0,25 mW,50 mW,100 mW,,C,
"<p>In TE<sub>10 </sub>mode the largest electric field in a rectangular wave guide, occurs</p>",along centre line of broad wall (<i>i</i>.<i>e</i>. <i>x</i> = <i>a</i>/2),along the broad wall (<i>i</i>.<i>e</i>. <i>x</i> = 0 and <i>x</i> = <i>a</i>),either (a) or (b),neither (a) nor (b),,A,
<p>Which modes of circular wave guides have circular symmetry?</p>,TE<sub>11</sub>,TE<sub>11</sub> and TE<sub>21</sub>,TE<sub>01</sub>,TE<sub>01</sub> and TM<sub>01</sub>,,D,
<p>In rectangular waveguides the ratio of width to height is about</p>,0.5,1,2,4,,C,
"<p>If wavelength in free space is λ<sub>0</sub> wavelength in insulator λ, μ<i><sub>r</sub></i> is relative permittivity or insulator and ∈<i><sub>r</sub></i> is relative permittivity or insulator, then</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-72-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-72-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-72-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-72-4.png""/>",,B,
"<p>In the given figure the circuits for input impedance of a microwave device with output ports match terminated. The device is<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/20-245.png""/></p>",E plane tee,H plane tee,magic tee,hybrid ring,,D,
<p>Which of these statements is correct?</p>,Ridge guide is essentially a form of capacitively loaded guide.,Ridge guide is essentially a form of inductively loaded guide.,Ridge guide is essentially a form of resistively loaded guide.,Ridge guide has higher power handling capacity than rectangular waveguide.,,A,
<p>A rectangular waveguide has width a. Then at the cutoff frequency (with corresponding wave length λ<i><sub>c</sub></i>)</p>,"<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-80-1.png""/>",<i>a</i> = λ<sub><i>c</i></sub>,"<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-80-3.png""/>",<i>a</i> = 2λ<sub><i>c</i></sub>,,A,
