question,A,B,C,D,E,answer,explanation
<p>Specify the sequence correctly</p>,"Grain growth, recrystallisation, stress relief","Stress relief, grain growth, recrystallisation","Stress relief, recrystallisation, grain growth","Grain growth, stress relief, recrystallisation",,C,
<p>Thermoplastic materials are those materials which</p>,are formed into shape under heat and pressure and results in a permanently hard product,do not become hard with the application of heat and pressure and no chemical change occurs,are flexible and can withstand considerable wear under suitable conditions,are used as a friction lining for clutches and brakes,,B,
<p>Which of the following material has maximum ductility?</p>,Mild steel,Copper,Nickel,Aluminium,,A,
<p>An eutectoid steel consists of</p>,wholly pearlite,wholly austenite,pearlite and ferrite,pearlite and cementite,,A,
<p>Shock resisting steels should have</p>,low wear resistance,low hardness,low tensile strength,toughness,,D,
<p>Cast iron is a</p>,ductile material,malleable material,brittle material,tough material,,C,
<p>The hardness is the property of a material due to which it</p>,can be drawn into wires,breaks with little permanent distortion,can cut another metal,can be rolled or hammered into thin sheets,,C,
<p>Malleable cast iron is produced</p>,by adding magnesium to molten cast iron,by quick cooling of molten cast iron,from white cast iron by annealing process,none of these,,C,
<p>Smelting is the process of</p>,"removing the impurities like clay, sand etc. from the iron ore by washing with water","expelling moisture, carbon dioxide, sulphur and arsenic from the iron ore by heating in shallow kilns",reducing the ore with carbon in the presence of a flux,all of the above,,C,
<p>The percentage of carbon in cast iron varies from</p>,0.1 to 0.5,0.5 to 1,1 to 1.7,1.7 to 4.5,,D,
<p>The ability of a material to absorb energy in the plastic range is called</p>,resilience,creep,fatigue strength,toughness,,D,
<p>Brass is an alloy of</p>,copper and zinc,copper and tin,"copper, tin and zinc",none of these,,A,
"<p>A material is said to be allotropic, if it has</p>",fixed structure at all temperatures,atoms distributed in random pattern,different crystal structures at different temperatures,any one of the above,,C,
<p>Closed packed hexagonal space lattice is found in</p>,"zinc, magnesium, cobalt, cadmium, antimony and bismuth","gamma-iron, aluminium, copper, lead, silver and nickel","alpha-iron, tungsten, chromium and molybdenum",none of the above,,A,
<p>The hardness and tensile strength in austenitic stainless steel can be increased by</p>,hardening and cold working,normalising,martempering,full annealing,,A,
<p>The quenching of steel from the upper critical point results in a fine grained structure.</p>,Agree,Disagree,,,,A,
"<p>An alloy steel which is work hardenable and which is used to make the blades of bulldozers, bucket wheel excavators and other earth moving equipment contain iron, carbon and</p>",chromium,silicon,manganese,magnesium,,C,
<p>Which of the following has a fine gold colour and is used for imitation jewellery?</p>,Silicon bronze,Aluminium bronze,Gun metal,Babbit metal,,B,
"<p>When the steel is normalised, its</p>",yield point increases,ductility decreases,ultimate tensile strength increases,all of these,,D,
<p>White cast iron has a high tensile strength and a low compressive strength.</p>,Yes,No,,,,B," <p>White cast iron has a low tensile strength and a high compressive strength.</p>
<p>Source: https://en.wikipedia.org/wiki/Cast_iron#Table_of_comparative_qualities_of_cast_irons</p> "
<p>Dye penetrant method is generally used to locate</p>,core defects,surface defects,superficial defects,temporary defects,,B,
<p>The charge is fed into the blast furnace through the</p>,stack,throat,bosh,tuyers,,B,
<p>A small percentage of boron is added to steel in order to</p>,increase hardenability,reduce machinability,increase wear resistance,increase endurance strength,,A,
"<p>Which of the following process of steel making is in operation at Tata Iron and Steel Works, Jamshedpur?</p>",Bessemer process,Open hearth process,Duplex process,Electric process,,C,
<p>The unit cells</p>,contain the smallest number of atoms which when taken together have all the properties of the crystals of the particular metal,have the same orientation and their similar faces are parallel,may be defined as the smallest parallelopiped which could be transposed in three coordinate directions to build up the space lattice,all of the above,,D,
<p>Tungsten when added to steel __________ the critical temperature.</p>,does not effect,lowers,raises,,,C,
<p>Silicon when added to copper improves</p>,machinability,hardness,hardness and strength,strength and ductility,,C,
<p>The alloying element which increases residual magnetism and coercive magnetic force in steel for magnets is</p>,chromium,nickel,vanadium,cobalt,,D,
<p>Cast iron is manufactured in</p>,blast furnace,cupola,open hearth furnace,bessemer converter,,B,
<p>The lower critical point for all steels is</p>,600°C,700°C,723°C,913°C,,C,
<p>Haematite iron ore contains iron about</p>,30%,45%,55%,70%,,D,
"<p>The material in which the atoms are arranged regularly in some directions but not in others, is called</p>",amorphous material,mesomorphous material,crystalline material,none of these,,B,
