question,A,B,C,D,E,answer,explanation
<p>Which of the following is a case hardening process?</p>,Carburising,Cyaniding,Nitriding,all of these,,D,
"<p>In a crystalline material, atoms are arranged in definite and orderly manner and form.</p>",Agree,Disagree,,,,A,
<p>The austenitic stainless steel contains</p>,18% chromium and 8% nickel,8% chromium and 18% nickel,14% chromium and 0.35% carbon,14% nickel and 0.35% carbon,,A,
"<p>The process used for relieving the internal stresses previously set up in the Metal and for increasing the machinability of steel, is</p>",normalising,full annealing,process annealing,spheroidising,,C,
"<p>Steel containing upto 0.15% carbon, is known as</p>",mild steel,dead mild steel,medium carbon steel,high carbon steel,,B,
"<p>In a unit cell of a body centred cubic space lattice, there are __________ atoms.</p>",six,nine,fourteen,seventeen,,B,
<p>Cast iron has</p>,high compressive strength,excellent machinability,good casting characteristic,all of these,,D,
<p>The nuts and bolts are made from silicon steel.</p>,Correct,Incorrect,,,,B,
<p>Silicon in cast iron</p>,makes the iron soft and easily machinable,increases hardness and brittleness,makes the iron white and hard,aids fusibility and fluidity,,A,
"<p>The process which improves the machinability of steels, but lowers the hardness and tensile strength, is</p>",normalising,full annealing,process annealing,spheroidising,,D,
<p>Which of the following iron exists at 910° C?</p>,α-iron,β-iron,γ-iron,δ-iron,,A,
<p>The iron ore mostly used for the production of pig iron is</p>,magnetite,haematite,limonite,siderite,,B,
<p>A carbon steel having Brinell hardness number 100 should have ultimate tensile strength closer to</p>,100 N/mm<sup>2</sup>,200 N/mm<sup>2</sup>,350 N/mm<sup>2</sup>,1000 N/mm<sup>2</sup>,,C,
<p>The steel widely used for making precision measuring instruments is</p>,nickel steel,nickel-chrome steel,high speed steel,chrome-vanadium steel,,A,
<p>The ductility is the property of a material due to which it</p>,can be drawn into wires,breaks with little permanent distortion,can be rolled or hammered into thin sheets,can resist fracture due to high impact loads,,A,
<p>The high speed steel has __________ percentage of tungsten.</p>,maximum,minimum,,,,A,
<p>The essential constituent of a hardened steel is</p>,pearlite,austenite,martensite,troostite,,C,
<p>The cutting tools are made from</p>,nickel steel,chrome steel,nickel-chrome steel,high speed steel,,D,
<p>The maximum solubility of carbon in austenite is 1.7% at 1130° C.</p>,Yes,No,,,,A,
"<p>In a close packed hexagonal space lattice, there are</p>",nine atoms out of which eight atoms are located at the corners of the cube and one atom at its centre,"twelve atoms, all of which are located at the twelve corners of a hexagonal prism",fourteen atoms out of which eight atoms are located at the coners of the cube and six atoms at the centres of six faces,none of the above,,D,
<p>Iron-carbon alloys containing 4.3% carbon are known as hypo-eutectic cast irons.</p>,Correct,Incorrect,,,,B,
<p>The approximate height of a blast furnace is</p>,10 m,20 m,30 m,40 m,,C,
<p>A steel alloy containing 36% nickel is called</p>,stainless steel,high speed steel,invar,heat resisting steel,,C,
<p>The addition of manganese to aluminium improves corrosion resistance.</p>,Correct,Incorrect,,,,A,
<p>The temperature point at which the change ends on heating the steel is called</p>,lower critical point,upper critical point,point of recalescence,point of decalescence,,B,
<p>The malleability is the property of a material due to which it can be rolled or hammered into thin sheets.</p>,Agree,Disagree,,,,A,
<p>The process of inducing carbon to __________ carbon steels in order to give it a hard surface is known as carburising.</p>,low,medium,high,,,A,
<p>Which of the following solids are malleable and ductile?</p>,Ionic solids,Covalent solids,Metallic solids,none of these,,C,
<p>The delta-iron possesses a body centred cubic space lattice.</p>,Correct,Incorrect,,,,A,
<p>Thermosetting plastics are those materials which</p>,are formed into shape under heat and pressure and results in a permanently hard product,do not become hard with the application of heat and pressure and no chemical change occurs,are flexible and can withstand considerable wear under suitable conditions,are used as a friction lining for clutches and brakes,,A,
<p>Admirality gun metal contains</p>,"60% copper, 35% zinc and 5% manganese","76% copper, 20% silicon and 4% zinc","82% copper, 12% zinc and 6% manganese","88% copper, 10% tin and 2% zinc",,D,
<p>The percentage of phosphorus is phosphor bronze is</p>,0.1,1,11.1,98,,A,
"<p>In high speed steels, vanadium adds to the property of red hardness and tungsten and chromium add to high wear resistance.</p>",True,False,,,,A,
"<p>For the pipe fitting like elbow, tee, union etc., which of the following is preferred?</p>",Pig iron,Malleable iron,Spheroidal graphite cast iron,High carbon steel,,B,
<p>Chilled cast iron is produced</p>,by adding magnesium to molten cast iron,by quick cooling of molten cast iron,from white cast iron by annealing process,none of these,,B,
<p>Silicon is added in low carbon steels to</p>,make the steel tougher and harder,make the steel of good bending qualities,raise the yield point,all of these,,A,
"<p>According to Indian standard specifications, cast iron designated by 'FG 150' means</p>",white cast iron with B.H.N. 150,white cast iron with 150 MPa as minimum compressive strength,grey cast iron with B.H.N. 150,grey cast iron with 150 MPa as minimum tensile strength,,D,
<p>The red flame during the operation of a bessemer converter indicates that the</p>,air is burning out silicon and manganese,silicon and manganese has burned out and carbon has started oxidising,converter must be tilted to remove the contents of the converter,red flame does not occur during the operation of a bessemer converter,,D,
<p>Phosphor bronze has</p>,high resistance to corrosion,good wearing qualities and high elasticity,valuable cold working property,all of these,,B,
"<p>In the austempering process of heat treatment, austenite changes into</p>",martensite,troostite,sorbite,bainite,,D,
<p>Which of the following material has maximum malleability?</p>,Lead,Soft steel,Wrought iron,Copper,,A,
<p>Nichrome contains more iron than Inconel.</p>,Agree,Disagree,,,,A,
"<p>Hardness of steel is increased by adding sulphur, lead and phosphorus.</p>",Yes,No,,,,B,
<p>German silver contains</p>,70% copper and 30% zinc,60% copper and 40% zinc,"59% copper, 40% zinc and 1% tin","60.45% copper, 35.2% zinc and 5.35% nickel",,D,
<p>The machine tool guide ways are usually hardened by</p>,vacuum hardening,martempering,induction hardening,flame hardening,,D,
<p>Monel metal contains</p>,"65% nickel, 15% chromium and 20% iron","68% nickel, 29% copper and 3% other constituents",80% nickel and 20% chromium,"80% nickel, 14% chromium and 6% iron",,B,
<p>A fine grained steel</p>,is less tough and has a greater tendency to distort during heat treatment,is more ductile and has a less tendency to distort during heat treatment,is less tough and has a less tendency to distort during heat treatment,is more ductile and has a greater tendency to distort during heat treatment,,B,
<p>Babbit metal contains</p>,50% tin and 50% antimony,"66% tin, 30% copper and 4% antimony","88% tin, 4% copper and 8% antimony","92% tin, 6% copper and 2% antimony",,C,
<p>A steel with 0.8% carbon is known as</p>,eutectoid steel,hyper-eutectoid steel,hypo-eutectiod steel,none of these,,A,
"<p>When a steel containing more than 0.8% carbon is cooled slowly below the lower critical point, it consists of</p>",mainly pearlite,mainly ferrite,ferrite and pearlite,pearlite and cementite,,D,
