question,A,B,C,D,E,answer,explanation
"<p>Which of the following when used in ordinary low carbon steels, makes the metal ductile and of good bending qualities?</p>",Sulphur,Phosphorus,Manganese,Silicon,,C,
<p>The hardness of steel depends upon the</p>,amount of cementite it contains,amount of carbon it contains,contents of alloying elements,method of manufacture of steel,,B,
<p>Cartidge brass can be</p>,cold rolled into sheets,drawn into wires,formed into tube,any one of these,,D,
<p>Which of the following statement is correct?</p>,The product produced by blastfurnace is called cast iron.,The pig iron is the name given to the product produced by cupola.,The cast iron has high tensile strength.,The chilled cast iron has no graphite.,,D,
<p>Blast furnace is used to produce</p>,pig iron,cast iron,wrought iron,steel,,A,
"<p>In flame hardening, oxy-acetylene flame is used.</p>",Yes,No,,,,A,
<p>Which of the following statements are true for annealing of steels?</p>,Steels are heated to 500 to 700° C,Cooling is done slowly and steadily,Internal stresses are relieved,all of these,,D,
"<p>The ability of a material to undergo large permanent deformation with the application of a tensile force, is called ductility.</p>",Correct,Incorrect,,,,A,
<p>Which of the following steel making process is being adopted at Rourkela Steel Plant?</p>,Bessemer process,Open-hearth process,Electric process,L-D process,,D,
<p>18-4-1 high speed steel contains</p>,"vanadium 4%, chromium 18% and tungsten 1%","vanadium 1%, chromium 4% and tungsten 18%","vanadium 18%, chromium 1% and tungsten 4%",none of the above,,B,
<p>Which of the following statement is true about brittle fracture?</p>,High temperature and low strain rates favour brittle fracture,Many metals with hexagonal close packed (H.C.P) crystal structure commonly show brittle fracture,Brittle fracture is always preceded by noise,Cup and cone formation is characteristic for brittle materials,,B,
<p>Grey cast iron has</p>,carbon in the form of free graphite,high tensile strength,low compressive strength,all of these,,A,
<p>Induction hardening is basically a</p>,carburising process,surface hardening process,core-hardening process,none of these,,B,
"<p>When elements like nickel, chromium, copper and molybdenum are added to the molten cast iron, it produces</p>",white cast iron,nodular cast iron,malleable cast iron,alloy cast iron,,D,
<p>The strength is the ability of a material to resist</p>,deformation under stress,externally applied forces with breakdown or yielding,fracture due to high impact loads,none of these,,B,
<p>The material widely used for making pendulums of clocks is</p>,stainless steel,high speed steel,heat resisting steel,nickel steel,,D,
<p>The stiffness is the ability of a material to resist</p>,deformation under stress,fracture due to high impact loads,externally applied forces with breakdown or yielding,none of the above,,A,
<p>The blade of a power saw is made of</p>,boron steel,high speed steel,stainless steel,malleable cast iron,,B,
<p>In induction hardening __________ is high.</p>,current,voltage,frequency,temperature,,C,
"<p>The metal suitable for bearings subjected to light loads, is</p>",silicon bronze,white metal,monel metal,phosphor bronze,,D,
<p>The property of a material essential for spring materials is</p>,stiffness,ductility,resilience,plasticity,,C,
<p>A steel with carbon above 0.8% is known as hyper-eutectoid steel.</p>,Agree,Disagree,,,,A,
<p>Which of the following material has nearly zero coefficient of expansion?</p>,Stainless steel,High speed steel,Invar,Heat resisting steel,,C,
"<p>In normalising process, the hypo-eutectiod steel is heated from 30° C to 50° C above the upper critical temperature and then cooled in still air.</p>",True,False,,,,A,
<p>The alloying element which can replace tungsten in high speed steels is</p>,nickel,vanadium,cobalt,molybdenum,,D,
<p>An aluminium alloy with 11% silicon is used for making engine pistons by die casting technique.</p>,Yes,No,,,,A,
<p>Which of the following is an amorphous material?</p>,Mica,Silver,Lead,Glass,,D,
<p>The machinability of steel is improved by adding</p>,nickel,chromium,nickel and chromium,"sulphur, lead and phosphorus",,D,
<p>The carbon in the pig iron varies from</p>,0.1 to 0.5%,0.5 to 1%,1 to 5%,5 to 10%,,C,
<p>The type of space lattice found in alpha-iron is</p>,face centred cubic space lattice,body centred cubic space lattice,close packed hexagonal space lattice,none of these,,B,
<p>The brown smoke during the operation of a bessemer Converter indicates that the</p>,air is burning out silicon and managanese,silicon and manganese has burnt and carbon has started oxidising,the converter must be titled to remove the contents of the converter,the brown smoke does not occur during the operation of a bessemer converter,,A,
<p>Martensite has needle like structure and is magnetic.</p>,Correct,Incorrect,,,,A,
<p>Monel metal is an alloy of</p>,nickel and copper,nickel and chromium,"nickel, chromium and iron",copper and chromium,,A,
"<p>In induction hardening, the depth of hardening is controlled by controlling the voltage.</p>",Correct,Incorrect,,,,A,
<p>The austenite is a solid solution of carbon or iron carbide in gamma-iron.</p>,Correct,Incorrect,,,,A,
<p>Which of the following display properties similar to that of steel?</p>,Blackheart cast iron,Whiteheart cast iron,both (a) and (b),none of these,,C,
<p>Hindalium is an alloy of aluminium and magnesium with a small quantity of chromium.</p>,Agree,Disagree,,,,A,
<p>When a low carbon steel is heated upto upper critical temperature</p>,there is no change in grain size,the average grain size is a minimum,the grain size increases very rapidly,the grain size first increases and then decreases very rapidly,,B,
<p>The steel widely used for motor car crankshafts is</p>,nickel steel,chrome steel,nickel-chrome steel,silicon steel,,B,
<p>Combined carbon in iron makes the metal</p>,soft and gives coarse grained crystalline structure,soft and gives a fine grained crystalline structure,hard and gives a coarse grained crystalline structure,hard and gives a fine grained crystalline structure,,D,
<p>Pearlite consists of</p>,13% carbon and 87% ferrite,13% cementite and 87% ferrite,13% ferrite and 87% cementite,6.67% carbon and 93.33% iron,,B,
"<p>Incoloy, Hastelloy and Vitallium are __________ temperature alloys.</p>",high,low,,,,A,
<p>Quenching is not necessary when hardening is done by</p>,case hardening,flame hardening,nitriding,any one of these,,C,
<p>The iron ore in the charge of blast furnace acts as an iron bearing mineral.</p>,True,False,,,,A,
<p>Beryllium bronze has</p>,high yield point,high fatigue limit,both (a) and (b),none of these,,C,
"<p>The aluminium alloy, mainly used, for anodized utensil manufacture, is</p>",duralumin,Y-alloy,magnalium,hindalium,,D,
<p>The toughness of a material __________ when it is heated.</p>,remains same,decreases,increases,,,B,
<p>The coordination number of a face centred cubic space lattice is</p>,six,twelve,eighteen,twenty,,B,
<p>Spheroidal grey cast iron has graphite flakes.</p>,True,False,,,,A,
<p>Bronze is an alloy of</p>,copper and zinc,copper and tin,"copper, tin and zinc",none of these,,B,
