question,A,B,C,D,E,answer,explanation
<p>The total resistance in a parallel circuit is always less than the least resistor.</p>,True,False,,,,A,
"<p>If a branch opens in a parallel circuit, the current in the remaining parallel paths will change.</p>",True,False,,,,A,
"<p>If a branch opens in a parallel circuit, the total circuit resistance decreases.</p>",True,False,,,,B,
<p>The largest branch resistance in a parallel circuit carries the largest branch current.</p>,True,False,,,,B,
"<p>If two equal resistors are connected in parallel, they will carry identical currents.</p>",True,False,,,,A,
<p>Kirchhoff's current law states that the current flowing into a point of a circuit is equal to the sum of the voltages in the output branches.</p>,True,False,,,,B,
<p>The voltages across all components in parallel are equal.</p>,True,False,,,,A,
<p>The total resistance in a parallel circuit is always greater than the lowest-value branch resistor.</p>,True,False,,,,B,
<p>A parallel circuit is sometimes called a current divider.</p>,True,False,,,,A,
<p>The total resistance of a parallel circuit is always greater than the largest resistor value.</p>,True,False,,,,B,
<p>The voltage in a parallel circuit is the same across each branch of the circuit.</p>,True,False,,,,A,
"<p>The total power dissipated is 4.8 watts.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq4_1008_1.gif""/></p>",True,False,,,,B,
"<p>If one branch shorts out in a parallel circuit, the other branches are not affected.</p>",True,False,,,,B,
"<p>If one of the resistors opens in a parallel circuit branch, the total resistance of the circuit will decrease.</p>",True,False,,,,B,
<p>The total current entering a junction may be different from the total current leaving the junction.</p>,True,False,,,,B,
"<p>The total resistance is 480 <img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/>.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq4_1007_1.gif""/></p>",True,False,,,,A,
<p>The total power in a parallel circuit equals the sum of the individual branch powers.</p>,True,False,,,,A,
<p>Current divider predicts that the most current will flow in the parallel path of the most resistance.</p>,True,False,,,,B,
<p>The total resistance of like value resistors in parallel is equal to the value of the resistors multiplied by the number of resistors used.</p>,True,False,,,,B,
<p>Parallel circuits have only one path for current.</p>,True,False,,,,B,
