question,A,B,C,D,E,answer,explanation
<p>A material has conductivity of 10<sup>-2</sup> mho/m and a relative permittivity of 4. The frequency at which conduction current in the medium is equal to displacement current is</p>,45 MHz,90 MHz,450 MHz,900 MHz,,A," <p>Conduction current density J = wD</p>
<p> J = σE <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> σE = ωD = 2<span class=""symbol"">p</span> <i>f</i>D</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/214-206-1.png""/></p> "
<p>A transmission line is feeding 1 watt of power to a horn antenna having a gain of 10 dB. The antenna is matched to the transmission line. The total power radiated by the horn antenna into the free space is</p>,10 watt,1 watt,0.1 watt,0.01 watt,,A," <p>P<sub>radiated</sub> = Gain of Antenna x Input power = G.I </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> 10 log<sub>10</sub>10 . 1 <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> 10 watt.</p> "
"<p>An end fire array consisting of several half-wave lengths of directive gain 40, then find the width of major lobe</p>",60,50,51.25,None of the above,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/217-373-1.png""/>.</p> "
<p>A uniform plane EM wave incident normally on a plane surface of a dielectric material is reflected with a VSWR of 3. What percentage of incident power that is reflected?</p>,10%,25%,50%,75%,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/214-207-1.png""/></p>
<p> P<sub>reflected</sub> = |δ|<sup>2</sup> P<sub>incident</sub></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/214-207-2.png""/></p>
<p>|δ|<sup>2</sup> = 0.25 .</p> "
<p>Poynting vector is associated with which of the following?</p>,Power flow in electromagnetic,Flux in magnetic field,Charge in electrostatic field,Current in electrostatic field,,A, <p>P = E x H</p> 
<p>A broadside array consisting of 200 cm wavelength with 10 half-wave dipole spacing 10 cm. And if each array element feeding with 1 amp. current and operating at same frequency then find the radiated power</p>,730 W,73 W,100 W,None,,A," <p>P<sub>rad</sub> = <i>n</i> I<sup>2</sup> . R<sub><i>r</i></sub> <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> 10 x 73 x 1 <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> 730 watt.</p> "
<p>For static magnetic field Maxwell's curl equation is given by</p>,"∇ . <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> = μ<sub>0</sub><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/>","∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> = 0","∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> = μ<sub>0</sub><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/>","∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> = μ<sub>0</sub>/<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/>",,C," <p>For static field, time varying factor will be zero, ∇ x H</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-58-1.png""/>.</p> "
"<p>If wave of critical frequency 30 MHz is departing at an angle of 60°, then the MUF is given to be</p>",10 MHz,15 MHz,30 MHz,60 MHz,,D, <p>MUF = <i>f<sub>c</sub></i> sec θ</p> 
<p>An antenna having an effective temperature of 27°K is fed into a microwave amplifier that has an effective noise temperature of 30 K. Calculate the available noise power per unit bandwidth</p>,30 K,57 K,27 K,"3K, K is Boltzmann constant",,B," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-367-1.png""/></p>
<p>where K is Boltzmann constant.</p> "
<p>Two identical and parallel dipole antenna are kept apart by a distance of λ/4 in the H-plane. They are fed with equal currents but the right most antenna has a phase shift of + 90°. The radiation pattern is given as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-416-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-416-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-416-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-416-4.png""/>",,A," <p>There will be no pattern in E-plane, only in H-Plane.</p> "
"<p>A 10 GHz signal propagates in a waveguide with a phase velocity of 4 x 10<sup>8</sup> m/s. If the signal produces standing wave in the guide, then the distance between successive minimal will be</p>",10 mm,20 mm,30 mm,40 mm,,B," <p><i>f</i> = 10 GHz, <i>v</i> = 4 x 10<sup>8</sup> m/sec, </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-176-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-176-2.png""/>.</p> "
