question,A,B,C,D,E,answer,explanation
<p>Television receiver antenna is usually</p>,loop type,yagi antenna,parabolic dishes,none of the above,,B,
"<p>In figure the current distribution is represented by <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-477-1.png""/></p>",curve A,curve B,curve C,curve D,,C,
<p>Half power point directions for broadside is</p>,60°,30°,45°,at any angle,,A,
<p>What will happen to a bird sitting on a conductor?</p>,It will die of shock,It will not die of shock because its claws are insulated,It will not die because it is insulated from earth and other conductors,None of the above,,C,
<p>Which one is correct option?</p>,Phase velocity is greater than light velocity,Group velocity is greater than light velocity,Phase velocity is equal to group velocity,Phase velocity is less than light velocity,,A,
"<p>Given that <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-421-1.png""/>, if the radiation intensity of an antenna is proportional to sin<sup>2</sup> θ, where θ is the elevation angle, the antenna directivity will be</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-421-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-421-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-421-4.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-421-5.png""/>",,D,
<p>The term critical frequency denotes</p>,the lowest frequency that is reflected by the ionosphere,the highest frequency that is reflected by the ionosphere at vertical distance,the lowest frequency by which communication is possible between two given points,none of the above,,B,
<p>The important postulate arising out of Maxwell's modification of Ampere's law is</p>,a changing magnetic field produces an electric field,a changing electric field produces a magnetic field,a motional e.m.f. is produced by a coil moving in a magnetic field,a steady current produce a magnetic field,,B,
<p>Which of the following is not a wideband antenna?</p>,Marconi,Discone,Helical,Folded dipole,,A,
<p>The polarization phenomena in Faraday rotation</p>,is non-reciprocal,exists along perpendicular direction,exists along the axis of array,does not exist,,A,
<p>The portion of the atmosphere closest to ground is called ionosphere.</p>,True,False,,,,B,
<p>Which of the following relations is valid for a spherical surface?</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-168-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-168-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-168-3.png""/>",None of the above,,C,
"<p>When there is rapid attenuation of field inside the conductor, the field current are concentrated close to the surface of the conductor; this phenomenon is called</p>",skin effect,EM concentration effect,Faraday's effect,Ohm's effect,,A,
<p>Which antenna is frequently used for local area transmission at UHF/VHF?</p>,Ground monopole,Turnstile antenna,Slot antenna,Loop antenna,,A,
<p>The work done in moving a charge Q on an equipotential line for a distance <i>d</i> will be</p>,V/<i>d</i>,QV/<i>d</i>,Q.<i>d</i>,zero,,D,
"<p>For frequency up to 1650 kHz, the transmitting antenna is used a</p>",parabolic dish,vertical antenna,yagi antenna,turnstile antenna,,B,
<p>Radar antennas are</p>,dipoles,helical,parabolic,conical,,C,
<p>Which of the following is high frequency transmission line?</p>,An impedance transformer,Frequency compensator,Flying resistor,None of the above,,A,
<p>Which of the following are the properties of a medium?</p>,"Permeability, flux, magnesium","Permittivity, permeability, insulation","Permeability, resistivity, conductivity","Permittivity, permeability, conductivity",,D,
