question,A,B,C,D,E,answer,explanation
"<p>Distilled water at 25°C is characterized by σ = 1.7 x 10<sup>-4</sup> mho/m and ε = 78 ε<sub>0</sub> at a frequency of 3 GHz. Its loss tangent is (ε = 10<sup>-9</sup>/36<span class=""symbol"">p</span> F/m)</p>",1.3 x 10<sup>-5</sup>,1.3 x 10<sup>-3</sup>,1.7 x 10<sup>-4</sup>/78,1.7 x l0<sup>-4</sup>/78ε<sub>0</sub>,,A," <p>Loss tangent <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/214-211-1.png""/>.</p> "
<p>The input impedance of short-circuited line of length <i>l</i> where <i>l</i> &lt; λ/4</p>,inductive,capacitive,resistive,none of the above,,A," <p><i>l</i> &lt; λ/4, Z<sub>L</sub> = 0</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-107-1.png""/>, if Z<sub>d</sub> comes +<i>j</i> <i>k</i>Z<sub>C</sub> then inductive, </p>
<p>If Z<sub><i>d</i></sub> comes -<i>j</i> <i>k</i>Z<sub>C</sub> then capacitive.</p>
<p>For 0 ≤ <i>l</i> ≤ 1/4, λ ≤ <i>l</i> ≤ 3λ/4 will be inductive.</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-107-2.png""/></p> "
<p>If the height of transmitting and receiving antenna in a LOS system are 49 meter and a 9 meter respectively then the distance up to which communication may be possible is about</p>,40 km,110 km,400 km,1100 km,,A," <p>Distance = 0.4 [<span class=""root""><i>h<sub>t</sub></i></span> + <span class=""root""><i>h<sub>r</sub></i></span>] metre.</p> "
<p>In a line VSWR of a load is 6 dB. The reflection coefficient will be</p>,0.033,0.33,0.66,3.3,,C," <p>VSWR = 10<sup>0.6</sup></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-291-1.png""/></p> "
"<p>The refractive index of E layer at frequency of <span class=""root"">81 N</span></p>",0,∞,1,0.5,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-331-1.png""/></p> "
"<p>∇ . <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> = 0 is frequently known as</p>",continuity equation for steady currents,Laplace equation,Poisson's equation,none of the above,,A," <p>Equation of continuity</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-68-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> ∇ x J = 0.</p> "
<p>A rhombic antenna is a</p>,resonant antenna,non-resonant antenna,coupled antenna,none of the above,,B,
<p>Which of the following relations is valid?</p>,"∇ x ∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/> = ∇(∇ . <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/>) - ∇<sup>2</sup> A","∇ x ∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/> = ∇(∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/>) - ∇<sup>2</sup> A","∇ x ∇ x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/> = ∇<sup>2</sup> A - (∇<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-153-1.png""/>)",none of the above,,A,
<p>Diffraction of electromagnetic waves</p>,may occur around the edge of a sharp obstacle,is caused by reflections from the ground,arises only with the spherical wave fronts,will occur when the waves pass through a large slot,,A,
"<p>The magnetic field intensity vector of a plane wave is given by <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/190-106-1.png""/>(<i>x</i>, <i>y</i>, <i>z</i>, <i>t</i>) = 10 sin (5000<i>t</i> + 0.004<i>x</i> + 30 <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/> ), where <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/> denotes unit vector in <i>y</i> direction the wave is propagating with a phase velocity.</p>",5 x 10<sup>4</sup> m/sec,-3 x 10<sup>8</sup> m/sec,-1.25 x 10<sup>7</sup> m/sec,3 x 10<sup>8</sup> m/sec,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/190-106-1.png""/>(<i>x</i>, <i>y</i>, <i>z</i>, <i>t</i>) = 10 sin (5000<i>t</i> + 0.004<i>x</i> + 30<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/>)</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/215-225-1.png""/></p>
<p>Wave is propagating in - ve direction, hence</p>
<p><i>v</i> = - 1.25 x 10<sup>7</sup> m/sec.</p> "
